# time = 2.469923e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543152e+55   3.4341889691e-31   4.9180517318e-14   0.0000000000e+00   9.9248591688e-02 
  2.7453393819e+18   6.1488759869e+17   4.6167040005e+55   3.4341889691e-31   4.9180517318e-14  -3.2706386508e+04   9.9248591688e-02 
  3.6613625407e+18   9.1602315878e+17   1.1892543479e+56   3.4343812048e-31   4.9179823175e-14  -6.1155994532e+04   9.9248591688e-02 
  4.5997446711e+18   9.3838213035e+17   2.0205517610e+56   3.4351558983e-31   4.9180034447e-14  -9.7345138559e+04   9.9248591688e-02 
  5.1147294595e+18   5.1498478845e+17   1.5282327622e+56   3.4363225188e-31   4.9180091701e-14  -1.2161505667e+05   9.9248591688e-02 
  5.5608281017e+18   4.4609864215e+17   1.5981392365e+56   3.4378595916e-31   4.9180082155e-14  -1.3667968649e+05   9.9248591688e-02 
  6.2972713421e+18   7.3644324040e+17   3.2574467639e+56   3.4409498804e-31   4.9180065116e-14  -1.5455830605e+05   9.9248591688e-02 
  6.9765701568e+18   6.7929881475e+17   3.7634222832e+56   3.4456483764e-31   4.9180052288e-14  -1.7545607467e+05   9.9248591688e-02 
  7.8805627458e+18   9.0399258902e+17   6.2765411019e+56   3.4522541358e-31   4.9180036885e-14  -1.9831812573e+05   9.9248591688e-02 
  8.7663671697e+18   8.8580442390e+17   7.7190831560e+56   3.4610294576e-31   4.9180021785e-14  -2.2382253211e+05   9.9248591688e-02 
  9.8692744806e+18   1.1029073109e+18   1.2047150775e+57   3.4724432460e-31   4.9180004555e-14  -2.5187005537e+05   9.9248591688e-02 
  1.1015893597e+19   1.1466191159e+18   1.5728275990e+57   3.4870715104e-31   4.9179983803e-14  -2.8339180374e+05   9.9248591688e-02 
  1.2367186719e+19   1.3512931221e+18   2.3237321718e+57   3.5053826687e-31   4.9179954997e-14  -3.1821670047e+05   9.9248591688e-02 
  1.3817971906e+19   1.4507851871e+18   3.1282939938e+57   3.5281598286e-31   4.9179912780e-14  -3.5714611582e+05   9.9248591688e-02 
  1.5472214554e+19   1.6542426480e+18   4.4632876205e+57   3.5560141168e-31   4.9179852539e-14  -4.0017210383e+05   9.9248591688e-02 
  1.7327214021e+19   1.8549994675e+18   6.2760877923e+57   3.5904418683e-31   4.9179770699e-14  -4.4872681040e+05   9.9248591688e-02 
  1.9391306798e+19   2.0640927765e+18   8.7519869025e+57   3.6322329606e-31   4.9179684575e-14  -5.0290947486e+05   9.9248591688e-02 
  2.1716299643e+19   2.3249928449e+18   1.2356023139e+58   3.6828563717e-31   4.9179525247e-14  -5.6358412688e+05   9.9248591688e-02 
  2.4237044245e+19   2.5207446019e+18   1.6739725697e+58   3.7430056349e-31   4.9179384487e-14  -6.3062710481e+05   9.9248591688e-02 
  2.7095120271e+19   2.8580760265e+18   2.3683798143e+58   3.8147164464e-31   4.9179180252e-14  -7.0501333842e+05   9.9248591688e-02 
  3.0166860864e+19   3.0717405929e+18   3.1672586435e+58   3.8992466671e-31   4.9178886337e-14  -7.8695112006e+05   9.9248591688e-02 
  3.3717911299e+19   3.5510504344e+18   4.5577286588e+58   4.0001266792e-31   4.9178526123e-14  -8.7885681049e+05   9.9248591688e-02 
  3.7479466479e+19   3.7615551802e+18   5.9958284949e+58   4.1186089659e-31   4.9178015813e-14  -9.8043748068e+05   9.9248591688e-02 
  4.1732549849e+19   4.2530833704e+18   8.3917597857e+58   4.2568981454e-31   4.9177270374e-14  -1.0918112207e+06   9.9248591688e-02 
  4.6237096891e+19   4.5045470420e+18   1.0960897244e+59   4.4174131102e-31   4.9176196533e-14  -1.2133233744e+06   9.9248591688e-02 
  5.1366758525e+19   5.1296616343e+18   1.5366402764e+59   4.6052534166e-31   4.9174713289e-14  -1.3471779327e+06   9.9248591688e-02 
  5.6406632420e+19   5.0398738947e+18   1.8403867562e+59   4.8155618363e-31   4.9172904579e-14  -1.4890885157e+06   9.9248591688e-02 
  6.3857130512e+19   7.4504980920e+18   3.3896901747e+59   5.0909916909e-31   4.9170229294e-14  -1.6640560158e+06   9.9248591688e-02 
  7.4961169337e+19   1.1104038826e+19   6.7367364484e+59   5.5207305175e-31   4.9165081660e-14  -1.9242937510e+06   9.9248591688e-02 
  7.9140892594e+19   4.1797232563e+18   3.1190388533e+59   5.8887728687e-31   4.9160145967e-14  -2.1381194482e+06   9.9248591688e-02 
  8.2964141582e+19   3.8232489880e+18   3.1568647625e+59   6.1030055205e-31   4.9157244047e-14  -2.2508498967e+06   9.9248591688e-02 
  8.6930329221e+19   3.9661876398e+18   3.5971662302e+59   6.3365463820e-31   4.9154188227e-14  -2.3612818011e+06   9.9248591688e-02 
  9.1122476280e+19   4.1921470586e+18   4.1760363017e+59   6.6089986882e-31   4.9150686971e-14  -2.4773867475e+06   9.9248591688e-02 
  9.4994642493e+19   3.8721662130e+18   4.2144330777e+59   6.9073090266e-31   4.9147021781e-14  -2.5929095901e+06   9.9248591688e-02 
  9.9927905915e+19   4.9332634217e+18   5.8898069150e+59   7.2708265897e-31   4.9142628945e-14  -2.7195790852e+06   9.9248591688e-02 
  1.0472133194e+20   4.7934260216e+18   6.3080565600e+59   7.7093051273e-31   4.9137422979e-14  -2.8602892737e+06   9.9248591688e-02 
  1.0933171266e+20   4.6103807284e+18   6.6373792758e+59   8.1742273343e-31   4.9132050453e-14  -2.9971119277e+06   9.9248591688e-02 
  1.1374577156e+20   4.4140588993e+18   6.9017011302e+59   8.6656696509e-31   4.9126666127e-14  -3.1294346181e+06   9.9248591688e-02 
  1.1917518079e+20   5.4294092291e+18   9.2554644323e+59   9.2587507324e-31   4.9120386677e-14  -3.2742678583e+06   9.9248591688e-02 
  1.2460381421e+20   5.4286334124e+18   1.0136890021e+60   9.9710595123e-31   4.9113242061e-14  -3.4348023578e+06   9.9248591688e-02 
  1.2979195647e+20   5.1881422657e+18   1.0549739322e+60   1.0731780182e-30   4.9105978811e-14  -3.5919932827e+06   9.9248591688e-02 
  1.3496044284e+20   5.1684863642e+18   1.1382776905e+60   1.1547230985e-30   4.9098797179e-14  -3.7461253963e+06   9.9248591688e-02 
  1.4108208168e+20   6.1216388409e+18   1.4656853479e+60   1.2525672302e-30   4.9090691692e-14  -3.9148705464e+06   9.9248591688e-02 
  1.4719153956e+20   6.1094578852e+18   1.5952449273e+60   1.3679286654e-30   4.9081891892e-14  -4.0993449578e+06   9.9248591688e-02 
  1.5299989896e+20   5.8083594022e+18   1.6445767693e+60   1.4908123925e-30   4.9073378906e-14  -4.2807241945e+06   9.9248591688e-02 
  1.5924062462e+20   6.2407256569e+18   1.9117069695e+60   1.6277439642e-30   4.9065059340e-14  -4.4662201506e+06   9.9248591688e-02 
  1.6633905577e+20   7.0984311489e+18   2.3642622065e+60   1.7943657310e-30   4.9056395018e-14  -4.6720506767e+06   9.9248591688e-02 
  1.7323466069e+20   6.8956049245e+18   2.4983315391e+60   1.9854056837e-30   4.9049290929e-14  -4.8856870054e+06   9.9248591688e-02 
  1.7922844179e+20   5.9937810980e+18   2.3394832039e+60   2.1791614717e-30   4.9043980947e-14  -5.0853600799e+06   9.9248591688e-02 
  1.8715603502e+20   7.9275932292e+18   3.3437448518e+60   2.4137439211e-30   4.9043104932e-14  -5.2936337746e+06   9.9248591688e-02 
  1.9675037683e+20   9.5943418109e+18   4.4433057292e+60   2.7379174952e-30   4.9050015921e-14  -5.5575137947e+06   9.9248591688e-02 
  2.0638559627e+20   9.6352194376e+18   4.9203645090e+60   3.1260340895e-30   4.9067144695e-14  -5.8465447004e+06   9.9248591688e-02 
  2.1513033382e+20   8.7447375456e+18   4.8818781820e+60   3.5346755452e-30   4.9093264346e-14  -6.1221675134e+06   9.9248591688e-02 
  2.2604293517e+20   1.0912601356e+19   6.6739831798e+60   4.0223031456e-30   4.9130730438e-14  -6.4036852951e+06   9.9248591688e-02 
  2.3533912839e+20   9.2961932139e+18   6.2177777442e+60   4.5713691743e-30   4.9171320229e-14  -6.6740996974e+06   9.9248591688e-02 
  2.4937223189e+20   1.4033103507e+19   1.0360753025e+61   5.2833966135e-30   4.9217277433e-14  -6.9510427224e+06   9.9248591688e-02 
  2.5907361487e+20   9.7013829816e+18   7.8799893597e+60   6.0751408182e-30   4.9262720714e-14  -7.2011319655e+06   9.9248591688e-02 
  2.6761167637e+20   8.5380614938e+18   7.4413130059e+60   6.7383279587e-30   4.9291546735e-14  -7.3612555508e+06   9.9248591688e-02 
  2.8565244982e+20   1.8040773448e+19   1.7354973129e+61   7.6579458441e-30   4.9287970839e-14  -7.6239146974e+06   9.9248591688e-02 
  2.9835745668e+20   1.2705006860e+19   1.3615503690e+61   8.6251671948e-30   4.9201043244e-14  -7.8881385337e+06   9.9248591688e-02 
  3.1132240196e+20   1.2964945285e+19   1.5142225715e+61   9.2943677707e-30   4.9048282283e-14  -8.1002513759e+06   9.9248591688e-02 
  3.2866847467e+20   1.7346072712e+19   2.2325692221e+61   9.9253257005e-30   4.8805024831e-14  -8.3573101962e+06   9.9248591688e-02 
  3.4195059564e+20   1.3282120971e+19   1.8768341000e+61   1.0448910864e-29   4.8602319757e-14  -8.5539566719e+06   9.9248591688e-02 
  3.5687054195e+20   1.4919946308e+19   2.2893657521e+61   1.0821740079e-29   4.8515944120e-14  -8.6512364287e+06   9.9248591688e-02 
  3.7295012552e+20   1.6079583572e+19   2.6910839838e+61   1.1131024880e-29   4.8524201571e-14  -8.6999607291e+06   9.9248591688e-02 
  3.9095952655e+20   1.8009401024e+19   3.3022776746e+61   1.1391390322e-29   4.8671342971e-14  -8.7900948365e+06   9.9248591688e-02 
