# time = 4.336106e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   4.2280301375e-31   2.8703886759e-14   0.0000000000e+00   9.9248591688e-02 
  2.5607482967e+18   4.3029651352e+17   2.9833338861e+55   4.2280301375e-31   2.8703886759e-14   7.7667813878e+03   9.9248591688e-02 
  3.4265855824e+18   8.6583728564e+17   9.8190619401e+55   4.2283102141e-31   2.8704010791e-14   1.5024848156e+04   9.9248591688e-02 
  4.3793393318e+18   9.5275374948e+17   1.8328653927e+56   4.2291095867e-31   2.8703763813e-14   2.5555244321e+04   9.9248591688e-02 
  4.8187775587e+18   4.3943822683e+17   1.1688959266e+56   4.2301246495e-31   2.8703501749e-14   3.1341811098e+04   9.9248591688e-02 
  5.2082146415e+18   3.8943708281e+17   1.2306848293e+56   4.2312550410e-31   2.8703312406e-14   3.4058779748e+04   9.9248591688e-02 
  5.8991023682e+18   6.9088772668e+17   2.6812383103e+56   4.2336099219e-31   2.8703024930e-14   3.7031693931e+04   9.9248591688e-02 
  6.5282140996e+18   6.2911173144e+17   3.0549436622e+56   4.2372167047e-31   2.8702649658e-14   4.0266615257e+04   9.9248591688e-02 
  7.3755839228e+18   8.4736982315e+17   5.1526083964e+56   4.2422736295e-31   2.8702204480e-14   4.3390743231e+04   9.9248591688e-02 
  8.1984926121e+18   8.2290868930e+17   6.2763927192e+56   4.2490155873e-31   2.8701653566e-14   4.6374223974e+04   9.9248591688e-02 
  9.2297139180e+18   1.0312213060e+18   9.8517567281e+56   4.2578496466e-31   2.8700873232e-14   4.8273225870e+04   9.9248591688e-02 
  1.0298965066e+19   1.0692511479e+18   1.2823574556e+57   4.2691275857e-31   2.8699742927e-14   4.8659953544e+04   9.9248591688e-02 
  1.1563776653e+19   1.2648115875e+18   1.9013812186e+57   4.2834356565e-31   2.8698450529e-14   4.8070625840e+04   9.9248591688e-02 
  1.2922566521e+19   1.3587898680e+18   2.5620971108e+57   4.3014218405e-31   2.8696709510e-14   4.6754102439e+04   9.9248591688e-02 
  1.4478414497e+19   1.5558479757e+18   3.6738018991e+57   4.3233850187e-31   2.8694459684e-14   4.3039607046e+04   9.9248591688e-02 
  1.6234625447e+19   1.7562109503e+18   5.2100902012e+57   4.3509682234e-31   2.8691532421e-14   3.7042889952e+04   9.9248591688e-02 
  1.8196348592e+19   1.9617231445e+18   7.3140157235e+57   4.3849207590e-31   2.8688178445e-14   3.0819156916e+04   9.9248591688e-02 
  2.0412299642e+19   2.2159510499e+18   1.0388571951e+58   4.4261795780e-31   2.8684720182e-14   2.6664967255e+04   9.9248591688e-02 
  2.2814424490e+19   2.4021248481e+18   1.4115520941e+58   4.4749777815e-31   2.8681243415e-14   2.4268973376e+04   9.9248591688e-02 
  2.5545770272e+19   2.7313457825e+18   2.0089271112e+58   4.5330809420e-31   2.8677705524e-14   2.2562619327e+04   9.9248591688e-02 
  2.8482273276e+19   2.9365030033e+18   2.6955428571e+58   4.6014578698e-31   2.8674164421e-14   2.0989683213e+04   9.9248591688e-02 
  3.1897222632e+19   3.4149493562e+18   3.9153981891e+58   4.6832271444e-31   2.8670855872e-14   1.9788684740e+04   9.9248591688e-02 
  3.5530213032e+19   3.6329903997e+18   5.1940660325e+58   4.7796201274e-31   2.8668059720e-14   1.9086899518e+04   9.9248591688e-02 
  3.9656946266e+19   4.1267332348e+18   7.3363409295e+58   4.8927116133e-31   2.8665891614e-14   1.9554720303e+04   9.9248591688e-02 
  4.4049571376e+19   4.3926251091e+18   9.6781206114e+58   5.0238848559e-31   2.8664658471e-14   2.3341074550e+04   9.9248591688e-02 
  4.9069791375e+19   5.0202199994e+18   1.3689045385e+59   5.1786825305e-31   2.8664444138e-14   3.2809330257e+04   9.9248591688e-02 
  5.3992367880e+19   4.9225765052e+18   1.6438831771e+59   5.3505711332e-31   2.8664749591e-14   4.1358565224e+04   9.9248591688e-02 
  6.1531275023e+19   7.5389071429e+18   3.1653088176e+59   5.5797428779e-31   2.8665231385e-14   4.6529900409e+04   9.9248591688e-02 
  7.2799181010e+19   1.1267905987e+19   6.4026456346e+59   5.9423450117e-31   2.8666884530e-14   4.4618569406e+04   9.9248591688e-02 
  7.6985493416e+19   4.1863124061e+18   2.9514085680e+59   6.2508339040e-31   2.8673132805e-14   1.5833211019e+04   9.9248591688e-02 
  8.0772362549e+19   3.7868691329e+18   2.9613897356e+59   6.4258437706e-31   2.8679072757e-14  -1.1945643835e+04   9.9248591688e-02 
  8.4767233653e+19   3.9948711033e+18   3.4398596707e+59   6.6137314184e-31   2.8682868752e-14  -2.8755123322e+04   9.9248591688e-02 
  8.9051140312e+19   4.2839066598e+18   4.0669530807e+59   6.8375759589e-31   2.8686716499e-14  -3.3644615134e+04   9.9248591688e-02 
