# time = 3.418345e+14 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543152e+55   9.8911637162e-28   2.2109103848e-12   0.0000000000e+00   2.0000000000e-02 
  1.7480635119e+19   1.5350183336e+19   2.2334350601e+58   9.8911637162e-28   2.2109103848e-12   1.3957991886e+07   2.0000000000e-02 
  2.1805424264e+19   4.3247891450e+18   2.1054385170e+58   1.0237431751e-27   2.3984685567e-12   9.7841403899e+06   2.0000000000e-02 
  2.4592198129e+19   2.7867738644e+18   1.8869699578e+58   9.5030515032e-28   2.5143446949e-12   7.8342196517e+06   2.0000000000e-02 
  2.5041341504e+19   4.4914337540e+17   3.4761397011e+57   8.3320444725e-28   2.5075421123e-12   7.9767320659e+06   2.0000000000e-02 
  2.5495092879e+19   4.5375137536e+17   3.6407318339e+57   7.7360529210e-28   2.5061864406e-12   8.0355779436e+06   2.0000000000e-02 
  2.5872787120e+19   3.7769424101e+17   3.1309875923e+57   7.4035931342e-28   2.5054338667e-12   8.0927074935e+06   2.0000000000e-02 
  2.6294947886e+19   4.2216076554e+17   3.6094512767e+57   7.3018737932e-28   2.5047889961e-12   8.1494162796e+06   2.0000000000e-02 
  2.6723650690e+19   4.2870280422e+17   3.7859262517e+57   7.2791218389e-28   2.5039740290e-12   8.2102591374e+06   2.0000000000e-02 
  2.7152215724e+19   4.2856503421e+17   3.9080877143e+57   7.3036641439e-28   2.5026560776e-12   8.2710018739e+06   2.0000000000e-02 
  2.7567505913e+19   4.1529018844e+17   3.9065882589e+57   7.4015099816e-28   2.5007707810e-12   8.3260917727e+06   2.0000000000e-02 
  2.7974583346e+19   4.0707743377e+17   3.9452915386e+57   7.5289779063e-28   2.4988303177e-12   8.3723978013e+06   2.0000000000e-02 
  2.8380193648e+19   4.0561030109e+17   4.0469498164e+57   7.7071711708e-28   2.4966194547e-12   8.4197238458e+06   2.0000000000e-02 
  2.8794454385e+19   4.1426073721e+17   4.2543992721e+57   7.8926009121e-28   2.4945891945e-12   8.4699255718e+06   2.0000000000e-02 
  2.9215362330e+19   4.2090794479e+17   4.4498728725e+57   8.0934541776e-28   2.4925847790e-12   8.5233781061e+06   2.0000000000e-02 
  2.9653258803e+19   4.3789647373e+17   4.7675697744e+57   8.2980648882e-28   2.4903745839e-12   8.5790952605e+06   2.0000000000e-02 
  3.0104915194e+19   4.5165639107e+17   5.0671170804e+57   8.5085599962e-28   2.4878519769e-12   8.6372511527e+06   2.0000000000e-02 
  3.0559000370e+19   4.5408517519e+17   5.2499622923e+57   8.7252449604e-28   2.4852481333e-12   8.6961919667e+06   2.0000000000e-02 
  3.1018405114e+19   4.5940474439e+17   5.4726311594e+57   8.9566274809e-28   2.4826362918e-12   8.7581500828e+06   2.0000000000e-02 
  3.1473447372e+19   4.5504225825e+17   5.5828515019e+57   9.2163335551e-28   2.4799953371e-12   8.8230009376e+06   2.0000000000e-02 
  3.1926176964e+19   4.5272959161e+17   5.7170172904e+57   9.5326948919e-28   2.4773326197e-12   8.8824582219e+06   2.0000000000e-02 
  3.2372741030e+19   4.4656406659e+17   5.8002666436e+57   9.8819689358e-28   2.4752333344e-12   8.9389130406e+06   2.0000000000e-02 
  3.2847769586e+19   4.7502855609e+17   6.3481277680e+57   1.0181191868e-27   2.4723225989e-12   9.0031510799e+06   2.0000000000e-02 
  3.3352886203e+19   5.0511661634e+17   6.9546381588e+57   1.0369763463e-27   2.4692760855e-12   9.0718951445e+06   2.0000000000e-02 
  3.3915189404e+19   5.6230320144e+17   7.9937129972e+57   1.0445621658e-27   2.4662630948e-12   9.1449036095e+06   2.0000000000e-02 
  3.4513623156e+19   5.9843375157e+17   8.8034931690e+57   1.0445163869e-27   2.4629602802e-12   9.2195484100e+06   2.0000000000e-02 
  3.5164661034e+19   6.5103787832e+17   9.9303295938e+57   1.0365814606e-27   2.4596883729e-12   9.3074725135e+06   2.0000000000e-02 
  3.6188396904e+19   1.0237358701e+18   1.6375432244e+58   1.0035836644e-27   2.4551393861e-12   9.4165815939e+06   2.0000000000e-02 
  3.7643800847e+19   1.4554039431e+18   2.4927645549e+58   9.2610472910e-28   2.4492482895e-12   9.5726753656e+06   2.0000000000e-02 
  3.8175323872e+19   5.3152302461e+17   9.5992345244e+57   8.4724261139e-28   2.4459185610e-12   9.7026536322e+06   2.0000000000e-02 
  3.8553818050e+19   3.7849417809e+17   7.0005680532e+57   8.2247029149e-28   2.4438237636e-12   9.7596324781e+06   2.0000000000e-02 
  3.8760305985e+19   2.0648793480e+17   3.8776023098e+57   8.1662687149e-28   2.4426963921e-12   9.7971750232e+06   2.0000000000e-02 
  3.8984138673e+19   2.2383268857e+17   4.2502386402e+57   8.1722789161e-28   2.4417795069e-12   9.8266391468e+06   2.0000000000e-02 
  3.9219954319e+19   2.3581564554e+17   4.5308822061e+57   8.2286126954e-28   2.4409218822e-12   9.8482803149e+06   2.0000000000e-02 
  3.9468294571e+19   2.4834025152e+17   4.8307903791e+57   8.3798026684e-28   2.4406131325e-12   9.8686915297e+06   2.0000000000e-02 
  3.9735379989e+19   2.6708541827e+17   5.2637148964e+57   8.6606568635e-28   2.4393874464e-12   9.8954981759e+06   2.0000000000e-02 
  4.0014194628e+19   2.7881463954e+17   5.5708820807e+57   9.0772027476e-28   2.4380905063e-12   9.9228603572e+06   2.0000000000e-02 
  4.0307292001e+19   2.9309737240e+17   5.9405574657e+57   9.4939635417e-28   2.4367250159e-12   9.9530857864e+06   2.0000000000e-02 
  4.0618757628e+19   3.1146562696e+17   6.4082408254e+57   9.8217104170e-28   2.4354476521e-12   9.9860690550e+06   2.0000000000e-02 
  4.0949376303e+19   3.3061867547e+17   6.9106784582e+57   1.0044033568e-27   2.4344802363e-12   1.0025152044e+07   2.0000000000e-02 
  4.1285208313e+19   3.3583200947e+17   7.1348259172e+57   1.0197322069e-27   2.4336674214e-12   1.0064755767e+07   2.0000000000e-02 
  4.1646604444e+19   3.6139613145e+17   7.8086946049e+57   1.0271015961e-27   2.4326189293e-12   1.0103063293e+07   2.0000000000e-02 
  4.2028893683e+19   3.8228923898e+17   8.4089463281e+57   1.0290897990e-27   2.4313546553e-12   1.0140268503e+07   2.0000000000e-02 
  4.2473501661e+19   4.4460797780e+17   9.9739955720e+57   1.0271296109e-27   2.4298550439e-12   1.0179182997e+07   2.0000000000e-02 
  4.2874536657e+19   4.0103499601e+17   9.1774584852e+57   1.0198852435e-27   2.4284032011e-12   1.0217410050e+07   2.0000000000e-02 
  4.3452431605e+19   5.7789494849e+17   1.3530013701e+58   9.9542069318e-28   2.4268921331e-12   1.0260525691e+07   2.0000000000e-02 
  4.4847136532e+19   1.3947049270e+18   3.4165319171e+58   9.5738493713e-28   2.4241370878e-12   1.0343830167e+07   2.0000000000e-02 
  4.5361777430e+19   5.1464089712e+17   1.3157027681e+58   9.2982857921e-28   2.4218862729e-12   1.0424011989e+07   2.0000000000e-02 
  4.5729211771e+19   3.6743434125e+17   9.5781759069e+57   9.3195548228e-28   2.4210150046e-12   1.0453309729e+07   2.0000000000e-02 
  4.5941382807e+19   2.1217103631e+17   5.6014032908e+57   9.3857960101e-28   2.4205134632e-12   1.0474495846e+07   2.0000000000e-02 
  4.6182464817e+19   2.4108200966e+17   6.4277622368e+57   9.5342839549e-28   2.4195074823e-12   1.0495788624e+07   2.0000000000e-02 
  4.6441449082e+19   2.5898426556e+17   6.9802445959e+57   9.7836152164e-28   2.4189644393e-12   1.0510981410e+07   2.0000000000e-02 
  4.6726790605e+19   2.8534152278e+17   7.7812968796e+57   1.0003193949e-27   2.4182630657e-12   1.0529976943e+07   2.0000000000e-02 
  4.7029774723e+19   3.0298411831e+17   8.3670935946e+57   1.0129350199e-27   2.4172393262e-12   1.0554199303e+07   2.0000000000e-02 
  4.7350874887e+19   3.2110016370e+17   8.9858258962e+57   1.0191157926e-27   2.4161583563e-12   1.0574779588e+07   2.0000000000e-02 
  4.7587972445e+19   2.3709755786e+17   6.7137592760e+57   1.0203928914e-27   2.4152411244e-12   1.0593134686e+07   2.0000000000e-02 
  4.7892097914e+19   3.0412546897e+17   8.7102294137e+57   1.0196864182e-27   2.4143308873e-12   1.0610573240e+07   2.0000000000e-02 
  4.8261272803e+19   3.6917488874e+17   1.0722922966e+58   1.0146342828e-27   2.4131897393e-12   1.0631957741e+07   2.0000000000e-02 
  4.9273099500e+19   1.0118266970e+18   3.0240361110e+58   1.0036335364e-27   2.4111219860e-12   1.0677179131e+07   2.0000000000e-02 
  4.9780310696e+19   5.0721119621e+17   1.5634405219e+58   9.9525784857e-28   2.4088438301e-12   1.0725817799e+07   2.0000000000e-02 
  5.0172471656e+19   3.9216096040e+17   1.2308531303e+58   9.9459774135e-28   2.4074590814e-12   1.0752949970e+07   2.0000000000e-02 
  5.0499256642e+19   3.2678498555e+17   1.0404675530e+58   9.9649307437e-28   2.4063313610e-12   1.0772635665e+07   2.0000000000e-02 
  5.0920939848e+19   4.2168320643e+17   1.3626602144e+58   1.0017039962e-27   2.4052420354e-12   1.0792073091e+07   2.0000000000e-02 
  5.1177048889e+19   2.5610904043e+17   8.3870661096e+57   1.0115244819e-27   2.4042582151e-12   1.0808285550e+07   2.0000000000e-02 
  5.1469431910e+19   2.9238302119e+17   9.6781271885e+57   1.0207450873e-27   2.4034488733e-12   1.0820231047e+07   2.0000000000e-02 
  5.1775391151e+19   3.0595924152e+17   1.0245927731e+58   1.0286336981e-27   2.4025687931e-12   1.0832742780e+07   2.0000000000e-02 
  5.2075430501e+19   3.0003934976e+17   1.0165978118e+58   1.0329285558e-27   2.4016855331e-12   1.0845144188e+07   2.0000000000e-02 
  5.2390186443e+19   3.1475594196e+17   1.0791252915e+58   1.0354325720e-27   2.4007927416e-12   1.0857443331e+07   2.0000000000e-02 
  5.3392574373e+19   1.0023879303e+18   3.5239399158e+58   1.0384352536e-27   2.3986569537e-12   1.0882253495e+07   2.0000000000e-02 
  5.3672011314e+19   2.7943694022e+17   1.0062974160e+58   1.0412865196e-27   2.3964680715e-12   1.0905705907e+07   2.0000000000e-02 
  5.3959251958e+19   2.8724064433e+17   1.0453787586e+58   1.0429838448e-27   2.3954258844e-12   1.0914930341e+07   2.0000000000e-02 
  5.4379427021e+19   4.2017506329e+17   1.5493494982e+58   1.0463278719e-27   2.3940414587e-12   1.0924949105e+07   2.0000000000e-02 
  5.4648650893e+19   2.6922387210e+17   1.0054049829e+58   1.0510954177e-27   2.3926820382e-12   1.0933647975e+07   2.0000000000e-02 
  5.4911071659e+19   2.6242076586e+17   9.8957963555e+57   1.0563169910e-27   2.3916009521e-12   1.0939295202e+07   2.0000000000e-02 
  5.5443752659e+19   5.3268100015e+17   2.0379949316e+58   1.0627137676e-27   2.3899974557e-12   1.0947067046e+07   2.0000000000e-02 
  5.5678617733e+19   2.3486507411e+17   9.1111238997e+57   1.0684442087e-27   2.3884361028e-12   1.0954762949e+07   2.0000000000e-02 
  5.6891892564e+19   1.2132748303e+18   4.8303115867e+58   1.0766288635e-27   2.3854397481e-12   1.0968408303e+07   2.0000000000e-02 
  5.7271196152e+19   3.7930358807e+17   1.5530657497e+58   1.0855813889e-27   2.3820204753e-12   1.0983785554e+07   2.0000000000e-02 
  5.7517207871e+19   2.4601171924e+17   1.0183624307e+58   1.0892670734e-27   2.3805980886e-12   1.0989788390e+07   2.0000000000e-02 
  5.7733856053e+19   2.1664818206e+17   9.0405597281e+57   1.0923572367e-27   2.3794787099e-12   1.0993945797e+07   2.0000000000e-02 
  5.8142393453e+19   4.0853739973e+17   1.7233454939e+58   1.0972280949e-27   2.3778835469e-12   1.0999071225e+07   2.0000000000e-02 
  5.8957599997e+19   8.1520654389e+17   3.5118688373e+58   1.1075981266e-27   2.3744018114e-12   1.1009780902e+07   2.0000000000e-02 
  5.9261913887e+19   3.0431389052e+17   1.3361368651e+58   1.1173662139e-27   2.3709944289e-12   1.1021036031e+07   2.0000000000e-02 
  5.9574905362e+19   3.1299147440e+17   1.3886264172e+58   1.1228617696e-27   2.3690121070e-12   1.1027575463e+07   2.0000000000e-02 
  5.9814644687e+19   2.3973932533e+17   1.0735502221e+58   1.1277333832e-27   2.3672121215e-12   1.1032979996e+07   2.0000000000e-02 
  6.0059238788e+19   2.4459410095e+17   1.1041945627e+58   1.1320108137e-27   2.3656375858e-12   1.1037470990e+07   2.0000000000e-02 
  6.0584592351e+19   5.2535356350e+17   2.4022297462e+58   1.1387801413e-27   2.3631642699e-12   1.1043348433e+07   2.0000000000e-02 
  6.1634174170e+19   1.0495818182e+18   4.9255262778e+58   1.1527109213e-27   2.3580109803e-12   1.1050884055e+07   2.0000000000e-02 
  6.2011405681e+19   3.7723151176e+17   1.8118255320e+58   1.1657992793e-27   2.3532646984e-12   1.1052184999e+07   2.0000000000e-02 
  6.2388597576e+19   3.7719189475e+17   1.8338100096e+58   1.1735452028e-27   2.3509219283e-12   1.1050282085e+07   2.0000000000e-02 
  6.2786342409e+19   3.9774483291e+17   1.9579007127e+58   1.1812047884e-27   2.3484883554e-12   1.1046963015e+07   2.0000000000e-02 
