# time = 4.218439e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   4.5099021252e-31   3.3336812465e-14   0.0000000000e+00   9.9248591688e-02 
  2.5338057505e+18   4.0335396728e+17   2.7636466089e+55   4.5099021252e-31   3.3336812465e-14  -7.3139184835e+03   9.9248591688e-02 
  3.3739506604e+18   8.4014490991e+17   9.2740003416e+55   4.5100838105e-31   3.3336608326e-14  -1.4925020983e+04   9.9248591688e-02 
  4.2994910346e+18   9.2554037419e+17   1.7203888492e+56   4.5107904216e-31   3.3336672275e-14  -2.6197643709e+04   9.9248591688e-02 
  4.7251067771e+18   4.2561574250e+17   1.0897958240e+56   4.5117787872e-31   3.3336713167e-14  -3.3252062309e+04   9.9248591688e-02 
  5.1033808629e+18   3.7827408584e+17   1.1485350163e+56   4.5130177683e-31   3.3336720053e-14  -3.7173801951e+04   9.9248591688e-02 
  5.7799471077e+18   6.7656624478e+17   2.5208251399e+56   4.5157003167e-31   3.3336731641e-14  -4.2098517048e+04   9.9248591688e-02 
  6.3928121446e+18   6.1286503688e+17   2.8553515501e+56   4.5198186737e-31   3.3336750509e-14  -4.7959414001e+04   9.9248591688e-02 
  7.2222828929e+18   8.2947074831e+17   4.8364786912e+56   4.5255913107e-31   3.3336775996e-14  -5.4328844299e+04   9.9248591688e-02 
  8.0254289065e+18   8.0314601359e+17   5.8715828031e+56   4.5332467688e-31   3.3336809964e-14  -6.1421081898e+04   9.9248591688e-02 
  9.0348544881e+18   1.0094255816e+18   9.2406637886e+56   4.5431932114e-31   3.3336853876e-14  -6.9193369288e+04   9.9248591688e-02 
  1.0079738610e+19   1.0448841224e+18   1.2005506435e+57   4.5559550751e-31   3.3336910498e-14  -7.7939026500e+04   9.9248591688e-02 
  1.1317392053e+19   1.2376534426e+18   1.7821492584e+57   4.5719401615e-31   3.3336980356e-14  -8.7612030730e+04   9.9248591688e-02 
  1.2645696079e+19   1.3283040258e+18   2.3987087087e+57   4.5918625898e-31   3.3337064554e-14  -9.8458588411e+04   9.9248591688e-02 
  1.4167037661e+19   1.5213415825e+18   3.4397319605e+57   4.6162809876e-31   3.3337164137e-14  -1.1048366883e+05   9.9248591688e-02 
  1.5883749745e+19   1.7167120836e+18   4.8756355139e+57   4.6466160235e-31   3.3337284697e-14  -1.2413139488e+05   9.9248591688e-02 
  1.7801095442e+19   1.9173456974e+18   6.8420804755e+57   4.6835852880e-31   3.3337424153e-14  -1.3941881075e+05   9.9248591688e-02 
  1.9967272328e+19   2.1661768853e+18   9.7179837257e+57   4.7284868032e-31   3.3337587055e-14  -1.5646060742e+05   9.9248591688e-02 
  2.2314629134e+19   2.3473568062e+18   1.3197265512e+58   4.7818366027e-31   3.3337745361e-14  -1.7513689088e+05   9.9248591688e-02 
  2.4985709591e+19   2.6710804565e+18   1.8794325503e+58   4.8454903985e-31   3.3337902497e-14  -1.9562114518e+05   9.9248591688e-02 
  2.7855053842e+19   2.8693442513e+18   2.5194013109e+58   4.9205053691e-31   3.3338040046e-14  -2.1794101473e+05   9.9248591688e-02 
  3.1193649362e+19   3.3385955199e+18   3.6609764588e+58   5.0101446167e-31   3.3338139284e-14  -2.4266202798e+05   9.9248591688e-02 
  3.4740349701e+19   3.5467003395e+18   4.8485500827e+58   5.1156530177e-31   3.3338247282e-14  -2.6935727381e+05   9.9248591688e-02 
  3.8772288444e+19   4.0319387431e+18   6.8520902666e+58   5.2389182868e-31   3.3338305535e-14  -2.9817713554e+05   9.9248591688e-02 
  4.3058498534e+19   4.2862100894e+18   9.0251363372e+58   5.3821439278e-31   3.3338340513e-14  -3.2896775916e+05   9.9248591688e-02 
  4.7964649713e+19   4.9061511791e+18   1.2782472690e+59   5.5498597615e-31   3.3338302176e-14  -3.6226808530e+05   9.9248591688e-02 
  5.2758767808e+19   4.7941180949e+18   1.5291403263e+59   5.7368745603e-31   3.3338195801e-14  -3.9649979726e+05   9.9248591688e-02 
  6.0104707986e+19   7.3459401784e+18   2.9438585465e+59   5.9855493847e-31   3.3337953195e-14  -4.3786468403e+05   9.9248591688e-02 
  7.1155425534e+19   1.1050717548e+19   5.9955757963e+59   6.3797032885e-31   3.3337399366e-14  -4.9817899211e+05   9.9248591688e-02 
  7.5197736944e+19   4.0423114099e+18   2.7207853894e+59   6.7148253248e-31   3.3336883765e-14  -5.4557823278e+05   9.9248591688e-02 
  7.8890061963e+19   3.6923250182e+18   2.7546689553e+59   6.9044280721e-31   3.3336530993e-14  -5.6860241568e+05   9.9248591688e-02 
  8.2786656655e+19   3.8965946926e+18   3.2004729463e+59   7.1111903388e-31   3.3336107488e-14  -5.9077318793e+05   9.9248591688e-02 
  8.6965980578e+19   4.1793239228e+18   3.7842228685e+59   7.3539304357e-31   3.3335572258e-14  -6.1392561701e+05   9.9248591688e-02 
  9.0825574050e+19   3.8595934718e+18   3.8333803062e+59   7.6187719814e-31   3.3334962104e-14  -6.3650122830e+05   9.9248591688e-02 
  9.5785511315e+19   4.9599372650e+18   5.4275419631e+59   7.9394866494e-31   3.3334180232e-14  -6.6066399010e+05   9.9248591688e-02 
  1.0065890850e+20   4.8733971862e+18   5.9094921367e+59   8.3262937275e-31   3.3333192603e-14  -6.8695979707e+05   9.9248591688e-02 
  1.0535598886e+20   4.6970803634e+18   6.2639799940e+59   8.7347323676e-31   3.3332114283e-14  -7.1172830496e+05   9.9248591688e-02 
  1.0985325378e+20   4.4972649150e+18   6.5446043216e+59   9.1619684220e-31   3.3330968613e-14  -7.3478469772e+05   9.9248591688e-02 
