# time = 2.039704e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543152e+55   4.2633713564e-31   9.9839189205e-14   0.0000000000e+00   9.9248591688e-02 
  2.6616687413e+18   5.3121695809e+17   3.8481548006e+55   4.2633713564e-31   9.9839189205e-14  -4.0529320288e+04   9.9248591688e-02 
  3.4763673692e+18   8.1469862791e+17   9.6994836893e+55   4.2636614689e-31   9.9837648908e-14  -7.5673508815e+04   9.9248591688e-02 
  4.2948215265e+18   8.1845415723e+17   1.5585543355e+56   4.2647961248e-31   9.9838191107e-14  -1.2148339528e+05   9.9248591688e-02 
  4.7777222256e+18   4.8290069912e+17   1.2499014875e+56   4.2665340852e-31   9.9838361910e-14  -1.5231519835e+05   9.9248591688e-02 
  5.1901301954e+18   4.1240796982e+17   1.2880355730e+56   4.2688433135e-31   9.9838358658e-14  -1.7217531984e+05   9.9248591688e-02 
  5.8760747049e+18   6.8594450950e+17   2.6423608847e+56   4.2734463951e-31   9.9838345225e-14  -1.9545894198e+05   9.9248591688e-02 
  6.4977724625e+18   6.2169775760e+17   2.9929809452e+56   4.2803931288e-31   9.9838348857e-14  -2.2238323681e+05   9.9248591688e-02 
  7.3384995089e+18   8.4072704636e+17   5.0626421137e+56   4.2901875524e-31   9.9838347752e-14  -2.5166319910e+05   9.9248591688e-02 
  8.1545482036e+18   8.1604869471e+17   6.1594382253e+56   4.3032229984e-31   9.9838350877e-14  -2.8426326560e+05   9.9248591688e-02 
  9.1801354695e+18   1.0255872660e+18   9.6930570513e+56   4.3202018155e-31   9.9838351988e-14  -3.1997401170e+05   9.9248591688e-02 
  1.0240112136e+19   1.0599766663e+18   1.2571490059e+57   4.3419771467e-31   9.9838354998e-14  -3.6003337465e+05   9.9248591688e-02 
  1.1494660402e+19   1.2545482659e+18   1.8639295351e+57   4.3692202112e-31   9.9838357028e-14  -4.0416037335e+05   9.9248591688e-02 
  1.2837230921e+19   1.3425705197e+18   2.4996501835e+57   4.4030971553e-31   9.9838359613e-14  -4.5342464606e+05   9.9248591688e-02 
  1.4369026807e+19   1.5317958850e+18   3.5657185005e+57   4.4444543195e-31   9.9838358483e-14  -5.0775195248e+05   9.9248591688e-02 
  1.6081493789e+19   1.7124669826e+18   4.9936618074e+57   4.4954728006e-31   9.9838354112e-14  -5.6890989755e+05   9.9248591688e-02 
  1.7981985995e+19   1.9004922062e+18   6.9349667354e+57   4.5572097389e-31   9.9838344069e-14  -6.3689365364e+05   9.9248591688e-02 
  2.0121274852e+19   2.1392888571e+18   9.7678656692e+57   4.6318931922e-31   9.9838325604e-14  -7.1281810534e+05   9.9248591688e-02 
  2.2437227469e+19   2.3159526161e+18   1.3191090492e+58   4.7205918599e-31   9.9838295458e-14  -7.9649047730e+05   9.9248591688e-02 
  2.5067387532e+19   2.6301600637e+18   1.8665825375e+58   4.8264759171e-31   9.9838247049e-14  -8.8934254677e+05   9.9248591688e-02 
  2.7881534923e+19   2.8141473906e+18   2.4809596254e+58   4.9512580221e-31   9.9838170484e-14  -9.9150947039e+05   9.9248591688e-02 
  3.1141328624e+19   3.2597937014e+18   3.5712634545e+58   5.1002730258e-31   9.9838050534e-14  -1.1054148881e+06   9.9248591688e-02 
  3.4576477096e+19   3.4351484715e+18   4.6650558914e+58   5.2752359592e-31   9.9837852837e-14  -1.2308288060e+06   9.9248591688e-02 
  3.8461443073e+19   3.8849659772e+18   6.5169333101e+58   5.4792300101e-31   9.9837633028e-14  -1.3677686408e+06   9.9248591688e-02 
  4.2543590502e+19   4.0821474294e+18   8.4222872628e+58   5.7153154804e-31   9.9837349565e-14  -1.5167102792e+06   9.9248591688e-02 
  4.7208934251e+19   4.6653437491e+18   1.1817288494e+59   5.9913247799e-31   9.9836974562e-14  -1.6804073414e+06   9.9248591688e-02 
  5.1707842175e+19   4.4989079233e+18   1.3838730215e+59   6.2983117072e-31   9.9836494198e-14  -1.8515759507e+06   9.9248591688e-02 
  5.8320097493e+19   6.6122553187e+18   2.5178390166e+59   6.6961001970e-31   9.9835678128e-14  -2.0590408759e+06   9.9248591688e-02 
  6.8504883685e+19   1.0184786191e+19   5.1575564775e+59   7.3292559579e-31   9.9834153897e-14  -2.3723206566e+06   9.9248591688e-02 
  7.2111295188e+19   3.6064115037e+18   2.2407373305e+59   7.8704198487e-31   9.9832733599e-14  -2.6285954480e+06   9.9248591688e-02 
  7.5554958736e+19   3.4436635477e+18   2.3594556832e+59   8.1803533362e-31   9.9831844238e-14  -2.7592277741e+06   9.9248591688e-02 
  7.9102412147e+19   3.5474534107e+18   2.6661463045e+59   8.5254674769e-31   9.9830888598e-14  -2.8888741326e+06   9.9248591688e-02 
  8.2844895434e+19   3.7424832876e+18   3.0841430230e+59   8.9274349549e-31   9.9829761669e-14  -3.0238088210e+06   9.9248591688e-02 
  8.6249842689e+19   3.4049472549e+18   3.0589976439e+59   9.3649780512e-31   9.9828532562e-14  -3.1558960229e+06   9.9248591688e-02 
  9.0652738014e+19   4.4028953248e+18   4.3295846598e+59   9.9003934811e-31   9.9827014104e-14  -3.2998772901e+06   9.9248591688e-02 
  9.4880906090e+19   4.2281680758e+18   4.5732257682e+59   1.0547873034e-30   9.9825140437e-14  -3.4586698306e+06   9.9248591688e-02 
  9.8947524981e+19   4.0666188906e+18   4.8004508272e+59   1.1232497736e-30   9.9823106678e-14  -3.6107889781e+06   9.9248591688e-02 
  1.0280543286e+20   3.8579078823e+18   4.9339469662e+59   1.1955398004e-30   9.9820920677e-14  -3.7557081063e+06   9.9248591688e-02 
  1.0760849008e+20   4.8030572161e+18   6.6817774126e+59   1.2833007052e-30   9.9818203416e-14  -3.9137115582e+06   9.9248591688e-02 
  1.1236751621e+20   4.7590261353e+18   7.2357964218e+59   1.3890003354e-30   9.9814871382e-14  -4.0877716133e+06   9.9248591688e-02 
  1.1689458230e+20   4.5270660809e+18   7.4763164491e+59   1.5014399405e-30   9.9811279492e-14  -4.2563024878e+06   9.9248591688e-02 
  1.2137922734e+20   4.4846450430e+18   7.9998499947e+59   1.6218317213e-30   9.9807426641e-14  -4.4194137908e+06   9.9248591688e-02 
  1.2674512852e+20   5.3659011810e+18   1.0380040175e+60   1.7674451287e-30   9.9802724669e-14  -4.5972606367e+06   9.9248591688e-02 
  1.3206682699e+20   5.3216984751e+18   1.1200309064e+60   1.9400694413e-30   9.9797094096e-14  -4.7897507447e+06   9.9248591688e-02 
  1.3707863516e+20   5.0118081643e+18   1.1406926151e+60   2.1233202278e-30   9.9791125186e-14  -4.9752741049e+06   9.9248591688e-02 
  1.4246897907e+20   5.3903439142e+18   1.3235237827e+60   2.3276134870e-30   9.9784549098e-14  -5.1613958556e+06   9.9248591688e-02 
  1.4864053150e+20   6.1715524256e+18   1.6433200056e+60   2.5781897314e-30   9.9776574726e-14  -5.3673919616e+06   9.9248591688e-02 
  1.5460893679e+20   5.9684052885e+18   1.7245045637e+60   2.8664709172e-30   9.9767402263e-14  -5.5823625585e+06   9.9248591688e-02 
  1.5967730828e+20   5.0683714889e+18   1.5729202637e+60   3.1559212061e-30   9.9758045576e-14  -5.7761361348e+06   9.9248591688e-02 
  1.6650580519e+20   6.8284969138e+18   2.2827659037e+60   3.5072291764e-30   9.9746139606e-14  -5.9827130081e+06   9.9248591688e-02 
  1.7481769335e+20   8.3118881639e+18   3.0427605739e+60   3.9986344041e-30   9.9728303460e-14  -6.2422278435e+06   9.9248591688e-02 
  1.8312521421e+20   8.3075208532e+18   3.3444661752e+60   4.5873158243e-30   9.9704953576e-14  -6.5213342862e+06   9.9248591688e-02 
  1.9051568744e+20   7.3904732318e+18   3.2418101446e+60   5.1990852598e-30   9.9678125846e-14  -6.7782022652e+06   9.9248591688e-02 
  1.9995829649e+20   9.4426090549e+18   4.5238764725e+60   5.9324743011e-30   9.9642021496e-14  -7.0463578757e+06   9.9248591688e-02 
  2.0771491718e+20   7.7566206889e+18   4.0504118406e+60   6.7557429778e-30   9.9597134179e-14  -7.3135098603e+06   9.9248591688e-02 
