# time = 1.913647e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543152e+55   4.4663268856e-31   1.2335101959e-13   0.0000000000e+00   9.9248591688e-02 
  2.6496362594e+18   5.1918447615e+17   3.7415177028e+55   4.4663268856e-31   1.2335101959e-13   4.7114955382e+04   9.9248591688e-02 
  3.4403345102e+18   7.9069825081e+17   9.2645557251e+55   4.4670341723e-31   1.2335496632e-13   8.4817927977e+04   9.9248591688e-02 
  4.2271446008e+18   7.8681009058e+17   1.4582994874e+56   4.4695150664e-31   1.2335675073e-13   1.3654108194e+05   9.9248591688e-02 
  4.7065645787e+18   4.7941997791e+17   1.2032235444e+56   4.4719596131e-31   1.2335868306e-13   1.7043789696e+05   9.9248591688e-02 
  5.1133254805e+18   4.0676090185e+17   1.2329646948e+56   4.4744476270e-31   1.2336014739e-13   1.9459877702e+05   9.9248591688e-02 
  5.7884843066e+18   6.7515882607e+17   2.5241078306e+56   4.4794032451e-31   1.2336144462e-13   2.2329254024e+05   9.9248591688e-02 
  6.3978563520e+18   6.0937204536e+17   2.8453838043e+56   4.4868678620e-31   1.2336440424e-13   2.5688197175e+05   9.9248591688e-02 
  7.2251925634e+18   8.2733621148e+17   4.8296330288e+56   4.4978745781e-31   1.2336687204e-13   2.9597614900e+05   9.9248591688e-02 
  8.0266041520e+18   8.0141158854e+17   5.8620162971e+56   4.5125562625e-31   1.2337291687e-13   3.3887412266e+05   9.9248591688e-02 
  9.0361042191e+18   1.0095000671e+18   9.2439715311e+56   4.5319180831e-31   1.2337892862e-13   3.9489574884e+05   9.9248591688e-02 
  1.0077312961e+19   1.0412087422e+18   1.1961723027e+57   4.5567000070e-31   1.2339041493e-13   4.5289369512e+05   9.9248591688e-02 
  1.1310802969e+19   1.2334900079e+18   1.7746462384e+57   4.5876632659e-31   1.2340488493e-13   5.1949777604e+05   9.9248591688e-02 
  1.2629263170e+19   1.3184602012e+18   2.3763283557e+57   4.6266587063e-31   1.2342397846e-13   5.9096788139e+05   9.9248591688e-02 
  1.4133229385e+19   1.5039662151e+18   3.3876459146e+57   4.6736522007e-31   1.2344467997e-13   6.7249663863e+05   9.9248591688e-02 
  1.5813047447e+19   1.6798180611e+18   4.7375419060e+57   4.7314043679e-31   1.2346346656e-13   7.6535323743e+05   9.9248591688e-02 
  1.7675158650e+19   1.8621112037e+18   6.5672964862e+57   4.8021363572e-31   1.2348030780e-13   8.6355175809e+05   9.9248591688e-02 
