# time = 3.074311e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   3.3512826409e-31   3.3279959374e-14   0.0000000000e+00   9.9248591688e-02 
  2.7219980685e+18   5.9154628532e+17   4.3975095469e+55   3.3512826409e-31   3.3279959374e-14  -1.2670919802e+04   9.9248591688e-02 
  3.6646942950e+18   9.4269622645e+17   1.2167915566e+56   3.3514682193e-31   3.3279739470e-14  -2.4121997996e+04   9.9248591688e-02 
  4.6566567507e+18   9.9196245571e+17   2.1681288462e+56   3.3521272413e-31   3.3279821145e-14  -3.9254458129e+04   9.9248591688e-02 
  5.1630464996e+18   5.0638974889e+17   1.5353815344e+56   3.3530832085e-31   3.3279864612e-14  -4.9144175027e+04   9.9248591688e-02 
  5.6057923369e+18   4.4274583732e+17   1.6139376226e+56   3.3543184426e-31   3.3279872750e-14  -5.5054724678e+04   9.9248591688e-02 
  6.3487188970e+18   7.4292656014e+17   3.3397822266e+56   3.3568538123e-31   3.3279877703e-14  -6.2182157293e+04   9.9248591688e-02 
  7.0361738930e+18   6.8745499597e+17   3.8726268014e+56   3.3607280806e-31   3.3279882031e-14  -7.0577787839e+04   9.9248591688e-02 
  7.9484973965e+18   9.1232350355e+17   6.4436132407e+56   3.3661573515e-31   3.3279878323e-14  -7.9764550045e+04   9.9248591688e-02 
  8.8437228207e+18   8.9522542414e+17   7.9379758337e+56   3.3733562201e-31   3.3279868126e-14  -8.9986930213e+04   9.9248591688e-02 
  9.9561864731e+18   1.1124636524e+18   1.2366699732e+57   3.3827099755e-31   3.3279847861e-14  -1.0120037169e+05   9.9248591688e-02 
  1.1114553094e+19   1.1583666208e+18   1.6173081057e+57   3.3947026183e-31   3.3279813969e-14  -1.1378946531e+05   9.9248591688e-02 
  1.2478429796e+19   1.3638767022e+18   2.3876694316e+57   3.4097347667e-31   3.3279763067e-14  -1.2770274879e+05   9.9248591688e-02 
  1.3945072793e+19   1.4666429972e+18   3.2203333057e+57   3.4284589407e-31   3.3279690195e-14  -1.4327595531e+05   9.9248591688e-02 
  1.5619176285e+19   1.6741034919e+18   4.6018220448e+57   3.4514075922e-31   3.3279592948e-14  -1.6055528440e+05   9.9248591688e-02 
