# time = 3.601221e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   3.5287612855e-31   2.8416097307e-14   0.0000000000e+00   9.9248591688e-02 
  2.6711221430e+18   5.4067035980e+17   3.9326141142e+55   3.5287612855e-31   2.8416097307e-14  -6.6144911770e+03   9.9248591688e-02 
  3.6020722475e+18   9.3095010447e+17   1.1593919237e+56   3.5289577300e-31   2.8415976395e-14  -1.2823979916e+04   9.9248591688e-02 
  4.6004840747e+18   9.9841182725e+17   2.1207893786e+56   3.5296131271e-31   2.8416015628e-14  -2.1312037305e+04   9.9248591688e-02 
  5.0869924815e+18   4.8650840677e+17   1.4355770487e+56   3.5305221048e-31   2.8416036780e-14  -2.6812324983e+04   9.9248591688e-02 
  5.5150521752e+18   4.2805969368e+17   1.5124094862e+56   3.5316588420e-31   2.8416039980e-14  -3.0015845778e+04   9.9248591688e-02 
  6.2464976826e+18   7.3144550747e+17   3.1828815777e+56   3.5340125868e-31   2.8416043893e-14  -3.3930210728e+04   9.9248591688e-02 
  6.9211210623e+18   6.7462337970e+17   3.6779478820e+56   3.5376105190e-31   2.8416048990e-14  -3.8566434480e+04   9.9248591688e-02 
  7.8190686990e+18   8.9794763670e+17   6.1368276986e+56   3.5426422435e-31   2.8416053447e-14  -4.3628292979e+04   9.9248591688e-02 
  8.6979686183e+18   8.7889991925e+17   7.5398603764e+56   3.5493055393e-31   2.8416058411e-14  -4.9261207640e+04   9.9248591688e-02 
  9.7919388278e+18   1.0939702095e+18   1.1763357883e+57   3.5579559258e-31   2.8416063452e-14  -5.5445950414e+04   9.9248591688e-02 
  1.0930449982e+19   1.1385111547e+18   1.5374590439e+57   3.5690557282e-31   2.8416068481e-14  -6.2400042822e+04   9.9248591688e-02 
  1.2272456636e+19   1.3420066537e+18   2.2723400679e+57   3.5829949586e-31   2.8416073326e-14  -7.0074821159e+04   9.9248591688e-02 
  1.3715816653e+19   1.4433600171e+18   3.0656720983e+57   3.6004195717e-31   2.8416076935e-14  -7.8636199729e+04   9.9248591688e-02 
  1.5364988235e+19   1.6491715818e+18   4.3862550147e+57   3.6218644559e-31   2.8416076601e-14  -8.8099717326e+04   9.9248591688e-02 
  1.7222816115e+19   1.8578278803e+18   6.2049144643e+57   3.6485580730e-31   2.8416083523e-14  -9.8778150758e+04   9.9248591688e-02 
  1.9295490914e+19   2.0726747986e+18   8.6929744320e+57   3.6811435195e-31   2.8416095272e-14  -1.1074679799e+05   9.9248591688e-02 
  2.1632802033e+19   2.3373111188e+18   1.2313613564e+58   3.7206928997e-31   2.8416109221e-14  -1.2421296435e+05   9.9248591688e-02 
  2.4169718292e+19   2.5369162593e+18   1.6737039691e+58   3.7676704980e-31   2.8416121700e-14  -1.3907424864e+05   9.9248591688e-02 
  2.7050150716e+19   2.8804324233e+18   2.3765232992e+58   3.8236254437e-31   2.8416134790e-14  -1.5561356894e+05   9.9248591688e-02 
  3.0150419350e+19   3.1002686343e+18   3.1898845970e+58   3.8895395743e-31   2.8416147666e-14  -1.7389976307e+05   9.9248591688e-02 
  3.3742382271e+19   3.5919629209e+18   4.6115070177e+58   3.9682255636e-31   2.8416156648e-14  -1.9438478419e+05   9.9248591688e-02 
  3.7563553789e+19   3.8211715185e+18   6.1096073540e+58   4.0608338523e-31   2.8416164139e-14  -2.1704064633e+05   9.9248591688e-02 
  4.1889965149e+19   4.3264113601e+18   8.5888096233e+58   4.1690823697e-31   2.8416176135e-14  -2.4186111833e+05   9.9248591688e-02 
  4.6495233265e+19   4.6052681159e+18   1.1312451135e+59   4.2949405961e-31   2.8416195712e-14  -2.6894164212e+05   9.9248591688e-02 
  5.1744273829e+19   5.2490405636e+18   1.5929980366e+59   4.4423069632e-31   2.8416230190e-14  -2.9862698717e+05   9.9248591688e-02 
  5.6930078673e+19   5.1858048444e+18   1.9255272997e+59   4.6073394828e-31   2.8416285188e-14  -3.2984380492e+05   9.9248591688e-02 
  6.4744237185e+19   7.8141585114e+18   3.6393731058e+59   4.8257516863e-31   2.8416344648e-14  -3.6865768247e+05   9.9248591688e-02 
  7.6297008263e+19   1.1552771078e+19   7.2359990565e+59   5.1663552465e-31   2.8416415851e-14  -4.2631622153e+05   9.9248591688e-02 
  8.0726579398e+19   4.4295711351e+18   3.4320731107e+59   5.4580989635e-31   2.8416386360e-14  -4.7389411083e+05   9.9248591688e-02 
  8.4682499150e+19   3.9559197528e+18   3.4009388585e+59   5.6269736389e-31   2.8416424419e-14  -4.9901151375e+05   9.9248591688e-02 
  8.8818317314e+19   4.1358181634e+18   3.9119798189e+59   5.8084455721e-31   2.8416446057e-14  -5.2324905430e+05   9.9248591688e-02 
  9.3230731256e+19   4.4124139418e+18   4.5950261011e+59   6.0206885197e-31   2.8416463817e-14  -5.4890326309e+05   9.9248591688e-02 
  9.7336531173e+19   4.1057999175e+18   4.6850198841e+59   6.2536458373e-31   2.8416497852e-14  -5.7451371445e+05   9.9248591688e-02 
  1.0255253279e+20   5.2160016175e+18   6.5488376036e+59   6.5364576706e-31   2.8416579256e-14  -6.0234398702e+05   9.9248591688e-02 
  1.0767817424e+20   5.1256414538e+18   7.1183025443e+59   6.8769373727e-31   2.8416742664e-14  -6.3294418140e+05   9.9248591688e-02 
  1.1262152485e+20   4.9433506081e+18   7.5382750606e+59   7.2369909437e-31   2.8416929094e-14  -6.6264032826e+05   9.9248591688e-02 
  1.1737128341e+20   4.7497585618e+18   7.8942641886e+59   7.6147645903e-31   2.8417226837e-14  -6.9161209156e+05   9.9248591688e-02 
  1.2319207801e+20   5.8207945989e+18   1.0584634397e+60   8.0666692012e-31   2.8417625885e-14  -7.2323197422e+05   9.9248591688e-02 
  1.2907283501e+20   5.8807569985e+18   1.1759137542e+60   8.6088613597e-31   2.8418202689e-14  -7.5817399901e+05   9.9248591688e-02 
  1.3473638830e+20   5.6635532882e+18   1.2384701116e+60   9.1895417712e-31   2.8418914499e-14  -7.9239084603e+05   9.9248591688e-02 
  1.4039881238e+20   5.6624240825e+18   1.3468086337e+60   9.8100075846e-31   2.8419717169e-14  -8.2599781591e+05   9.9248591688e-02 
  1.4707495813e+20   6.6761457435e+18   1.7336052009e+60   1.0547368857e-30   2.8420858821e-14  -8.6338130237e+05   9.9248591688e-02 
  1.5379817107e+20   6.7232129421e+18   1.9123431497e+60   1.1414104992e-30   2.8422388043e-14  -9.0405845635e+05   9.9248591688e-02 
  1.6025174946e+20   6.4535783964e+18   1.9999031570e+60   1.2339458949e-30   2.8424158193e-14  -9.4404167750e+05   9.9248591688e-02 
  1.6718605453e+20   6.9343050605e+18   2.3360136403e+60   1.3364805157e-30   2.8426404152e-14  -9.8490571669e+05   9.9248591688e-02 
  1.7507135045e+20   7.8852959208e+18   2.9023541826e+60   1.4599024282e-30   2.8429413456e-14  -1.0305054629e+06   9.9248591688e-02 
