# time = 1.077738e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543152e+55   3.0975167404e-31   3.2381334275e-12   0.0000000000e+00   9.9248591688e-02 
  2.4867665993e+18   3.5631481604e+17   2.3911446876e+55   3.0975167404e-31   3.2381334275e-12   1.6887190814e+05   9.9248591688e-02 
  2.7546278549e+18   2.6786125561e+17   2.3138296554e+55   3.0991269916e-31   3.2380799993e-12   3.0194904638e+05   9.9248591688e-02 
  3.1612879284e+18   4.0666007346e+17   4.4782555850e+55   3.1054304611e-31   3.2379507505e-12   4.9810717264e+05   9.9248591688e-02 
  3.7168644823e+18   5.5557655395e+17   8.2752449578e+55   3.1207330124e-31   3.2378445907e-12   8.0005872964e+05   9.9248591688e-02 
  4.2126158669e+18   4.9575138458e+17   9.8054774388e+55   3.1434502872e-31   3.2377945214e-12   1.1463183682e+06   9.9248591688e-02 
  4.5591463873e+18   3.4653052045e+17   8.3809053983e+55   3.1695410444e-31   3.2378073872e-12   1.3767931848e+06   9.9248591688e-02 
  5.1549330580e+18   5.9578667064e+17   1.7684312088e+56   3.2092227336e-31   3.2378826509e-12   1.5176482162e+06   9.9248591688e-02 
  5.6406388340e+18   4.8570577601e+17   1.7795384822e+56   3.2650614096e-31   3.2378789826e-12   1.6862748412e+06   9.9248591688e-02 
  6.3606741591e+18   7.2003532508e+17   3.2619851442e+56   3.3410998599e-31   3.2377487569e-12   1.7984694666e+06   9.9248591688e-02 
  7.0027889234e+18   6.4211476430e+17   3.6052440621e+56   3.4414414587e-31   3.2378968117e-12   1.8325457445e+06   9.9248591688e-02 
  7.8528839687e+18   8.5009504529e+17   5.9003230914e+56   3.5665322540e-31   3.2379468679e-12   1.9217486938e+06   9.9248591688e-02 
  8.6561647289e+18   8.0328076025e+17   6.8834146381e+56   3.7231208055e-31   3.2381881524e-12   2.0989481005e+06   9.9248591688e-02 
  9.6467146549e+18   9.9054992599e+17   1.0434914188e+57   3.9152983939e-31   3.2385785201e-12   2.1404158584e+06   9.9248591688e-02 
  1.0628630165e+19   9.8191551016e+17   1.2691118096e+57   4.1482277351e-31   3.2393252533e-12   2.0910307830e+06   9.9248591688e-02 
  1.1766567283e+19   1.1379371179e+18   1.7945333122e+57   4.4244609165e-31   3.2399444400e-12   2.0816748492e+06   9.9248591688e-02 
  1.2940238012e+19   1.1736707288e+18   2.2524537833e+57   4.7542293579e-31   3.2404823300e-12   2.0728298597e+06   9.9248591688e-02 
  1.4228271418e+19   1.2880334059e+18   2.9890548037e+57   5.1409412347e-31   3.2406191595e-12   2.1342591276e+06   9.9248591688e-02 
  1.5598166488e+19   1.3698950706e+18   3.8312917449e+57   5.6026343863e-31   3.2401781283e-12   2.3680495865e+06   9.9248591688e-02 
  1.7054191504e+19   1.4560250153e+18   4.8801769130e+57   6.1479762937e-31   3.2396573188e-12   2.6101663425e+06   9.9248591688e-02 
  1.8636866746e+19   1.5826752427e+18   6.3378958678e+57   6.7983792486e-31   3.2392992122e-12   2.8193485769e+06   9.9248591688e-02 
  2.0271301010e+19   1.6344342639e+18   7.7777552266e+57   7.5616929423e-31   3.2393792849e-12   2.9373131033e+06   9.9248591688e-02 
  2.2083584289e+19   1.8122832784e+18   1.0219930282e+58   8.4741022770e-31   3.2398771446e-12   3.1201266108e+06   9.9248591688e-02 
  2.3911957370e+19   1.8283730819e+18   1.2158356030e+58   9.5397938159e-31   3.2399516536e-12   3.5803219367e+06   9.9248591688e-02 
  2.5988644441e+19   2.0766870701e+18   1.6254856827e+58   1.0816050866e-30   3.2398596125e-12   4.1586204407e+06   9.9248591688e-02 
  2.8032540218e+19   2.0438957774e+18   1.8747527840e+58   1.2317155340e-30   3.2396368562e-12   4.7765226389e+06   9.9248591688e-02 
  3.0323015598e+19   2.2904753800e+18   2.4516749314e+58   1.4070331134e-30   3.2392212590e-12   5.3541825288e+06   9.9248591688e-02 
  3.2552631114e+19   2.2296155162e+18   2.7702998533e+58   1.6116637426e-30   3.2387898350e-12   5.8505149102e+06   9.9248591688e-02 
  3.5170392628e+19   2.6177615138e+18   3.7737130647e+58   1.8581016895e-30   3.2385611156e-12   6.1605223538e+06   9.9248591688e-02 
  3.7385471961e+19   2.2150793332e+18   3.6645369607e+58   2.1289102814e-30   3.2388682089e-12   6.4925699904e+06   9.9248591688e-02 
  4.0283122866e+19   2.8976509048e+18   5.4939952493e+58   2.4560356162e-30   3.2385371719e-12   6.9226023057e+06   9.9248591688e-02 
  4.6296343281e+19   6.0132204151e+18   1.4183537168e+59   3.0809856564e-30   3.2380990689e-12   7.7393078374e+06   9.9248591688e-02 
  4.7382728669e+19   1.0863853875e+18   2.9952868244e+58   3.6043656340e-30   3.2372424352e-12   8.4914789182e+06   9.9248591688e-02 
