# time = 5.949821e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   6.2604769171e-31   3.2879469886e-14   0.0000000000e+00   9.9248591688e-02 
  2.3884543328e+18   2.5800254962e+17   1.6569604616e+55   6.2604769171e-31   3.2879469886e-14  -1.6959852948e+03   9.9248591688e-02 
  3.1108504866e+18   7.2239615378e+17   6.9029028332e+55   6.2606884039e-31   3.2879311198e-14  -3.7552389603e+03   9.9248591688e-02 
  3.9360299666e+18   8.2517948000e+17   1.2932205677e+56   6.2614887570e-31   3.2879180226e-14  -7.6121655010e+03   9.9248591688e-02 
  4.2895200827e+18   3.5349011611e+17   7.5183807992e+55   6.2625354153e-31   3.2879028740e-14  -9.8701030153e+03   9.9248591688e-02 
  4.6091953147e+18   3.1967523205e+17   7.9561008097e+55   6.2637836659e-31   3.2878910884e-14  -1.1101048052e+04   9.9248591688e-02 
  5.2186630976e+18   6.0946778287e+17   1.8517177276e+56   6.2666228861e-31   3.2878721227e-14  -1.2793433635e+04   9.9248591688e-02 
  5.7556465260e+18   5.3698342842e+17   2.0333476460e+56   6.2709322072e-31   3.2878454673e-14  -1.4808583239e+04   9.9248591688e-02 
  6.5014186194e+18   7.4577209339e+17   3.5242327448e+56   6.2770204117e-31   3.2878115704e-14  -1.6973579697e+04   9.9248591688e-02 
  7.2123182901e+18   7.1089967070e+17   4.2039607748e+56   6.2851762508e-31   3.2877698168e-14  -1.9308423186e+04   9.9248591688e-02 
  8.1187053278e+18   9.0638703765e+17   6.7005671946e+56   6.2957611191e-31   3.2877207722e-14  -2.1783627309e+04   9.9248591688e-02 
  9.0504731370e+18   9.3176780923e+17   8.6373945567e+56   6.3093145096e-31   3.2876632785e-14  -2.4687550311e+04   9.9248591688e-02 
  1.0162144794e+19   1.1116716568e+18   1.2905769213e+57   6.3263042025e-31   3.2876064664e-14  -2.7694737413e+04   9.9248591688e-02 
  1.1352603985e+19   1.1904591914e+18   1.7329256820e+57   6.3475582127e-31   3.2875490936e-14  -3.0931401742e+04   9.9248591688e-02 
  1.2720515810e+19   1.3679118249e+18   2.4931011956e+57   6.3735025235e-31   3.2874920377e-14  -3.4327799559e+04   9.9248591688e-02 
  1.4269146175e+19   1.5486303645e+18   3.5478796826e+57   6.4057953506e-31   3.2874545538e-14  -3.6917720159e+04   9.9248591688e-02 
  1.6000386412e+19   1.7312402370e+18   4.9887521963e+57   6.4452326970e-31   3.2874355656e-14  -3.8822157209e+04   9.9248591688e-02 
  1.7960713035e+19   1.9603266234e+18   7.1108885141e+57   6.4930088246e-31   3.2874325786e-14  -4.0206905764e+04   9.9248591688e-02 
  2.0080079860e+19   2.1193668251e+18   9.6450444724e+57   6.5495128571e-31   3.2874448013e-14  -4.1628051294e+04   9.9248591688e-02 
  2.2498999187e+19   2.4189193267e+18   1.3792111033e+58   6.6168748480e-31   3.2874699963e-14  -4.3040066990e+04   9.9248591688e-02 
