# time = 6.679171e+14 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543152e+55   7.6339635619e-32   1.4850917605e-13   0.0000000000e+00   7.3313011751e-02 
  5.0203737777e+18   2.8899219945e+18   4.8952095984e+56   7.6339635619e-32   1.4850917605e-13   1.6892164808e+05   7.3313011751e-02 
  6.3765436724e+18   1.3561698947e+18   5.5601150534e+56   7.6526354449e-32   1.4858153507e-13  -2.0708921308e+05   7.3313011751e-02 
  7.6702128461e+18   1.2936691738e+18   8.0417647291e+56   7.7001771678e-32   1.4868531739e-13  -7.2409138516e+05   7.3313011751e-02 
  8.6294039997e+18   9.5919115352e+17   8.0151354042e+56   7.7720853595e-32   1.4874837413e-13  -8.5407426358e+05   7.3313011751e-02 
  9.6736676381e+18   1.0442636384e+18   1.1002185550e+57   7.8781754137e-32   1.4876694731e-13  -7.4935817301e+05   7.3313011751e-02 
  1.0748076587e+19   1.0744089490e+18   1.4089827219e+57   8.0387092247e-32   1.4876935625e-13  -5.8863392627e+05   7.3313011751e-02 
  1.2031202873e+19   1.2831262857e+18   2.0939115092e+57   8.2806135361e-32   1.4876792153e-13  -3.9296985707e+05   7.3313011751e-02 
  1.3345158910e+19   1.3139560373e+18   2.6605864113e+57   8.6242709316e-32   1.4876633415e-13  -1.7634033879e+05   7.3313011751e-02 
  1.4881316691e+19   1.5361577811e+18   3.8488196666e+57   9.0888408822e-32   1.4876450234e-13   8.1663946786e+04   7.3313011751e-02 
  1.6422019541e+19   1.5407028502e+18   4.7467958741e+57   9.6810478129e-32   1.4875853529e-13   4.1851143799e+05   7.3313011751e-02 
  1.8215667802e+19   1.7936482604e+18   6.7666379707e+57   1.0456543752e-31   1.4875864378e-13   8.1351729288e+05   7.3313011751e-02 
  1.9975357463e+19   1.7596896616e+18   8.0689275657e+57   1.1410295920e-31   1.4876277681e-13   1.1735097571e+06   7.3313011751e-02 
  2.1989759393e+19   2.0144019297e+18   1.1153375157e+58   1.2579160457e-31   1.4877238908e-13   1.4564226600e+06   7.3313011751e-02 
  2.3950812922e+19   1.9610535290e+18   1.3010555146e+58   1.3997856229e-31   1.4877827080e-13   1.6123336287e+06   7.3313011751e-02 
  2.6201468303e+19   2.2506553811e+18   1.7796381263e+58   1.5762677657e-31   1.4881513647e-13   1.6081763434e+06   7.3313011751e-02 
  2.8376300985e+19   2.1748326822e+18   2.0362781229e+58   1.7898013140e-31   1.4885733799e-13   1.6874399261e+06   7.3313011751e-02 
  3.0865929663e+19   2.4896286774e+18   2.7466469822e+58   2.0512662868e-31   1.4885194247e-13   1.9051437404e+06   7.3313011751e-02 
  3.3222240390e+19   2.3563107278e+18   3.0418221850e+58   2.3655471801e-31   1.4883611290e-13   2.1681207339e+06   7.3313011751e-02 
  3.5927879259e+19   2.7056388687e+18   4.0665595956e+58   2.7535282781e-31   1.4880751290e-13   2.4391486359e+06   7.3313011751e-02 
  3.8514768897e+19   2.5868896382e+18   4.5055330551e+58   3.2202013618e-31   1.4877584603e-13   2.6485385661e+06   7.3313011751e-02 
  4.1395468305e+19   2.8806994071e+18   5.7815028371e+58   3.8111807273e-31   1.4876628322e-13   2.8542153448e+06   7.3313011751e-02 
  4.4099577370e+19   2.7041090657e+18   6.2115612268e+58   4.5171285154e-31   1.4878808788e-13   2.9439354384e+06   7.3313011751e-02 
  4.7264881403e+19   3.1653040325e+18   8.3041196208e+58   5.4331542547e-31   1.4887225491e-13   3.0812058297e+06   7.3313011751e-02 
  5.0149733377e+19   2.8848519738e+18   8.6029734253e+58   6.5556325293e-31   1.4886192893e-13   3.3555432168e+06   7.3313011751e-02 
  5.3224289170e+19   3.0745557934e+18   1.0324835049e+59   7.8698081312e-31   1.4884383672e-13   3.6456176067e+06   7.3313011751e-02 
  5.9436567346e+19   6.2122781762e+18   2.4796295884e+59   1.0613408857e-30   1.4886282855e-13   4.0455202134e+06   7.3313011751e-02 
  6.2963553720e+19   3.5269863735e+18   1.6604948511e+59   1.3825306134e-30   1.4889245351e-13   4.3619967341e+06   7.3313011751e-02 
  6.4938033594e+19   1.9744798743e+18   1.0148198444e+59   1.5991583789e-30   1.4899978906e-13   4.5113302810e+06   7.3313011751e-02 
  6.7108925940e+19   2.1708923462e+18   1.1892799508e+59   1.8264852730e-30   1.4895125722e-13   4.7064740532e+06   7.3313011751e-02 
  6.8739518578e+19   1.6305926375e+18   9.4542165579e+58   2.0946639369e-30   1.4894386802e-13   4.8536766495e+06   7.3313011751e-02 
  7.0990041036e+19   2.2505224584e+18   1.3805347935e+59   2.5074717398e-30   1.4893818964e-13   4.9895435398e+06   7.3313011751e-02 
  7.2818229454e+19   1.8281884180e+18   1.1878509453e+59   3.0469247673e-30   1.4898686659e-13   5.1197386720e+06   7.3313011751e-02 
  7.5090466363e+19   2.2722369084e+18   1.5617987171e+59   3.7583678274e-30   1.4903803634e-13   5.2629804845e+06   7.3313011751e-02 
  7.9020175764e+19   3.9297094010e+18   2.9327138237e+59   5.2586707692e-30   1.4909716987e-13   5.4879986895e+06   7.3313011751e-02 
  8.7235304208e+19   8.2151284442e+18   7.1395277301e+59   8.7199723439e-30   1.4929378805e-13   5.8955124357e+06   7.3313011751e-02 
  9.2033331496e+19   4.7980272882e+18   4.8453471829e+59   1.2619441416e-29   1.4966584930e-13   6.3164667334e+06   7.3313011751e-02 
  1.0059647521e+20   8.5631437091e+18   9.9888632013e+59   1.8620257356e-29   1.5023008559e-13   6.7855535374e+06   7.3313011751e-02 
  1.1223225993e+20   1.1635784725e+19   1.6574428782e+60   2.9007188346e-29   1.5185800973e-13   7.4292053272e+06   7.3313011751e-02 
  1.2443811567e+20   1.2205855738e+19   2.1497639709e+60   4.3086052360e-29   1.5546046707e-13   8.1072773223e+06   7.3313011751e-02 
  1.4135870167e+20   1.6920586006e+19   3.7605476837e+60   5.5440820823e-29   1.6252886106e-13   8.5851350814e+06   7.3313011751e-02 
  1.5615996809e+20   1.4801266415e+19   4.1194130076e+60   6.5347008150e-29   1.7093754880e-13   8.5618021613e+06   7.3313011751e-02 
  1.6748090831e+20   1.1320940222e+19   3.7268010110e+60   7.0594770814e-29   1.8302096137e-13   7.2998728381e+06   7.3313011751e-02 
  1.7538986569e+20   7.9089573835e+18   2.9215078898e+60   7.2838186881e-29   1.9611168668e-13   5.4767502649e+06   7.3313011751e-02 
  1.8457485131e+20   9.1849856160e+18   3.7397490927e+60   7.3394630977e-29   2.1114635690e-13   3.2234382525e+06   7.3313011751e-02 
  1.9303633424e+20   8.4614829277e+18   3.7910432458e+60   7.3588171623e-29   2.2649694221e-13   9.4738162568e+05   7.3313011751e-02 
  2.0896003829e+20   1.5923704055e+19   8.0884503916e+60   7.2988918524e-29   2.4530290745e-13  -1.1735353488e+06   7.3313011751e-02 
  2.1715485314e+20   8.1948148478e+18   4.6751546306e+60   7.1243743583e-29   2.5943427114e-13  -2.9941208050e+06   7.3313011751e-02 
  2.2441411133e+20   7.2592581904e+18   4.4471146080e+60   6.8362596554e-29   2.6773491111e-13  -3.4093163545e+06   7.3313011751e-02 
  2.3394479202e+20   9.5306806884e+18   6.2914061154e+60   6.4812060423e-29   2.7481959671e-13  -3.9493302316e+06   7.3313011751e-02 
  2.4260811928e+20   8.6633272627e+18   6.1816539095e+60   6.4762902294e-29   2.8237808975e-13  -4.4078387353e+06   7.3313011751e-02 
  2.5468555874e+20   1.2077439461e+19   9.3850371472e+60   6.1590826099e-29   2.9030700754e-13  -5.0343307202e+06   7.3313011751e-02 
  2.6345009744e+20   8.7645386959e+18   7.3927720542e+60   5.8395273719e-29   2.9865218807e-13  -5.7562875317e+06   7.3313011751e-02 
  2.7490845960e+20   1.1458362159e+19   1.0434730387e+61   5.4731800281e-29   3.0705089311e-13  -6.5031008409e+06   7.3313011751e-02 
  2.8527792468e+20   1.0369465080e+19   1.0224001962e+61   5.1018369947e-29   3.1696154433e-13  -7.4428766062e+06   7.3313011751e-02 
  2.9960564915e+20   1.4327724472e+19   1.5401137783e+61   4.8141536026e-29   3.2926528695e-13  -8.6273281834e+06   7.3313011751e-02 
  3.0885876649e+20   9.2531173453e+18   1.0763209397e+61   4.5630011221e-29   3.4096533769e-13  -9.7039210974e+06   7.3313011751e-02 
  3.1600864707e+20   7.1498805794e+18   8.7708840116e+60   4.3082649709e-29   3.4878318368e-13  -1.0271342310e+07   7.3313011751e-02 
  3.2438855877e+20   8.3799116947e+18   1.0797245072e+61   3.9851644325e-29   3.5533112552e-13  -1.0758505705e+07   7.3313011751e-02 
  3.3723243339e+20   1.2843874624e+19   1.7665219351e+61   3.6987950330e-29   3.6361063560e-13  -1.1367564834e+07   7.3313011751e-02 
  3.4121879012e+20   3.9863567312e+18   5.7645882307e+60   3.5958767761e-29   3.6992999164e-13  -1.1821507589e+07   7.3313011750e-02 
  3.4391938851e+20   2.7005983877e+18   3.9826162694e+60   3.6144422672e-29   3.7247015343e-13  -1.1991954972e+07   7.3313011749e-02 
  3.5144287864e+20   7.5234901331e+18   1.1429004818e+61   3.7817575105e-29   3.7652396019e-13  -1.2251478141e+07   7.3313011743e-02 
