# time = 3.032311e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   3.2696695753e-31   3.2631220477e-14   0.0000000000e+00   9.9248591688e-02 
  2.7380730861e+18   6.0762130288e+17   4.5480659354e+55   3.2696695753e-31   3.2631220477e-14  -2.8421794192e+04   9.9248591688e-02 
  3.6899505268e+18   9.5187744067e+17   1.2446543197e+56   3.2698271883e-31   3.2630747903e-14  -5.3876186683e+04   9.9248591688e-02 
  4.6889940627e+18   9.9904353598e+17   2.2139412906e+56   3.2704869969e-31   3.2630909675e-14  -8.7168006574e+04   9.9248591688e-02 
  5.2020679167e+18   5.1307385393e+17   1.5783559610e+56   3.2714469599e-31   3.2630992924e-14  -1.0899857092e+05   9.9248591688e-02 
  5.6501009736e+18   4.4803305694e+17   1.6585924917e+56   3.2726772333e-31   3.2631009556e-14  -1.2211386178e+05   9.9248591688e-02 
  6.3988278037e+18   7.4872683006e+17   3.4192336996e+56   3.2751780723e-31   3.2631034001e-14  -1.3786459878e+05   9.9248591688e-02 
  7.0928374009e+18   6.9400959721e+17   3.9721839100e+56   3.2789958675e-31   3.2631071974e-14  -1.5644383853e+05   9.9248591688e-02 
  8.0124200449e+18   9.1958264402e+17   6.5998352355e+56   3.2843524026e-31   3.2631122799e-14  -1.7676701245e+05   9.9248591688e-02 
  8.9157395881e+18   9.0331954325e+17   8.1399697785e+56   3.2914652569e-31   3.2631190704e-14  -1.9942790593e+05   9.9248591688e-02 
  1.0037207464e+19   1.1214678759e+18   1.2670587960e+57   3.3007151046e-31   3.2631279883e-14  -2.2432689640e+05   9.9248591688e-02 
  1.1205518062e+19   1.1683105979e+18   1.6579305260e+57   3.3125699511e-31   3.2631398343e-14  -2.5228849633e+05   9.9248591688e-02 
  1.2580535231e+19   1.3750171694e+18   2.4467312272e+57   3.3274060237e-31   3.2631554367e-14  -2.8317913124e+05   9.9248591688e-02 
  1.4059432286e+19   1.4788970549e+18   3.3006624321e+57   3.3458577926e-31   3.2631762461e-14  -3.1772857812e+05   9.9248591688e-02 
  1.5747034694e+19   1.6876024076e+18   4.7152511815e+57   3.3684488542e-31   3.2632038398e-14  -3.5598712049e+05   9.9248591688e-02 
  1.7644508915e+19   1.8974742215e+18   6.6537419639e+57   3.3964495657e-31   3.2632413673e-14  -3.9924794920e+05   9.9248591688e-02 
  1.9759656164e+19   2.1151472489e+18   9.3066435676e+57   3.4305781641e-31   3.2632908338e-14  -4.4762985643e+05   9.9248591688e-02 
  2.2142620860e+19   2.3829646954e+18   1.3158629747e+58   3.4720476774e-31   3.2633548726e-14  -5.0187813896e+05   9.9248591688e-02 
  2.4728686267e+19   2.5860654070e+18   1.7866684523e+58   3.5214203674e-31   3.2634346587e-14  -5.6158707199e+05   9.9248591688e-02 
  2.7661581661e+19   2.9328953939e+18   2.5316352488e+58   3.5803126059e-31   3.2635336624e-14  -6.2782211509e+05   9.9248591688e-02 
  3.0819178959e+19   3.1575972984e+18   3.3958967057e+58   3.6496971642e-31   3.2636551373e-14  -7.0090485424e+05   9.9248591688e-02 
  3.4470471354e+19   3.6512923949e+18   4.8948309122e+58   3.7324592435e-31   3.2638094717e-14  -7.8269948664e+05   9.9248591688e-02 
  3.8349815541e+19   3.8793441877e+18   6.4687982291e+58   3.8297315226e-31   3.2640010539e-14  -8.7306901499e+05   9.9248591688e-02 
  4.2734043780e+19   4.3842282384e+18   9.0643126828e+58   3.9432823510e-31   3.2642387722e-14  -9.7214255665e+05   9.9248591688e-02 
  4.7393368416e+19   4.6593246357e+18   1.1900723664e+59   4.0750600094e-31   3.2645368067e-14  -1.0809581046e+06   9.9248591688e-02 
  5.2700373512e+19   5.3070050962e+18   1.6719373285e+59   4.2291360486e-31   3.2649153535e-14  -1.2014120852e+06   9.9248591688e-02 
  5.7950720241e+19   5.2503467295e+18   2.0210408425e+59   4.4018353850e-31   3.2653706812e-14  -1.3294061138e+06   9.9248591688e-02 
  6.5777869899e+19   7.8271496581e+18   3.7694031446e+59   4.6294405476e-31   3.2660355397e-14  -1.4887299371e+06   9.9248591688e-02 
  7.7318451015e+19   1.1540581116e+19   7.4400363340e+59   4.9834224673e-31   3.2672221084e-14  -1.7248326416e+06   9.9248591688e-02 
  8.1766587934e+19   4.4481369184e+18   3.5375277852e+59   5.2874816742e-31   3.2683457596e-14  -1.9232343542e+06   9.9248591688e-02 
  8.5753657065e+19   3.9870691312e+18   3.5157682030e+59   5.4651944113e-31   3.2689645832e-14  -2.0244916570e+06   9.9248591688e-02 
  8.9903584040e+19   4.1499269746e+18   4.0234928568e+59   5.6566955086e-31   3.2695665041e-14  -2.1194898723e+06   9.9248591688e-02 
  9.4308775255e+19   4.4051912154e+18   4.6971555731e+59   5.8800306468e-31   3.2701986592e-14  -2.2166476411e+06   9.9248591688e-02 
  9.8406207807e+19   4.0974325519e+18   4.7814331184e+59   6.1248744626e-31   3.2708196714e-14  -2.3104953518e+06   9.9248591688e-02 
  1.0360279208e+20   5.1965842711e+18   6.6635409642e+59   6.4223004910e-31   3.2714824639e-14  -2.4095617345e+06   9.9248591688e-02 
  1.0868872016e+20   5.0859280820e+18   7.2022539237e+59   6.7807361798e-31   3.2722039360e-14  -2.5149966970e+06   9.9248591688e-02 
  1.1358810418e+20   4.8993840177e+18   7.6058901325e+59   7.1611033101e-31   3.2728857445e-14  -2.6127455194e+06   9.9248591688e-02 
  1.1829421199e+20   4.7061078150e+18   7.9507231018e+59   7.5622000637e-31   3.2735174333e-14  -2.7025846301e+06   9.9248591688e-02 
  1.2405421204e+20   5.7600000499e+18   1.0630030933e+60   8.0429405174e-31   3.2741709937e-14  -2.7961298756e+06   9.9248591688e-02 
  1.2985322700e+20   5.7990149581e+18   1.1747094384e+60   8.6186659901e-31   3.2748636134e-14  -2.8945092166e+06   9.9248591688e-02 
  1.3542100166e+20   5.5677746568e+18   1.2310775501e+60   9.2344706932e-31   3.2755110317e-14  -2.9855727387e+06   9.9248591688e-02 
  1.4097995399e+20   5.5589523320e+18   1.3343828606e+60   9.8937075575e-31   3.2761015907e-14  -3.0693599976e+06   9.9248591688e-02 
  1.4753568414e+20   6.5557301483e+18   1.7146851735e+60   1.0679826393e-30   3.2766944320e-14  -3.1548818481e+06   9.9248591688e-02 
  1.5411766724e+20   6.5819831047e+18   1.8818797203e+60   1.1604133533e-30   3.2772836803e-14  -3.2418376989e+06   9.9248591688e-02 
  1.6041269809e+20   6.2950308521e+18   1.9567298847e+60   1.2590922269e-30   3.2777969905e-14  -3.3210327437e+06   9.9248591688e-02 
  1.6717345701e+20   6.7607589113e+18   2.2795968854e+60   1.3689850610e-30   3.2782641752e-14  -3.3943997611e+06   9.9248591688e-02 
  1.7485313429e+20   7.6796772890e+18   2.8228354701e+60   1.5022453725e-30   3.2787056900e-14  -3.4686552659e+06   9.9248591688e-02 
