# time = 5.366588e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   5.5557762463e-31   3.2057607586e-14   0.0000000000e+00   9.9248591688e-02 
  2.4336646340e+18   3.0321285082e+17   1.9872355667e+55   5.5557762463e-31   3.2057607586e-14  -1.0934452987e+03   9.9248591688e-02 
  3.1990020290e+18   7.6533739494e+17   7.6753000110e+55   5.5559951889e-31   3.2057569719e-14  -2.3903675488e+03   9.9248591688e-02 
  4.0644003058e+18   8.6539827687e+17   1.4411071378e+56   5.5567472174e-31   3.2057591508e-14  -4.4703405168e+03   9.9248591688e-02 
  4.4424022065e+18   3.7800190065e+17   8.5992841633e+55   5.5577548923e-31   3.2057608390e-14  -5.7499665217e+03   9.9248591688e-02 
  4.7820654042e+18   3.3966319769e+17   9.0840020470e+55   5.5589889827e-31   3.2057615074e-14  -6.4320080702e+03   9.9248591688e-02 
  5.4153940272e+18   6.3332862303e+17   2.0716719810e+56   5.5617501413e-31   3.2057624692e-14  -7.3066342348e+03   9.9248591688e-02 
  5.9793179489e+18   5.6392392174e+17   2.3021388617e+56   5.5659884153e-31   3.2057637351e-14  -8.3441612293e+03   9.9248591688e-02 
  6.7546232961e+18   7.7530534717e+17   3.9544368443e+56   5.5719179327e-31   3.2057650803e-14  -9.4624129681e+03   9.9248591688e-02 
  7.4981147249e+18   7.4349142883e+17   4.7491533667e+56   5.5797709395e-31   3.2057665816e-14  -1.0702438726e+04   9.9248591688e-02 
  8.4406559625e+18   9.4254123761e+17   7.5312284296e+56   5.5899613074e-31   3.2057682991e-14  -1.2051825247e+04   9.9248591688e-02 
  9.4121477512e+18   9.7149178867e+17   9.7371157090e+56   5.6030366687e-31   3.2057703581e-14  -1.3562314983e+04   9.9248591688e-02 
  1.0567886212e+19   1.1557384604e+18   1.4510620927e+57   5.6194060128e-31   3.2057726870e-14  -1.5218845039e+04   9.9248591688e-02 
  1.1806725767e+19   1.2388395559e+18   1.9503813241e+57   5.6398162866e-31   3.2057751967e-14  -1.7070418631e+04   9.9248591688e-02 
  1.3228660494e+19   1.4219347263e+18   2.8028823693e+57   5.6648236733e-31   3.2057775096e-14  -1.9132792718e+04   9.9248591688e-02 
  1.4837601866e+19   1.6089413719e+18   3.9859765357e+57   5.6959377188e-31   3.2057800750e-14  -2.1455051902e+04   9.9248591688e-02 
  1.6636734345e+19   1.7991324791e+18   5.6053009482e+57   5.7338890427e-31   3.2057826428e-14  -2.4042285208e+04   9.9248591688e-02 
  1.8672772678e+19   2.0360383330e+18   7.9836263783e+57   5.7799814573e-31   3.2057849440e-14  -2.6936011927e+04   9.9248591688e-02 
  2.0874974539e+19   2.2022018613e+18   1.0831762999e+58   5.8346605916e-31   3.2057868136e-14  -3.0106900227e+04   9.9248591688e-02 
  2.3384052474e+19   2.5090779355e+18   1.5457268495e+58   5.8997717928e-31   3.2057878320e-14  -3.3620251204e+04   9.9248591688e-02 
  2.6075136808e+19   2.6910843336e+18   2.0701390979e+58   5.9763612374e-31   3.2057874142e-14  -3.7521130010e+04   9.9248591688e-02 
  2.9221162153e+19   3.1460253449e+18   3.0253286393e+58   6.0678851201e-31   3.2057857251e-14  -4.1871431286e+04   9.9248591688e-02 
  3.2566589347e+19   3.3454271942e+18   4.0163395064e+58   6.1756872662e-31   3.2057805153e-14  -4.6710118726e+04   9.9248591688e-02 
  3.6388496478e+19   3.8219071312e+18   5.7148798724e+58   6.3018640738e-31   3.2057752557e-14  -5.2129789718e+04   9.9248591688e-02 
  4.0456388764e+19   4.0678922852e+18   7.5536129887e+58   6.4487134185e-31   3.2057679526e-14  -5.8083865631e+04   9.9248591688e-02 
  4.5123837361e+19   4.6674485974e+18   1.0749955432e+59   6.6208339931e-31   3.2057596109e-14  -6.4663116553e+04   9.9248591688e-02 
  4.9636233388e+19   4.5123960265e+18   1.2739018727e+59   6.8117551265e-31   3.2057503311e-14  -7.1516324051e+04   9.9248591688e-02 
  5.6660449329e+19   7.0242159410e+18   2.4970017055e+59   7.0664058682e-31   3.2057394606e-14  -8.0136535093e+04   9.9248591688e-02 
  6.7392013248e+19   1.0731563920e+19   5.2012256297e+59   7.4754938258e-31   3.2057218778e-14  -9.3509300840e+04   9.9248591688e-02 
  7.1198283340e+19   3.8062700916e+18   2.2973348629e+59   7.8219275126e-31   3.2057059400e-14  -1.0435446963e+05   9.9248591688e-02 
  7.4723061514e+19   3.5247781745e+18   2.3583256235e+59   8.0141861037e-31   3.2056927360e-14  -1.0979919979e+05   9.9248591688e-02 
  7.8472637166e+19   3.7495756515e+18   2.7651064208e+59   8.2251900538e-31   3.2056829627e-14  -1.1530478407e+05   9.9248591688e-02 
  8.2517373009e+19   4.0447358426e+18   3.2940429774e+59   8.4733738759e-31   3.2056712109e-14  -1.2126276480e+05   9.9248591688e-02 
  8.6235997824e+19   3.7186248154e+18   3.3274185854e+59   8.7429381051e-31   3.2056604098e-14  -1.2729368024e+05   9.9248591688e-02 
  9.1051195772e+19   4.8151979481e+18   4.7558212923e+59   9.0683557232e-31   3.2056475327e-14  -1.3396617272e+05   9.9248591688e-02 
  9.5797275626e+19   4.7460798541e+18   5.2066382406e+59   9.4609841305e-31   3.2056312082e-14  -1.4138758014e+05   9.9248591688e-02 
  1.0038477384e+20   4.5874982149e+18   5.5478341098e+59   9.8748785755e-31   3.2056130004e-14  -1.4854277278e+05   9.9248591688e-02 
  1.0477073265e+20   4.3859588107e+18   5.8002530010e+59   1.0306150955e-30   3.2055939179e-14  -1.5537212476e+05   9.9248591688e-02 
  1.1022954423e+20   5.4588115779e+18   7.9290165890e+59   1.0820711742e-30   3.2055701016e-14  -1.6283484322e+05   9.9248591688e-02 
  1.1577947866e+20   5.5499344315e+18   8.9079252936e+59   1.1437241392e-30   3.2055426618e-14  -1.7129299334e+05   9.9248591688e-02 
  1.2113508286e+20   5.3556041996e+18   9.4453015149e+59   1.2092562102e-30   3.2055165568e-14  -1.7973014941e+05   9.9248591688e-02 
  1.2649519297e+20   5.3601101125e+18   1.0327587632e+60   1.2786926865e-30   3.2054812332e-14  -1.8801930390e+05   9.9248591688e-02 
  1.3288307530e+20   6.3878823253e+18   1.3503978779e+60   1.3609525467e-30   3.2054486101e-14  -1.9726206008e+05   9.9248591688e-02 
  1.3933894581e+20   6.4558705087e+18   1.5032548131e+60   1.4572191271e-30   3.2054068093e-14  -2.0737280101e+05   9.9248591688e-02 
  1.4555942366e+20   6.2204778502e+18   1.5864359965e+60   1.5591796292e-30   3.2053546953e-14  -2.1721919160e+05   9.9248591688e-02 
  1.5228494029e+20   6.7255166373e+18   1.8746841353e+60   1.6715085119e-30   3.2052949622e-14  -2.2737785036e+05   9.9248591688e-02 
  1.5998934002e+20   7.7043997253e+18   2.3607457789e+60   1.8061878068e-30   3.2052197770e-14  -2.3884883504e+05   9.9248591688e-02 
  1.6755197596e+20   7.5626359449e+18   2.5493673219e+60   1.9585988590e-30   3.2051192129e-14  -2.5099413974e+05   9.9248591688e-02 
  1.7424850975e+20   6.6965337854e+18   2.4581073852e+60   2.1116411056e-30   3.2050061963e-14  -2.6251821001e+05   9.9248591688e-02 
  1.8305724766e+20   8.8087379083e+18   3.5337153736e+60   2.2927344691e-30   3.2048455342e-14  -2.7519657049e+05   9.9248591688e-02 
  1.9381443661e+20   1.0757188956e+19   4.8012421988e+60   2.5374313567e-30   3.2045935375e-14  -2.9195061076e+05   9.9248591688e-02 
  2.0481524495e+20   1.1000808334e+19   5.4931817782e+60   2.8266875873e-30   3.2042343147e-14  -3.1138472002e+05   9.9248591688e-02 
  2.1500406476e+20   1.0188819807e+19   5.6426593743e+60   3.1273873536e-30   3.2037979400e-14  -3.3105527599e+05   9.9248591688e-02 
  2.2762930217e+20   1.2625237412e+19   7.7731219955e+60   3.4764511904e-30   3.2032233664e-14  -3.5322585316e+05   9.9248591688e-02 
  2.3875979472e+20   1.1130492555e+19   7.6075265605e+60   3.8645517726e-30   3.2025670738e-14  -3.7650653510e+05   9.9248591688e-02 
  2.5497969651e+20   1.6219901785e+19   1.2426534357e+61   4.3479695972e-30   3.2018915364e-14  -4.0015359661e+05   9.9248591688e-02 
  2.6681492350e+20   1.1835226993e+19   1.0125118816e+61   4.8741708707e-30   3.2012305844e-14  -4.2277708974e+05   9.9248591688e-02 
  2.7733861131e+20   1.0523687804e+19   9.7907256055e+60   5.3270672708e-30   3.2006625714e-14  -4.4007282004e+05   9.9248591688e-02 
  2.8846656522e+20   1.1127953910e+19   1.1193219403e+61   5.7611637804e-30   3.2002024561e-14  -4.5368918546e+05   9.9248591688e-02 
  2.9878671753e+20   1.0320152317e+19   1.1182311649e+61   6.1506444563e-30   3.1997155263e-14  -4.6622837754e+05   9.9248591688e-02 
  3.1408897690e+20   1.5302259370e+19   1.8060944797e+61   6.5640530138e-30   3.1992978235e-14  -4.7692582999e+05   9.9248591688e-02 
  3.2988381938e+20   1.5794842479e+19   2.0581986750e+61   7.0191201030e-30   3.1989721179e-14  -4.8501900300e+05   9.9248591688e-02 
  3.4031155575e+20   1.0427736371e+19   1.4715594553e+61   7.3646758696e-30   3.1989449409e-14  -4.8706725944e+05   9.9248591688e-02 
  3.5009891849e+20   9.7873627366e+18   1.4657482737e+61   7.5871929904e-30   3.1986638240e-14  -4.8561526049e+05   9.9248591688e-02 
  3.6599645235e+20   1.5897533861e+19   2.5614902426e+61   7.8148213387e-30   3.1982734690e-14  -4.8432491856e+05   9.9248591688e-02 
  3.8374133227e+20   1.7744879915e+19   3.1341719632e+61   8.0694977504e-30   3.1976196696e-14  -4.8381610486e+05   9.9248591688e-02 
  4.0231705109e+20   1.8575718824e+19   3.6065000695e+61   8.3044988574e-30   3.1963744986e-14  -4.8383409416e+05   9.9248591688e-02 
  4.1279319318e+20   1.0476142092e+19   2.1867939717e+61   8.4658065912e-30   3.1947563547e-14  -4.8278725554e+05   9.9248591688e-02 
  4.2286010902e+20   1.0066915843e+19   2.2086128088e+61   8.5513430086e-30   3.1934009571e-14  -4.8540017476e+05   9.9248591688e-02 
  4.4022050713e+20   1.7360398107e+19   4.0632247517e+61   8.6301372695e-30   3.1911485363e-14  -4.9416727012e+05   9.9248591688e-02 
  4.5971982555e+20   1.9499318418e+19   4.9620906512e+61   8.7098608532e-30   3.1874545619e-14  -5.1188007229e+05   9.9248591688e-02 
  4.7664933677e+20   1.6929511217e+19   4.6637559496e+61   8.7705459875e-30   3.1837747422e-14  -5.3077885055e+05   9.9248591688e-02 
  4.8570065496e+20   9.0513181895e+18   2.6335441585e+61   8.8039552482e-30   3.1816288748e-14  -5.3865439718e+05   9.9248591688e-02 
  4.9474009804e+20   9.0394430819e+18   2.7298988925e+61   8.8167141503e-30   3.1802434792e-14  -5.4370247483e+05   9.9248591688e-02 
  5.1280085405e+20   1.8060756012e+19   5.7604674543e+61   8.8239003248e-30   3.1784302887e-14  -5.4842410431e+05   9.9248591688e-02 
  5.2800112923e+20   1.5200275180e+19   5.1733090156e+61   8.8270376664e-30   3.1765256300e-14  -5.5013416303e+05   9.9248591688e-02 
  5.3783427941e+20   9.8331501825e+18   3.5094184462e+61   8.8259218584e-30   3.1752126272e-14  -5.4968593468e+05   9.9248591688e-02 
  5.4594698804e+20   8.1127086244e+18   2.9936921799e+61   8.8229744002e-30   3.1743326096e-14  -5.4804116697e+05   9.9248591687e-02 
  5.5294024383e+20   6.9932557971e+18   2.6530253771e+61   8.8179925990e-30   3.1736570216e-14  -5.4551115403e+05   9.9248591684e-02 
  5.7023636515e+20   1.7296121317e+19   6.8553403954e+61   8.8032109399e-30   3.1726993523e-14  -5.3872696856e+05   9.9248591673e-02 
  5.8137112286e+20   1.1134757713e+19   4.6393072720e+61   8.7809982713e-30   3.1716247967e-14  -5.2920497658e+05   9.9248591636e-02 
  5.8417586080e+20   2.8047379347e+18   1.1970232036e+61   8.7655763782e-30   3.1710755503e-14  -5.2390679980e+05   9.9248591559e-02 
  5.8650855970e+20   2.3326988976e+18   1.0043586151e+61   8.7534208723e-30   3.1708810743e-14  -5.2185491505e+05   9.9248590775e-02 
  5.9477196626e+20   8.2634065651e+18   3.6226148772e+61   8.7125661032e-30   3.1704840361e-14  -5.1755525396e+05   9.9248588166e-02 
  6.0247197530e+20   7.7000090335e+18   3.4674674378e+61   8.6446278563e-30   3.1698816245e-14  -5.1107148378e+05   9.9248576939e-02 
  6.1081493602e+20   8.3429607273e+18   3.8583706207e+61   8.5673167106e-30   3.1692587417e-14  -5.0480334688e+05   9.9248535742e-02 
  6.2809119337e+20   1.7276257350e+19   8.3311411046e+61   8.4291016712e-30   3.1681009687e-14  -4.9605020847e+05   9.9248421655e-02 
  6.4249677707e+20   1.4405583695e+19   7.3064904246e+61   8.2506150953e-30   3.1664199863e-14  -4.8663709691e+05   9.9248191079e-02 
  6.5621157022e+20   1.3714793151e+19   7.2673912620e+61   8.0818566726e-30   3.1647148582e-14  -4.8062838983e+05   9.9247849750e-02 
  6.7397557889e+20   1.7764008668e+19   9.8751149978e+61   7.8829903472e-30   3.1625928873e-14  -4.7735702262e+05   9.9246944946e-02 
  6.9042612594e+20   1.6450547048e+19   9.6213445643e+61   7.6582817075e-30   3.1603619953e-14  -4.7575238110e+05   9.9244505582e-02 
  7.0633089947e+20   1.5904773533e+19   9.7485014654e+61   7.4351309474e-30   3.1585163483e-14  -4.7458279127e+05   9.9237683294e-02 
  7.2172157117e+20   1.5390671698e+19   9.8608100089e+61   7.2129515582e-30   3.1570791404e-14  -4.7318587393e+05   9.9215100647e-02 
  7.3891985906e+20   1.7198287892e+19   1.1527692594e+62   6.9690450899e-30   3.1558413001e-14  -4.6958933557e+05   9.9128550366e-02 
  7.5320754289e+20   1.4287683832e+19   9.9939411765e+61   6.7259517362e-30   3.1547783665e-14  -4.6233926164e+05   9.8864947003e-02 
  7.6133557602e+20   8.1280331293e+18   5.8573717932e+61   6.5448296293e-30   3.1540428587e-14  -4.5460919039e+05   9.8441432575e-02 
  7.6826677810e+20   6.9312020798e+18   5.0946985570e+61   6.4137059907e-30   3.1535509681e-14  -4.4760319562e+05   9.7641300431e-02 
  7.7743249837e+20   9.1657202680e+18   6.8797327662e+61   6.2630567681e-30   3.1530335546e-14  -4.3824320099e+05   9.7005358165e-02 
  7.8107422818e+20   3.6417298153e+18   2.7789180968e+61   6.1374650349e-30   3.1525842382e-14  -4.2948545462e+05   9.6718149396e-02 
  7.8271924091e+20   1.6450127294e+18   1.2637992286e+61   6.0834143876e-30   3.1523860541e-14  -4.2547295052e+05   9.6624799405e-02 
  7.8530990442e+20   2.5906635023e+18   2.0011034288e+61   6.0484474228e-30   3.1522407835e-14  -4.2223058754e+05   9.6591401377e-02 
  7.9181531611e+20   6.5054116935e+18   5.0834607581e+61   5.9873374751e-30   3.1519497608e-14  -4.1502557819e+05   9.6584844078e-02 
  7.9695949705e+20   5.1441809440e+18   4.0793626880e+61   5.9156692644e-30   3.1515720823e-14  -4.0594824483e+05   9.6582140518e-02 
  8.0061446752e+20   3.6549704708e+18   2.9305993675e+61   5.8680270037e-30   3.1513537192e-14  -3.9860318423e+05   9.6581739337e-02 
  8.0400086512e+20   3.3863975962e+18   2.7392416096e+61   5.8358978873e-30   3.1511860165e-14  -3.9294616689e+05   9.6581676407e-02 
  8.0766527083e+20   3.6644057083e+18   2.9902282039e+61   5.8102990506e-30   3.1509522298e-14  -3.8867041481e+05   9.6581671707e-02 
  8.1096938198e+20   3.3041111505e+18   2.7195859706e+61   5.7906919521e-30   3.1508374722e-14  -3.8354157861e+05   9.6581671435e-02 
  8.2366595463e+20   1.2696572651e+19   1.0658273842e+62   5.7577421007e-30   3.1504517542e-14  -3.7356972585e+05   9.6581671423e-02 
  8.3585373415e+20   1.2187779520e+19   1.0545012248e+62   5.7113738544e-30   3.1499830937e-14  -3.5785265845e+05   9.6581671417e-02 
  8.4029306158e+20   4.4393274316e+18   3.9182502409e+61   5.6828995445e-30   3.1497069778e-14  -3.4824796852e+05   9.6581671415e-02 
