# time = 1.631542e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543152e+55   6.1145948909e-31   3.1067758215e-13   0.0000000000e+00   9.9248591688e-02 
  2.5345201331e+18   4.0406834984e+17   2.7694117480e+55   6.1145948909e-31   3.1067758215e-13  -8.3937104466e+03   9.9248591688e-02 
  3.1993460148e+18   6.6482588172e+17   6.8975479419e+55   6.1153558016e-31   3.1067672109e-13  -1.5813074787e+04   9.9248591688e-02 
  3.8413525990e+18   6.4200658417e+17   1.0025888644e+56   6.1176190524e-31   3.1067698761e-13  -2.5811584185e+04   9.9248591688e-02 
  4.2774800046e+18   4.3612740563e+17   9.0399902233e+55   6.1210936790e-31   3.1067694785e-13  -3.2803691600e+04   9.9248591688e-02 
  4.6370714308e+18   3.5959142619e+17   8.9824266009e+55   6.1257217875e-31   3.1067686976e-13  -3.7498461938e+04   9.9248591688e-02 
  5.2447470483e+18   6.0767561749e+17   1.8665624225e+56   6.1347585450e-31   3.1067674599e-13  -4.2906611639e+04   9.9248591688e-02 
  5.7778888594e+18   5.3314181112e+17   2.0365828349e+56   6.1482130493e-31   3.1067658858e-13  -4.9064597665e+04   9.9248591688e-02 
  6.5216712725e+18   7.4378241308e+17   3.5391910381e+56   6.1672887802e-31   3.1067638619e-13  -5.5684215364e+04   9.9248591688e-02 
  7.2312372767e+18   7.0956600417e+17   4.2200438701e+56   6.1927730840e-31   3.1067613265e-13  -6.3035646313e+04   9.9248591688e-02 
  8.1394642425e+18   9.0822696588e+17   6.7489589005e+56   6.2260837772e-31   3.1067581512e-13  -7.1029789806e+04   9.9248591688e-02 
  9.0664634131e+18   9.2699917057e+17   8.6298929666e+56   6.2688572534e-31   3.1067541864e-13  -7.9957755767e+04   9.9248591688e-02 
  1.0172790860e+19   1.1063274469e+18   1.2879187164e+57   6.3223264896e-31   3.1067493185e-13  -8.9710397888e+04   9.9248591688e-02 
  1.1348657957e+19   1.1758670967e+18   1.7127069377e+57   6.3888104166e-31   3.1067433066e-13  -1.0054516562e+05   9.9248591688e-02 
  1.2690277591e+19   1.3416196339e+18   2.4381500055e+57   6.4697169910e-31   3.1067359891e-13  -1.1239272278e+05   9.9248591688e-02 
