# time = 3.479481e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   4.0284954766e-31   3.7301817746e-14   0.0000000000e+00   9.9248591688e-02 
  2.6074417940e+18   4.7699001084e+17   3.3751615103e+55   4.0284954766e-31   3.7301817746e-14  -6.4608019132e+03   9.9248591688e-02 
  3.4841635565e+18   8.7672176247e+17   1.0291140452e+56   4.0287071316e-31   3.7301654244e-14  -1.2716892366e+04   9.9248591688e-02 
  4.4270349160e+18   9.4287135954e+17   1.8626802480e+56   4.0294394510e-31   3.7301701371e-14  -2.1458748959e+04   9.9248591688e-02 
  4.8840005981e+18   4.5696568203e+17   1.2455981966e+56   4.0304678578e-31   3.7301712043e-14  -2.7141487554e+04   9.9248591688e-02 
  5.2876691024e+18   4.0366850431e+17   1.3127655555e+56   4.0317730773e-31   3.7301707359e-14  -3.0378263977e+04   9.9248591688e-02 
  5.9885546257e+18   7.0088552334e+17   2.8033882674e+56   4.0345302277e-31   3.7301699143e-14  -3.4373939040e+04   9.9248591688e-02 
  6.6285595309e+18   6.4000490517e+17   3.2035061806e+56   4.0387560250e-31   3.7301688992e-14  -3.9101797884e+04   9.9248591688e-02 
  7.4883519026e+18   8.5979237171e+17   5.3896368593e+56   4.0446922571e-31   3.7301675582e-14  -4.4241954642e+04   9.9248591688e-02 
  8.3252266516e+18   8.3687474897e+17   6.5807577740e+56   4.0525764944e-31   3.7301658718e-14  -4.9959864889e+04   9.9248591688e-02 
  9.3726010276e+18   1.0473743760e+18   1.0318069959e+57   4.0628335312e-31   3.7301637490e-14  -5.6222054843e+04   9.9248591688e-02 
  1.0459070243e+19   1.0864692159e+18   1.3437553317e+57   4.0759991103e-31   3.7301611307e-14  -6.3256577027e+04   9.9248591688e-02 
  1.1743021887e+19   1.2839516434e+18   1.9905368107e+57   4.0924995532e-31   3.7301579517e-14  -7.1028167005e+04   9.9248591688e-02 
  1.3121443260e+19   1.3784213727e+18   2.6799999947e+57   4.1130619820e-31   3.7301540667e-14  -7.9730487397e+04   9.9248591688e-02 
