# time = 5.909039e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   6.1896640647e-31   3.2605515575e-14   0.0000000000e+00   9.9248591688e-02 
  2.3925683329e+18   2.6211654975e+17   1.6865035495e+55   6.1896640647e-31   3.2605515575e-14  -2.7005400855e+03   9.9248591688e-02 
  3.1190066368e+18   7.2643830387e+17   6.9728067050e+55   6.1898668580e-31   3.2605406705e-14  -6.1307175194e+03   9.9248591688e-02 
  3.9480155550e+18   8.2900891817e+17   1.3066808269e+56   6.1906527179e-31   3.2605459071e-14  -1.1727472701e+04   9.9248591688e-02 
  4.3038195055e+18   3.5580395051e+17   7.6160673442e+55   6.1917023149e-31   3.2605501415e-14  -1.5133540949e+04   9.9248591688e-02 
  4.6253414077e+18   3.2152190217e+17   8.0569263384e+55   6.1929658004e-31   3.2605518594e-14  -1.6914393485e+04   9.9248591688e-02 
  5.2370367300e+18   6.1169532238e+17   1.8715647903e+56   6.1958049595e-31   3.2605546837e-14  -1.9244272226e+04   9.9248591688e-02 
  5.7765841542e+18   5.3954742411e+17   2.0577235545e+56   6.2001442063e-31   3.2605588351e-14  -2.2027748704e+04   9.9248591688e-02 
  6.5251687192e+18   7.4858456501e+17   3.5633662623e+56   6.2062210144e-31   3.2605644566e-14  -2.5019974099e+04   9.9248591688e-02 
  7.2391431445e+18   7.1397442532e+17   4.2533475614e+56   6.2142971536e-31   3.2605719570e-14  -2.8325415360e+04   9.9248591688e-02 
  8.1489031614e+18   9.0976001688e+17   6.7756254780e+56   6.2248182244e-31   3.2605817089e-14  -3.1894936848e+04   9.9248591688e-02 
  9.0843702828e+18   9.3546712147e+17   8.7365569861e+56   6.2383710421e-31   3.2605941973e-14  -3.5861163780e+04   9.9248591688e-02 
  1.0200187067e+19   1.1158167846e+18   1.3051081246e+57   6.2553992766e-31   3.2606097392e-14  -4.0140807222e+04   9.9248591688e-02 
  1.1395214250e+19   1.1950271822e+18   1.7526422915e+57   6.2766401231e-31   3.2606285403e-14  -4.4790984284e+04   9.9248591688e-02 
  1.2768383792e+19   1.3731695419e+18   2.5215320666e+57   6.3026087709e-31   3.2606499592e-14  -4.9781247736e+04   9.9248591688e-02 
  1.4322911317e+19   1.5545275258e+18   3.5882625529e+57   6.3349089108e-31   3.2606748115e-14  -5.5300103073e+04   9.9248591688e-02 
  1.6060658473e+19   1.7377471560e+18   5.0453040021e+57   6.3742553841e-31   3.2607043502e-14  -6.1283078811e+04   9.9248591688e-02 
  1.8028153409e+19   1.9674949357e+18   7.1906674061e+57   6.4218442054e-31   3.2607367570e-14  -6.7865532706e+04   9.9248591688e-02 
  2.0155014070e+19   2.1268606606e+18   9.7517316057e+57   6.4780604832e-31   3.2607727280e-14  -7.5008568282e+04   9.9248591688e-02 
  2.2582137893e+19   2.4271238234e+18   1.3941824833e+58   6.5448504856e-31   3.2608141611e-14  -8.2787448417e+04   9.9248591688e-02 
  2.5183462935e+19   2.6013250425e+18   1.8663974507e+58   6.6233363828e-31   3.2608600243e-14  -9.1247915787e+04   9.9248591688e-02 
  2.8231850858e+19   3.0483879225e+18   2.7354130013e+58   6.7171363203e-31   3.2609074158e-14  -1.0097474328e+05   9.9248591688e-02 
