# time = 4.396165e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   4.3648499851e-31   2.9613876578e-14   0.0000000000e+00   9.9248591688e-02 
  2.5447582283e+18   4.1430644507e+17   2.8523917907e+55   4.3648499851e-31   2.9613876578e-14   4.4972476150e+03   9.9248591688e-02 
  3.3986275183e+18   8.5386929004e+17   9.5408452992e+55   4.3651397673e-31   2.9613996839e-14   8.9995547628e+03   9.9248591688e-02 
  4.3408281399e+18   9.4220062163e+17   1.7817809528e+56   4.3661186456e-31   2.9614067010e-14   1.5788329771e+04   9.9248591688e-02 
  4.7727502181e+18   4.3192207812e+17   1.1278677485e+56   4.3671270936e-31   2.9614233882e-14   1.9690732660e+04   9.9248591688e-02 
  5.1561326207e+18   3.8338240268e+17   1.1879512075e+56   4.3682932268e-31   2.9614295745e-14   2.2533441133e+04   9.9248591688e-02 
  5.8400133744e+18   6.8388075364e+17   2.6011825386e+56   4.3707712200e-31   2.9614456118e-14   2.6618099783e+04   9.9248591688e-02 
  6.4611224698e+18   6.2110909540e+17   2.9551334903e+56   4.3746227208e-31   2.9614671789e-14   3.2288267174e+04   9.9248591688e-02 
  7.2996710253e+18   8.3854855553e+17   4.9946179939e+56   4.3798677220e-31   2.9615050614e-14   3.8747410613e+04   9.9248591688e-02 
  8.1128565886e+18   8.1318556326e+17   6.0742137627e+56   4.3870088182e-31   2.9615570482e-14   4.6349339625e+04   9.9248591688e-02 
  9.1332303938e+18   1.0203738052e+18   9.5454582063e+56   4.3963267860e-31   2.9616282305e-14   5.4906269155e+04   9.9248591688e-02 
  1.0190435813e+19   1.0572054190e+18   1.2414276245e+57   4.4080512636e-31   2.9617233524e-14   6.4450809307e+04   9.9248591688e-02 
  1.1441634025e+19   1.2511982118e+18   1.8414340769e+57   4.4229982465e-31   2.9618405136e-14   7.4213902722e+04   9.9248591688e-02 
  1.2785458181e+19   1.3438241562e+18   2.4805047753e+57   4.4417972980e-31   2.9619851977e-14   8.3494393961e+04   9.9248591688e-02 
  1.4324478800e+19   1.5390206188e+18   3.5572764977e+57   4.4649516328e-31   2.9621548461e-14   9.1477170314e+04   9.9248591688e-02 
  1.6061646777e+19   1.7371679779e+18   5.0444664032e+57   4.4936205871e-31   2.9623599432e-14   9.9897704621e+04   9.9248591688e-02 
  1.8002203740e+19   1.9405569626e+18   7.0816312281e+57   4.5288463072e-31   2.9625212292e-14   1.1098833176e+05   9.9248591688e-02 
  2.0194797597e+19   2.1925938572e+18   1.0061050908e+58   4.5716130699e-31   2.9626254199e-14   1.2412915757e+05   9.9248591688e-02 
  2.2571170752e+19   2.3763731550e+18   1.3668091855e+58   4.6216594967e-31   2.9626707928e-14   1.3914816684e+05   9.9248591688e-02 
  2.5273487598e+19   2.7023168460e+18   1.9454256025e+58   4.6816979841e-31   2.9626745101e-14   1.5617946647e+05   9.9248591688e-02 
  2.8177593294e+19   2.9041056959e+18   2.6091701808e+58   4.7518299339e-31   2.9626454367e-14   1.7672275968e+05   9.9248591688e-02 
  3.1557064271e+19   3.3794709772e+18   3.7924027434e+58   4.8354016970e-31   2.9626000717e-14   2.0079001165e+05   9.9248591688e-02 
  3.5151823796e+19   3.5947595244e+18   5.0304552431e+58   4.9343987466e-31   2.9625723913e-14   2.2693490156e+05   9.9248591688e-02 
  3.9236796164e+19   4.0849723682e+18   7.1086695224e+58   5.0508227431e-31   2.9625837967e-14   2.5499198004e+05   9.9248591688e-02 
  4.3584225548e+19   4.3474293842e+18   9.3769646338e+58   5.1848177258e-31   2.9626351588e-14   2.8245831021e+05   9.9248591688e-02 
  4.8556510008e+19   4.9722844596e+18   1.3274878539e+59   5.3422864993e-31   2.9626863468e-14   3.0833829178e+05   9.9248591688e-02 
  5.3422964818e+19   4.8664548104e+18   1.5911738845e+59   5.5176526173e-31   2.9628406422e-14   3.3466708926e+05   9.9248591688e-02 
  6.0886647456e+19   7.4636826383e+18   3.0682113433e+59   5.7532725522e-31   2.9628572431e-14   3.7283081203e+05   9.9248591688e-02 
  7.2075857112e+19   1.1189209655e+19   6.2291908689e+59   6.1241446986e-31   2.9628525463e-14   4.2891779909e+05   9.9248591688e-02 
  7.6208576505e+19   4.1327193934e+18   2.8555472301e+59   6.4401385970e-31   2.9628973433e-14   4.6970039240e+05   9.9248591688e-02 
  7.9958463583e+19   3.7498870784e+18   2.8736262396e+59   6.6171396805e-31   2.9630934085e-14   4.8058413923e+05   9.9248591688e-02 
  8.3916375317e+19   3.9579117337e+18   3.3398346727e+59   6.8100028898e-31   2.9630929440e-14   4.9802147553e+05   9.9248591688e-02 
  8.8162457409e+19   4.2460820919e+18   3.9507658886e+59   7.0407871911e-31   2.9629864797e-14   5.2140290388e+05   9.9248591688e-02 
  9.2092472437e+19   3.9300150277e+18   4.0122426926e+59   7.2890345426e-31   2.9628464300e-14   5.4363068594e+05   9.9248591688e-02 
  9.7130685246e+19   5.0382128091e+18   5.6686229113e+59   7.5913935936e-31   2.9626917452e-14   5.6422247771e+05   9.9248591688e-02 
  1.0208950785e+20   4.9588226014e+18   6.1842187156e+59   7.9554658850e-31   2.9625702713e-14   5.8376319187e+05   9.9248591688e-02 
  1.0687203954e+20   4.7825316923e+18   6.5616990056e+59   8.3383163729e-31   2.9624805369e-14   5.9549481622e+05   9.9248591688e-02 
  1.1145538717e+20   4.5833476306e+18   6.8645655585e+59   8.7388291979e-31   2.9627169588e-14   6.0437679706e+05   9.9248591688e-02 
  1.1711649968e+20   5.6611125057e+18   9.2936449720e+59   9.2186590592e-31   2.9627742331e-14   6.2453843403e+05   9.9248591688e-02 
  1.2285676151e+20   5.7402618350e+18   1.0386999411e+60   9.7945041726e-31   2.9627320028e-14   6.5373211021e+05   9.9248591688e-02 
  1.2838583803e+20   5.5290765190e+18   1.0966275045e+60   1.0407046168e-30   2.9627309966e-14   6.8460685211e+05   9.9248591688e-02 
  1.3391558396e+20   5.5297459291e+18   1.1954204312e+60   1.1056171148e-30   2.9628159754e-14   7.1180325087e+05   9.9248591688e-02 
  1.4047073264e+20   6.5551486824e+18   1.5507433746e+60   1.1829215400e-30   2.9629676563e-14   7.3639562848e+05   9.9248591688e-02 
  1.4708430105e+20   6.6135684113e+18   1.7183207756e+60   1.2735792683e-30   2.9630369148e-14   7.5144436722e+05   9.9248591688e-02 
  1.5344362100e+20   6.3593199441e+18   1.8046584572e+60   1.3696215782e-30   2.9633927231e-14   7.6028537201e+05   9.9248591688e-02 
  1.6029957136e+20   6.8559503614e+18   2.1204853750e+60   1.4756932324e-30   2.9634259404e-14   7.7639420665e+05   9.9248591688e-02 
  1.6812197648e+20   7.8224051233e+18   2.6511578255e+60   1.6032337889e-30   2.9634499625e-14   7.9546480048e+05   9.9248591688e-02 
  1.7578962941e+20   7.6676529261e+18   2.8495608662e+60   1.7477798670e-30   2.9635507209e-14   8.1248550611e+05   9.9248591688e-02 
  1.8258142840e+20   6.7917989909e+18   2.7406434993e+60   1.8941627662e-30   2.9637051719e-14   8.2451940425e+05   9.9248591688e-02 
  1.9148130645e+20   8.8998780476e+18   3.9129541480e+60   2.0687114674e-30   2.9639678607e-14   8.3195934266e+05   9.9248591688e-02 
  2.0230725810e+20   1.0825951653e+19   5.2753533641e+60   2.3048532580e-30   2.9643423691e-14   8.3444107881e+05   9.9248591688e-02 
  2.1336093056e+20   1.1053672464e+19   6.0013976316e+60   2.5844818574e-30   2.9653030408e-14   8.2931204275e+05   9.9248591688e-02 
  2.2358551248e+20   1.0224581921e+19   6.1338211548e+60   2.8783349945e-30   2.9662549121e-14   8.3381983352e+05   9.9248591688e-02 
  2.3620323953e+20   1.2617727049e+19   8.3821744182e+60   3.2160166129e-30   2.9669543356e-14   8.4571370008e+05   9.9248591688e-02 
  2.4732005481e+20   1.1116815283e+19   8.1666055804e+60   3.5977044011e-30   2.9688182393e-14   8.4961465675e+05   9.9248591688e-02 
  2.6348016568e+20   1.6160110868e+19   1.3250773495e+61   4.0748289803e-30   2.9709201562e-14   8.7690828555e+05   9.9248591688e-02 
  2.7523744004e+20   1.1757274358e+19   1.0721308943e+61   4.5967114035e-30   2.9727717082e-14   9.2480366899e+05   9.9248591688e-02 
  2.8569514810e+20   1.0457708060e+19   1.0338512184e+61   5.0451902033e-30   2.9743439256e-14   9.7825008303e+05   9.9248591688e-02 
  2.9669489613e+20   1.0999748031e+19   1.1722281134e+61   5.4843626658e-30   2.9758924442e-14   1.0393610833e+06   9.9248591688e-02 
  3.0685599602e+20   1.0161099887e+19   1.1629456412e+61   5.8771357388e-30   2.9774860347e-14   1.1031781140e+06   9.9248591688e-02 
  3.2200620943e+20   1.5150213410e+19   1.8826241493e+61   6.2934709111e-30   2.9790660879e-14   1.1675652583e+06   9.9248591688e-02 
  3.3766008986e+20   1.5653880433e+19   2.1404347420e+61   6.7566920215e-30   2.9804162039e-14   1.2218281748e+06   9.9248591688e-02 
  3.4798666264e+20   1.0326572775e+19   1.5252455480e+61   7.1133025730e-30   2.9819885928e-14   1.2488577359e+06   9.9248591688e-02 
  3.5767709030e+20   9.6904276639e+18   1.5160577171e+61   7.3393666364e-30   2.9834974783e-14   1.2532113462e+06   9.9248591688e-02 
  3.7338430348e+20   1.5707213183e+19   2.6376886656e+61   7.5692070395e-30   2.9864306169e-14   1.2492789085e+06   9.9248591688e-02 
  3.9093471929e+20   1.7550415803e+19   3.2215356548e+61   7.8230487181e-30   2.9906109556e-14   1.2562482163e+06   9.9248591688e-02 
  4.0941278512e+20   1.8478065829e+19   3.7191246186e+61   8.0650603762e-30   2.9960998611e-14   1.2857487850e+06   9.9248591688e-02 
  4.1983662888e+20   1.0423843763e+19   2.2520134831e+61   8.2320202119e-30   2.9996368372e-14   1.3377406190e+06   9.9248591688e-02 
  4.2983020166e+20   9.9935727855e+18   2.2666684921e+61   8.3226124471e-30   3.0024113240e-14   1.3902734587e+06   9.9248591688e-02 
  4.4706808283e+20   1.7237881167e+19   4.1647422985e+61   8.4052146117e-30   3.0071439762e-14   1.4538771221e+06   9.9248591688e-02 
  4.6645382787e+20   1.9385745035e+19   5.0831800417e+61   8.4927684324e-30   3.0123713528e-14   1.4988525143e+06   9.9248591688e-02 
  4.8333723549e+20   1.6883407619e+19   4.7853298335e+61   8.5639836128e-30   3.0175220090e-14   1.5093395098e+06   9.9248591688e-02 
  4.9237067284e+20   9.0334373549e+18   2.7018110191e+61   8.6068360418e-30   3.0222800947e-14   1.4900352699e+06   9.9248591688e-02 
  5.0135964146e+20   8.9889686233e+18   2.7887440658e+61   8.6262377226e-30   3.0252039566e-14   1.4771904034e+06   9.9248591688e-02 
  5.1930606167e+20   1.7946420201e+19   5.8740751983e+61   8.6422603763e-30   3.0289000660e-14   1.4673667708e+06   9.9248591688e-02 
  5.3441583957e+20   1.5109777905e+19   5.2709601462e+61   8.6555940060e-30   3.0332900215e-14   1.4799460118e+06   9.9248591688e-02 
  5.4423081839e+20   9.8149788252e+18   3.5876463832e+61   8.6589195609e-30   3.0356163274e-14   1.4986488589e+06   9.9248591688e-02 
  5.5232276803e+20   8.0919496333e+18   3.0568254902e+61   8.6572064072e-30   3.0375280674e-14   1.5154556387e+06   9.9248591687e-02 
  5.5929138459e+20   6.9686165635e+18   2.7052678137e+61   8.6522791290e-30   3.0396013756e-14   1.5260718168e+06   9.9248591684e-02 
  5.7654076483e+20   1.7249380235e+19   6.9917367586e+61   8.6369024511e-30   3.0438023112e-14   1.5379369182e+06   9.9248591674e-02 
  5.8764214706e+20   1.1101382238e+19   4.7269665939e+61   8.6140243187e-30   3.0489944215e-14   1.5430820231e+06   9.9248591639e-02 
  5.9045043625e+20   2.8082891831e+18   1.2244790703e+61   8.5999506698e-30   3.0524827302e-14   1.5279216830e+06   9.9248591564e-02 
  5.9276910834e+20   2.3186720932e+18   1.0198127403e+61   8.5886132446e-30   3.0537937445e-14   1.5216524531e+06   9.9248590811e-02 
  6.0100938812e+20   8.2402797815e+18   3.6893191924e+61   8.5514861545e-30   3.0560769048e-14   1.5116861409e+06   9.9248588370e-02 
  6.0868640800e+20   7.6770198771e+18   3.5293986149e+61   8.4885506743e-30   3.0591987496e-14   1.4978828511e+06   9.9248577810e-02 
  6.1698460292e+20   8.2981949232e+18   3.9164083633e+61   8.4164561809e-30   3.0618100279e-14   1.4916843393e+06   9.9248537409e-02 
  6.3421943557e+20   1.7234832649e+19   8.4769707606e+61   8.2881249555e-30   3.0648286953e-14   1.4868182291e+06   9.9248425326e-02 
  6.4859339110e+20   1.4373955524e+19   7.4314050303e+61   8.1218009184e-30   3.0680001042e-14   1.4903039518e+06   9.9248192978e-02 
  6.6225029425e+20   1.3656903151e+19   7.3725822757e+61   7.9656361049e-30   3.0700345859e-14   1.5000024748e+06   9.9247869782e-02 
  6.7992474291e+20   1.7674448666e+19   1.0003204914e+62   7.7829626165e-30   3.0730916033e-14   1.5064411307e+06   9.9247004539e-02 
  6.9625513240e+20   1.6330389490e+19   9.7166644490e+61   7.5764184171e-30   3.0769901472e-14   1.4977461647e+06   9.9244679272e-02 
  7.1202544871e+20   1.5770316305e+19   9.8262274285e+61   7.3749157450e-30   3.0834786471e-14   1.4392279452e+06   9.9238343406e-02 
  7.2728461308e+20   1.5259164373e+19   9.9312889446e+61   7.1685613753e-30   3.0900769417e-14   1.3713473015e+06   9.9217840650e-02 
  7.4433611426e+20   1.7051501181e+19   1.1601755787e+62   6.9350958821e-30   3.0938180433e-14   1.3387764291e+06   9.9137117422e-02 
  7.5850442284e+20   1.4168308584e+19   1.0053251531e+62   6.6935747860e-30   3.0954232680e-14   1.3331120533e+06   9.8870427448e-02 
  7.6655288975e+20   8.0484669071e+18   5.8808404566e+61   6.5090893934e-30   3.0957960557e-14   1.3382133512e+06   9.8440561473e-02 
  7.7343422550e+20   6.8813357477e+18   5.1269571256e+61   6.3706791099e-30   3.0960849045e-14   1.3419911718e+06   9.7614117083e-02 
  7.8257293704e+20   9.1387115429e+18   6.9512517772e+61   6.2052505645e-30   3.0965103708e-14   1.3418360276e+06   9.6995323161e-02 
  7.8620100011e+20   3.6280630690e+18   2.8050861647e+61   6.0633140075e-30   3.0969225913e-14   1.3402132675e+06   9.6713721830e-02 
  7.8785474341e+20   1.6537432983e+18   1.2872365019e+61   5.9990946073e-30   3.0972314939e-14   1.3371669807e+06   9.6622387993e-02 
  7.9045792976e+20   2.6031863522e+18   2.0372372697e+61   5.9536871767e-30   3.0975253323e-14   1.3340260511e+06   9.6590663403e-02 
  7.9698716110e+20   6.5292313395e+18   5.1690627281e+61   5.8792349675e-30   3.0983109847e-14   1.3245689914e+06   9.6584558390e-02 
  8.0216320776e+20   5.1760466614e+18   4.1584183375e+61   5.7941498453e-30   3.0997252048e-14   1.3040304170e+06   9.6582062422e-02 
  8.0585448100e+20   3.6912732375e+18   2.9985305171e+61   5.7387391477e-30   3.1011066611e-14   1.2822616624e+06   9.6581726231e-02 
  8.0927268943e+20   3.4182084279e+18   2.8013186197e+61   5.7039854169e-30   3.1023196476e-14   1.2627425422e+06   9.6581675096e-02 
  8.1296863453e+20   3.6959451042e+18   3.0556742642e+61   5.6793739477e-30   3.1038318268e-14   1.2378683746e+06   9.6581671621e-02 
  8.1632034843e+20   3.3517139002e+18   2.7952050198e+61   5.6626430444e-30   3.1052079447e-14   1.2153773707e+06   9.6581671430e-02 
  8.2909015402e+20   1.2769805587e+19   1.0861540038e+62   5.6419419670e-30   3.1077455107e-14   1.1767888363e+06   9.6581671422e-02 
  8.4132622516e+20   1.2236071144e+19   1.0726279600e+62   5.6155889167e-30   3.1110305631e-14   1.1258641993e+06   9.6581671417e-02 
  8.4577173086e+20   4.4455056941e+18   3.9751420006e+61   5.5994461276e-30   3.1123624276e-14   1.1068768220e+06   9.6581671415e-02 
  8.4879429261e+20   3.0225617529e+18   2.7267323124e+61   5.5928943279e-30   3.1126486349e-14   1.1031695792e+06   9.6581671414e-02 
  8.5170026391e+20   2.9059713009e+18   2.6399281590e+61   5.5893183414e-30   3.1128053425e-14   1.1015191714e+06   9.6581671407e-02 
  8.5474589141e+20   3.0456274933e+18   2.7862000557e+61   5.5873194851e-30   3.1129276939e-14   1.1009817026e+06   9.6581671354e-02 
  8.6581000849e+20   1.1064117086e+19   1.0289877305e+62   5.5856824622e-30   3.1130635592e-14   1.1010705495e+06   9.6581671162e-02 
  8.7305313352e+20   7.2431250258e+18   6.8803284400e+61   5.5847034168e-30   3.1131064117e-14   1.1010280887e+06   9.6581670336e-02 
  8.7609417380e+20   3.0410402832e+18   2.9229760375e+61   5.5846495415e-30   3.1129811725e-14   1.1034481625e+06   9.6581668243e-02 
  8.8001705342e+20   3.9228796169e+18   3.8006652050e+61   5.5852637431e-30   3.1129415389e-14   1.1043326695e+06   9.6581647289e-02 
  8.8698061823e+20   6.9635648089e+18   6.8305503553e+61   5.5867429368e-30   3.1128966536e-14   1.1044923621e+06   9.6581577507e-02 
  8.9407020587e+20   7.0895876429e+18   7.0652212671e+61   5.5885365152e-30   3.1128904638e-14   1.1039383383e+06   9.6581060854e-02 
  9.0363413874e+20   9.5639328737e+18   9.7101742913e+61   5.5899550273e-30   3.1130515405e-14   1.1002037570e+06   9.6579684401e-02 
  9.1399652838e+20   1.0362389638e+19   1.0755380495e+62   5.5910836564e-30   3.1136658461e-14   1.0873887828e+06   9.6577312335e-02 
  9.2422036428e+20   1.0223835901e+19   1.0853297975e+62   5.5922353779e-30   3.1152899688e-14   1.0555639472e+06   9.6575845031e-02 
  9.4028343639e+20   1.6063072106e+19   1.7543481050e+62   5.5943096570e-30   3.1192188050e-14   9.8128697240e+05   9.6570696022e-02 
  9.5473774106e+20   1.4454304672e+19   1.6307359106e+62   5.5960704754e-30   3.1246299346e-14   8.8022599264e+05   9.6556697693e-02 
  9.6780498312e+20   1.3067242063e+19   1.5173735038e+62   5.5934181999e-30   3.1274994162e-14   8.2639834017e+05   9.6525897998e-02 
  9.8062982294e+20   1.2824839821e+19   1.5296069639e+62   5.5860150634e-30   3.1283602219e-14   8.0835509182e+05   9.6438137337e-02 
  9.9717534849e+20   1.6545525547e+19   2.0333286802e+62   5.5719837772e-30   3.1280696123e-14   8.0540904026e+05   9.6101995007e-02 
  1.0095303358e+21   1.2354987325e+19   1.5630217672e+62   5.5527325166e-30   3.1263600594e-14   8.3078330900e+05   9.5034609157e-02 
  1.0191483006e+21   9.6179647817e+18   1.2435487651e+62   5.5332975427e-30   3.1251015253e-14   8.4386263297e+05   9.1923180854e-02 
  1.0243513498e+21   5.2030491978e+18   6.8258678985e+61   5.5157230353e-30   3.1247651133e-14   8.4148001497e+05   8.8209944644e-02 
  1.0314210422e+21   7.0696923664e+18   9.3864670435e+61   5.4932466965e-30   3.1248677655e-14   8.3412037141e+05   8.1778972363e-02 
  1.0342738589e+21   2.8528167391e+18   3.8243389606e+61   5.4703052969e-30   3.1252166311e-14   8.2245239908e+05   7.6514574300e-02 
  1.0372880069e+21   3.0141480179e+18   4.0635964325e+61   5.4489220074e-30   3.1255653672e-14   8.1239411958e+05   7.3875722456e-02 
  1.0429362921e+21   5.6482852058e+18   7.6787033171e+61   5.4074814109e-30   3.1261396619e-14   7.9605030897e+05   7.3532148282e-02 
  1.0469832185e+21   4.0469263348e+18   5.5530915747e+61   5.3592312661e-30   3.1271887940e-14   7.6914413354e+05   7.3372271174e-02 
  1.0506065617e+21   3.6233432606e+18   5.0084218400e+61   5.3252739147e-30   3.1282828429e-14   7.4192123482e+05   7.3321058290e-02 
  1.0554607564e+21   4.8541946576e+18   6.7641359432e+61   5.2964133805e-30   3.1297972329e-14   7.0569235210e+05   7.3314396678e-02 
  1.0607426902e+21   5.2819338605e+18   7.4311934666e+61   5.2696540638e-30   3.1321344275e-14   6.5291217776e+05   7.3313138550e-02 
  1.0657333580e+21   4.9906677577e+18   7.0897401752e+61   5.2486765179e-30   3.1343030367e-14   6.0463759905e+05   7.3313020236e-02 
  1.0764602153e+21   1.0726857315e+19   1.5464768760e+62   5.2259109389e-30   3.1366987848e-14   5.4648073856e+05   7.3313013260e-02 
  1.0850102977e+21   8.5500823977e+18   1.2549345276e+62   5.2026183886e-30   3.1388149602e-14   4.9151486027e+05   7.3313011934e-02 
  1.0907015129e+21   5.6912151997e+18   8.4636678113e+61   5.1888004423e-30   3.1394604174e-14   4.6906453520e+05   7.3313011765e-02 
  1.1041295791e+21   1.3428066215e+19   2.0322211785e+62   5.1777991007e-30   3.1393356949e-14   4.5328488810e+05   7.3313011661e-02 
  1.1151385594e+21   1.1008980229e+19   1.7034134932e+62   5.1674280485e-30   3.1384855619e-14   4.4805199122e+05   7.3313011293e-02 
  1.1291512442e+21   1.4012684799e+19   2.2173525105e+62   5.1585797343e-30   3.1359130095e-14   4.7848153306e+05   7.3313009176e-02 
  1.1390784272e+21   9.9271830105e+18   1.6045480551e+62   5.1515158572e-30   3.1330511746e-14   5.1518984480e+05   7.3312999391e-02 
  1.1485381252e+21   9.4596980118e+18   1.5552352138e+62   5.1479894222e-30   3.1317601278e-14   5.2235411388e+05   7.3312945064e-02 
  1.1661249835e+21   1.7586858367e+19   2.9602069622e+62   5.1463973659e-30   3.1310866024e-14   5.0623069495e+05   7.3312806167e-02 
  1.1780314985e+21   1.1906514974e+19   2.0554715422e+62   5.1492257280e-30   3.1318881731e-14   4.6729069740e+05   7.3312509520e-02 
  1.1894985098e+21   1.1467011242e+19   2.0192704586e+62   5.1573187649e-30   3.1346441678e-14   3.9052519959e+05   7.3311277437e-02 
  1.1992771118e+21   9.7786020256e+18   1.7529914036e+62   5.1690685325e-30   3.1373303177e-14   3.1702618421e+05   7.3305489479e-02 
  1.2072304634e+21   7.9533516010e+18   1.4470252258e+62   5.1840616277e-30   3.1396182629e-14   2.5748718944e+05   7.3287052126e-02 
  1.2246014799e+21   1.7371016484e+19   3.2273763286e+62   5.2181790560e-30   3.1438237197e-14   1.5421652260e+05   7.3232671401e-02 
  1.2362408703e+21   1.1639390450e+19   2.2143737924e+62   5.2717268921e-30   3.1500465545e-14   8.5247108371e+03   7.3123352024e-02 
  1.2416972141e+21   5.4563438260e+18   1.0525269019e+62   5.3179193740e-30   3.1520369709e-14  -4.3871313415e+04   7.2969495332e-02 
  1.2478860426e+21   6.1888284400e+18   1.2050706806e+62   5.3747104796e-30   3.1516818914e-14  -5.0338636350e+04   7.2243257682e-02 
  1.2520702625e+21   4.1842199220e+18   8.2154170915e+61   5.4507045906e-30   3.1497584360e-14  -2.2259487280e+04   7.1126959777e-02 
  1.2566546928e+21   4.5844302606e+18   9.0644576973e+61   5.5535315214e-30   3.1449522930e-14   5.8743929029e+04   6.9677756973e-02 
  1.2598049562e+21   3.1502634483e+18   6.2672485089e+61   5.6866513375e-30   3.1396301656e-14   1.4884246541e+05   6.8938703777e-02 
  1.2666979343e+21   6.8929781210e+18   1.3822845349e+62   5.9657719025e-30   3.1347849404e-14   2.2210491563e+05   6.8650951768e-02 
  1.2711268527e+21   4.4289183367e+18   8.9613049365e+61   6.3709389424e-30   3.1306457264e-14   2.6806619235e+05   6.8522945650e-02 
  1.2784474270e+21   7.3205743662e+18   1.4949668466e+62   7.0033337178e-30   3.1297590113e-14   2.5282972730e+05   6.8471285346e-02 
  1.2816884388e+21   3.2410117994e+18   6.6735473242e+61   7.7719270073e-30   3.1316046628e-14   2.0866656724e+05   6.8453512639e-02 
  1.2838620912e+21   2.1736523960e+18   4.4947052413e+61   8.4698564917e-30   3.1325504695e-14   1.8466881783e+05   6.8447877922e-02 
  1.2864557320e+21   2.5936407382e+18   5.3831129769e+61   9.5781015141e-30   3.1327898415e-14   1.5958805350e+05   6.8445608365e-02 
  1.2873017483e+21   8.4601628289e+17   1.7606127954e+61   1.0809833645e-29   3.1329439296e-14   1.4160819824e+05   6.8445240874e-02 
  1.2905047850e+21   3.2030367668e+18   6.6867126438e+61   1.4078429500e-29   3.1330683759e-14   1.2488260741e+05   6.8444845542e-02 
  1.2917486463e+21   1.2438612559e+18   2.6056709621e+61   1.8934449173e-29   3.1341025085e-14   1.0047006658e+05   6.8439086474e-02 
  1.2925964801e+21   8.4783385096e+17   1.7789414841e+61   2.3537045387e-29   3.1346546382e-14   8.9251371342e+04   6.8366074502e-02 
  1.2970863051e+21   4.4898250200e+18   9.4596019756e+61   4.8462489992e-29   3.1361467403e-14   5.5579603416e+04   6.6622437585e-02 
  1.2985317025e+21   1.4453973638e+18   3.0592765157e+61   9.6170673370e-29   3.1382082599e-14   1.0469218299e+04   6.1082829281e-02 
  1.3023565191e+21   3.8248166045e+18   8.1283833520e+61   2.7141630119e-28   3.1390303985e-14  -2.8726798362e+04   3.9395537882e-02 
  1.3040813494e+21   1.7248302926e+18   3.6812139629e+61   1.0248464435e-27   3.1463447252e-14  -5.8197985890e+04   2.6680118636e-02 
  1.3058765669e+21   1.7952174944e+18   3.8417935440e+61   1.0314058083e-26   3.1525297228e-14  -6.2227269414e+04   2.2380473819e-02 
  1.3063616895e+21   4.8512261816e+17   1.0399847525e+61   2.8501928339e-26   3.1440915858e-14  -6.4561091561e+04   2.0889971253e-02 
  1.3073265470e+21   9.6485750767e+17   2.0707164776e+61   5.7954914434e-26   3.1298529822e-14  -6.5062059742e+04   2.0410659258e-02 
  1.3087475125e+21   1.4209654266e+18   3.0551567373e+61   6.2264162845e-26   3.1114033168e-14  -6.7387106724e+04   2.0091520614e-02 
  1.3225441460e+21   1.3796633535e+19   3.0009928398e+62   6.4960886188e-26   3.1191987855e-14  -6.7436825345e+04   2.0050214403e-02 
  1.3336444292e+21   1.1100283166e+19   2.4603917795e+62   7.5008417469e-25   3.1444477827e-14  -6.4849100279e+04   2.0035423364e-02 
  1.3456739207e+21   1.2029491512e+19   2.7129931535e+62   7.6885298358e-25   3.1669911125e-14  -6.1869507215e+04   2.0032037464e-02 
  1.3588758631e+21   1.3201942387e+19   3.0337592636e+62   7.9108568751e-25   3.1996071832e-14  -5.8963669853e+04   2.0028741829e-02 
  1.3726694171e+21   1.3793554065e+19   3.2333041064e+62   8.0669392435e-25   3.2219071323e-14  -5.7123394062e+04   2.0028356854e-02 
  1.3925498910e+21   1.9880473885e+19   4.7757683054e+62   8.2572075290e-25   3.2495708889e-14  -5.5280938423e+04   2.0022762770e-02 
