# time = 4.644836e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   4.6658626432e-31   3.0324157015e-14   0.0000000000e+00   9.9248591688e-02 
  2.5106758886e+18   3.8022410543e+17   2.5787371847e+55   4.6658626432e-31   3.0324157015e-14   4.8396336902e+03   9.9248591688e-02 
  3.3400941703e+18   8.2941828169e+17   8.9794369828e+55   4.6661358680e-31   3.0324038824e-14   1.0179916913e+04   9.9248591688e-02 
  4.2623727948e+18   9.2227862446e+17   1.6828537487e+56   4.6669978322e-31   3.0323203111e-14   1.8983965080e+04   9.9248591688e-02 
  4.6786120135e+18   4.1623921870e+17   1.0461096712e+56   4.6680482338e-31   3.0322472089e-14   2.3619580845e+04   9.9248591688e-02 
  5.0493883029e+18   3.7077628948e+17   1.1028570611e+56   4.6690730420e-31   3.0321916235e-14   2.5024769362e+04   9.9248591688e-02 
  5.7189568183e+18   6.6956851532e+17   2.4423177637e+56   4.6716120609e-31   3.0321199540e-14   2.5913621094e+04   9.9248591688e-02 
  6.3238169715e+18   6.0486015319e+17   2.7581821442e+56   4.6752891848e-31   3.0320042106e-14   2.7079907034e+04   9.9248591688e-02 
  7.1444067216e+18   8.2058975011e+17   4.6820243339e+56   4.6808593637e-31   3.0318951301e-14   2.8065456225e+04   9.9248591688e-02 
  7.9378086367e+18   7.9340191509e+17   5.6751038826e+56   4.6878032128e-31   3.0317621984e-14   2.9643576693e+04   9.9248591688e-02 
  8.9360731828e+18   9.9826454612e+17   8.9398843322e+56   4.6974319483e-31   3.0316348625e-14   3.2286714628e+04   9.9248591688e-02 
  9.9689712107e+18   1.0328980280e+18   1.1608995617e+57   4.7093780625e-31   3.0315078542e-14   3.6420638074e+04   9.9248591688e-02 
  1.1193280167e+19   1.2243089562e+18   1.7244432143e+57   4.7247494408e-31   3.0313813343e-14   4.2091109833e+04   9.9248591688e-02 
  1.2507388859e+19   1.3141086922e+18   2.3213850826e+57   4.7436968115e-31   3.0312484960e-14   4.9470656093e+04   9.9248591688e-02 
  1.4013494427e+19   1.5061055676e+18   3.3315618213e+57   4.7667827600e-31   3.0311073277e-14   5.8720327750e+04   9.9248591688e-02 
  1.5714955729e+19   1.7014613023e+18   4.7292299184e+57   4.7960797232e-31   3.0309519972e-14   7.0213212649e+04   9.9248591688e-02 
  1.7616207355e+19   1.9012516258e+18   6.6429529287e+57   4.8318384500e-31   3.0307874150e-14   8.3644950996e+04   9.9248591688e-02 
  1.9765040707e+19   2.1488333522e+18   9.4436157254e+57   4.8752166339e-31   3.0306279185e-14   9.8621436929e+04   9.9248591688e-02 
  2.2091925041e+19   2.3268843335e+18   1.2820569108e+58   4.9271615379e-31   3.0304933278e-14   1.1468927738e+05   9.9248591688e-02 
  2.4739307614e+19   2.6473825732e+18   1.8259973011e+58   4.9886506086e-31   3.0304021648e-14   1.3225447739e+05   9.9248591688e-02 
  2.7582302221e+19   2.8429946075e+18   2.4474583644e+58   5.0606694778e-31   3.0303641233e-14   1.5163658505e+05   9.9248591688e-02 
  3.0896297511e+19   3.3139952896e+18   3.5641859586e+58   5.1466801745e-31   3.0303841748e-14   1.7232248171e+05   9.9248591688e-02 
  3.4422133148e+19   3.5258356371e+18   4.7304779619e+58   5.2480638302e-31   3.0304626215e-14   1.9126935566e+05   9.9248591688e-02 
  3.8432858534e+19   4.0107253856e+18   6.6946816020e+58   5.3678610206e-31   3.0306153162e-14   2.0676901421e+05   9.9248591688e-02 
  4.2700287204e+19   4.2674286707e+18   8.8330987476e+58   5.5057891659e-31   3.0308084480e-14   2.1669009481e+05   9.9248591688e-02 
  4.7585865336e+19   4.8855781323e+18   1.2523675650e+59   5.6672695402e-31   3.0311559989e-14   2.2449178641e+05   9.9248591688e-02 
  5.2350983085e+19   4.7651177483e+18   1.4962487736e+59   5.8466593651e-31   3.0313892293e-14   2.4172578780e+05   9.9248591688e-02 
  5.9684755777e+19   7.3337726918e+18   2.8960786010e+59   6.0884470604e-31   3.0315592346e-14   2.7272392194e+05   9.9248591688e-02 
  7.0746059257e+19   1.1061303480e+19   5.9259298414e+59   6.4699386070e-31   3.0317856750e-14   3.2495349952e+05   9.9248591688e-02 
  7.4795447715e+19   4.0493884580e+18   2.6954116320e+59   6.7942905014e-31   3.0319909150e-14   3.6543391671e+05   9.9248591688e-02 
