# time = 3.011526e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   3.2389477794e-31   3.2456345145e-14   0.0000000000e+00   9.9248591688e-02 
  2.7445623890e+18   6.1411060580e+17   4.6093470798e+55   3.2389477794e-31   3.2456345145e-14  -1.1989793576e+04   9.9248591688e-02 
  3.6998319740e+18   9.5526958500e+17   1.2554787149e+56   3.2391604484e-31   3.2456153761e-14  -2.2697310019e+04   9.9248591688e-02 
  4.7012346244e+18   1.0014026504e+18   2.2308969082e+56   3.2398566302e-31   3.2456232611e-14  -3.6700348497e+04   9.9248591688e-02 
  5.2169561484e+18   5.1572152393e+17   1.5952225341e+56   3.2408331373e-31   3.2456277334e-14  -4.5883648393e+04   9.9248591688e-02 
  5.6670765203e+18   4.5012037190e+17   1.6761224336e+56   3.2420660005e-31   3.2456291486e-14  -5.1414553176e+04   9.9248591688e-02 
  6.4180227181e+18   7.5094619784e+17   3.4499892154e+56   3.2445604204e-31   3.2456310751e-14  -5.8052227999e+04   9.9248591688e-02 
  7.1145242862e+18   6.9650156809e+17   4.0106464127e+56   3.2483705914e-31   3.2456337601e-14  -6.5878969576e+04   9.9248591688e-02 
  8.0368984341e+18   9.2237414795e+17   6.6603951330e+56   3.2537222372e-31   3.2456371384e-14  -7.4434302429e+04   9.9248591688e-02 
  8.9433314014e+18   9.0643296721e+17   8.2183573311e+56   3.2608299728e-31   3.2456414466e-14  -8.3965242133e+04   9.9248591688e-02 
  1.0068223059e+19   1.1248916576e+18   1.2787991643e+57   3.2700676101e-31   3.2456468864e-14  -9.4433202044e+04   9.9248591688e-02 
  1.1240328830e+19   1.1721057708e+18   1.6736411439e+57   3.2818981681e-31   3.2456538558e-14  -1.0619427713e+05   9.9248591688e-02 
  1.2619495160e+19   1.3791663306e+18   2.4693599787e+57   3.2967002585e-31   3.2456626786e-14  -1.1920284841e+05   9.9248591688e-02 
  1.4102918791e+19   1.4834236306e+18   3.3312890809e+57   3.3151113833e-31   3.2456738415e-14  -1.3376329431e+05   9.9248591688e-02 
  1.5795612147e+19   1.6926933566e+18   4.7587360473e+57   3.3376537186e-31   3.2456877544e-14  -1.4989177694e+05   9.9248591688e-02 
  1.7698600958e+19   1.9029888102e+18   6.7141758963e+57   3.3655720650e-31   3.2457053778e-14  -1.6812355506e+05   9.9248591688e-02 
  1.9819928177e+19   2.1213272195e+18   9.3909967890e+57   3.3995460736e-31   3.2457273712e-14  -1.8850199760e+05   9.9248591688e-02 
  2.2209654955e+19   2.3897267779e+18   1.3276268884e+58   3.4407594193e-31   3.2457549962e-14  -2.1132282496e+05   9.9248591688e-02 
  2.4803317879e+19   2.5936629241e+18   1.8027654340e+58   3.4897903080e-31   3.2457894251e-14  -2.3650428882e+05   9.9248591688e-02 
  2.7744970550e+19   2.9416526711e+18   2.5545348812e+58   3.5483230414e-31   3.2458333149e-14  -2.6442097564e+05   9.9248591688e-02 
  3.0912174111e+19   3.1672035605e+18   3.4268061722e+58   3.6174066634e-31   3.2458886546e-14  -2.9515896207e+05   9.9248591688e-02 
  3.4573159588e+19   3.6609854774e+18   4.9372848450e+58   3.6998785558e-31   3.2459597401e-14  -3.2946124019e+05   9.9248591688e-02 
  3.8462347775e+19   3.8891881870e+18   6.5235987020e+58   3.7967301687e-31   3.2460495022e-14  -3.6733600873e+05   9.9248591688e-02 
  4.2857754982e+19   4.3954072069e+18   9.1404493694e+58   3.9095859552e-31   3.2461637007e-14  -4.0885700219e+05   9.9248591688e-02 
  4.7529670900e+19   4.6719159177e+18   1.2001831120e+59   4.0403868726e-31   3.2463092703e-14  -4.5424259229e+05   9.9248591688e-02 
  5.2851608606e+19   5.3219377059e+18   1.6862883205e+59   4.1932933391e-31   3.2464979174e-14  -5.0420677502e+05   9.9248591688e-02 
  5.8118177571e+19   5.2665689649e+18   2.0389805970e+59   4.3648846198e-31   3.2467295937e-14  -5.5707188693e+05   9.9248591688e-02 
  6.5962383281e+19   7.8442057100e+18   3.7991332347e+59   4.5912643753e-31   3.2470750987e-14  -6.2205391154e+05   9.9248591688e-02 
  7.7523042490e+19   1.1560659209e+19   7.4935358385e+59   4.9430252059e-31   3.2477148984e-14  -7.1735051264e+05   9.9248591688e-02 
  8.1987918854e+19   4.4648763640e+18   3.5698813598e+59   5.2449356688e-31   3.2483480322e-14  -7.9810344497e+05   9.9248591688e-02 
  8.5986999774e+19   3.9990809197e+18   3.5455285652e+59   5.4211821571e-31   3.2487351499e-14  -8.4085134193e+05   9.9248591688e-02 
  9.0148653418e+19   4.1616536449e+18   4.0568706742e+59   5.6108308318e-31   3.2491426051e-14  -8.8157856843e+05   9.9248591688e-02 
  9.4565043718e+19   4.4163902996e+18   4.7347632732e+59   5.8322273393e-31   3.2496140985e-14  -9.2459909076e+05   9.9248591688e-02 
  9.8673463096e+19   4.1084193775e+18   4.8203372013e+59   6.0755586703e-31   3.2501230067e-14  -9.6713283874e+05   9.9248591688e-02 
  1.0388107985e+20   5.2076167589e+18   6.7138022030e+59   6.3718129970e-31   3.2507390709e-14  -1.0132695054e+06   9.9248591688e-02 
  1.0897763239e+20   5.0965525344e+18   7.2559155969e+59   6.7290899970e-31   3.2514935594e-14  -1.0640586211e+06   9.9248591688e-02 
  1.1388735016e+20   4.9097177676e+18   7.6623206739e+59   7.1081324180e-31   3.2523126052e-14  -1.1138790349e+06   9.9248591688e-02 
  1.1860350017e+20   4.7161500096e+18   8.0095622453e+59   7.5077588677e-31   3.2531791627e-14  -1.1618995399e+06   9.9248591688e-02 
  1.2437291511e+20   5.7694149476e+18   1.0702654396e+60   7.9868698947e-31   3.2542386000e-14  -1.2148208307e+06   9.9248591688e-02 
  1.3018093181e+20   5.8080166939e+18   1.1825306735e+60   8.5609710872e-31   3.2555440721e-14  -1.2739289733e+06   9.9248591688e-02 
  1.3575642455e+20   5.5754927398e+18   1.2389547594e+60   9.1753222980e-31   3.2569903950e-14  -1.3334696026e+06   9.9248591688e-02 
  1.4132199381e+20   5.5655692655e+18   1.3425277436e+60   9.8330762283e-31   3.2585630548e-14  -1.3925750348e+06   9.9248591688e-02 
  1.4788352096e+20   6.5615271434e+18   1.7244176289e+60   1.0617650103e-30   3.2604823490e-14  -1.4582862520e+06   9.9248591688e-02 
  1.5446937897e+20   6.5858580148e+18   1.8917301783e+60   1.1541135261e-30   3.2628214456e-14  -1.5317647038e+06   9.9248591688e-02 
