# time = 4.103964e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   4.0520462056e-31   2.9148310135e-14   0.0000000000e+00   9.9248591688e-02 
  2.5859325735e+18   4.5548079034e+17   3.1929078381e+55   4.0520462056e-31   2.9148310135e-14   8.9294608996e+02   9.9248591688e-02 
  3.4668069387e+18   8.8087436511e+17   1.0209938929e+56   4.0523382160e-31   2.9147985822e-14   2.2227179626e+03   9.9248591688e-02 
  4.4297486963e+18   9.6294175760e+17   1.8957134652e+56   4.0532735910e-31   2.9147467289e-14   1.2445373920e+03   9.9248591688e-02 
  4.8800022938e+18   4.5025359750e+17   1.2269353330e+56   4.0544038682e-31   2.9146984417e-14   7.3661411030e+02   9.9248591688e-02 
  5.2783190197e+18   3.9831672593e+17   1.2919473798e+56   4.0555129995e-31   2.9146654744e-14  -4.3399781043e+01   9.9248591688e-02 
  5.9784643106e+18   7.0014529096e+17   2.7907846607e+56   4.0578493380e-31   2.9146318047e-14  -2.9629412143e+02   9.9248591688e-02 
  6.6180458063e+18   6.3958149570e+17   3.1909448137e+56   4.0615043643e-31   2.9145843202e-14  -1.0714499827e+02   9.9248591688e-02 
  7.4770106238e+18   8.5896481746e+17   5.3677981926e+56   4.0664463477e-31   2.9145377508e-14   3.8126162890e+02   9.9248591688e-02 
  8.3127477116e+18   8.3573708782e+17   6.5520300668e+56   4.0732889245e-31   2.9144886451e-14   1.8163782010e+03   9.9248591688e-02 
  9.3584817161e+18   1.0457340045e+18   1.0270966110e+57   4.0822531194e-31   2.9144396285e-14   4.4251129230e+03   9.9248591688e-02 
  1.0443628736e+19   1.0851470202e+18   1.3381226511e+57   4.0937903790e-31   2.9143866550e-14   8.1515701079e+03   9.9248591688e-02 
  1.1726090770e+19   1.2824620335e+18   1.9824349573e+57   4.1085075920e-31   2.9143287973e-14   1.3075348252e+04   9.9248591688e-02 
  1.3103772304e+19   1.3776815346e+18   2.6711163124e+57   4.1267653068e-31   2.9142667919e-14   1.9315608328e+04   9.9248591688e-02 
  1.4680311677e+19   1.5765393723e+18   3.8274780746e+57   4.1489983279e-31   2.9142047288e-14   2.6766603071e+04   9.9248591688e-02 
  1.6458534389e+19   1.7782227126e+18   5.4226664854e+57   4.1766953425e-31   2.9141436259e-14   3.5583086098e+04   9.9248591688e-02 
  1.8444624128e+19   1.9860897385e+18   7.6093346809e+57   4.2106714813e-31   2.9140886801e-14   4.5809660861e+04   9.9248591688e-02 
  2.0687388281e+19   2.2427641528e+18   1.0801227177e+58   4.2517011046e-31   2.9140535283e-14   5.7924926570e+04   9.9248591688e-02 
  2.3119322240e+19   2.4319339592e+18   1.4676715009e+58   4.3009147187e-31   2.9140554447e-14   7.2365102275e+04   9.9248591688e-02 
  2.5884368563e+19   2.7650463236e+18   2.0881924710e+58   4.3589042676e-31   2.9141052332e-14   8.7520166748e+04   9.9248591688e-02 
  2.8857822382e+19   2.9734538189e+18   2.8020915620e+58   4.4278384267e-31   2.9142147314e-14   1.0284363568e+05   9.9248591688e-02 
  3.2311807052e+19   3.4539846693e+18   4.0644641432e+58   4.5102135505e-31   2.9143857702e-14   1.1631243610e+05   9.9248591688e-02 
  3.5984725223e+19   3.6729181711e+18   5.3873713938e+58   4.6063779029e-31   2.9146146062e-14   1.2546221465e+05   9.9248591688e-02 
  4.0153423821e+19   4.1686985986e+18   7.5995653061e+58   4.7195983971e-31   2.9148611455e-14   1.2847464094e+05   9.9248591688e-02 
  4.4588867299e+19   4.4354434781e+18   1.0015755854e+59   4.8529559089e-31   2.9152845987e-14   1.2301011684e+05   9.9248591688e-02 
  4.9656414653e+19   5.0675473531e+18   1.4154197956e+59   5.0052191516e-31   2.9157031769e-14   1.1224636010e+05   9.9248591688e-02 
  5.4636294389e+19   4.9798797365e+18   1.7029682817e+59   5.1790946113e-31   2.9161889274e-14   1.1294694359e+05   9.9248591688e-02 
  6.2227425200e+19   7.5911308107e+18   3.2615658689e+59   5.4091120438e-31   2.9164228419e-14   1.2976631513e+05   9.9248591688e-02 
  7.3544424057e+19   1.1316998857e+19   6.5690903588e+59   5.7680419975e-31   2.9166256455e-14   1.7754611602e+05   9.9248591688e-02 
  7.7775769380e+19   4.2313453225e+18   3.0446354382e+59   6.0749647319e-31   2.9166247870e-14   2.1902860914e+05   9.9248591688e-02 
  8.1595454567e+19   3.8196851876e+18   3.0484593490e+59   6.2496621527e-31   2.9167634656e-14   2.4066012927e+05   9.9248591688e-02 
  8.5617799478e+19   4.0223449107e+18   3.5339006684e+59   6.4376734862e-31   2.9167599395e-14   2.6702618009e+05   9.9248591688e-02 
  8.9925637333e+19   4.3078378548e+18   4.1712439033e+59   6.6608363042e-31   2.9167331781e-14   2.9701666940e+05   9.9248591688e-02 
  9.3918879846e+19   3.9932425137e+18   4.2407748634e+59   6.9039865865e-31   2.9167384848e-14   3.2245228546e+05   9.9248591688e-02 
  9.9023290359e+19   5.1044105124e+18   5.9710553183e+59   7.1993739687e-31   2.9169074970e-14   3.4669422053e+05   9.9248591688e-02 
  1.0404514878e+20   5.0218584198e+18   6.5071036266e+59   7.5552000490e-31   2.9168947716e-14   3.7687587983e+05   9.9248591688e-02 
  1.0888623561e+20   4.8410868336e+18   6.8967887416e+59   7.9283965035e-31   2.9168298716e-14   4.0644750292e+05   9.9248591688e-02 
  1.1353111837e+20   4.6448827555e+18   7.2197988779e+59   8.3188089993e-31   2.9168125234e-14   4.2769304031e+05   9.9248591688e-02 
  1.1925299878e+20   5.7218804108e+18   9.7427777504e+59   8.7898272421e-31   2.9168357541e-14   4.4565746400e+05   9.9248591688e-02 
  1.2504724903e+20   5.7942502557e+18   1.0866166702e+60   9.3559670710e-31   2.9168536928e-14   4.5799843702e+05   9.9248591688e-02 
  1.3062649901e+20   5.5792499793e+18   1.1459532462e+60   9.9568836986e-31   2.9171576309e-14   4.6526994362e+05   9.9248591688e-02 
  1.3620296843e+20   5.5764694139e+18   1.2474984081e+60   1.0595219986e-30   2.9171819168e-14   4.8282126017e+05   9.9248591688e-02 
