# time = 9.188606e+14 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543152e+55   1.0363125524e-30   2.0297223423e-13   0.0000000000e+00   7.3313011751e-02 
  3.4524434432e+18   1.3219916600e+18   1.3186809472e+56   1.0363125524e-30   2.0297223423e-13   1.7069924750e+05   7.3313011751e-02 
  4.4717320252e+18   1.0192885820e+18   2.0218263832e+56   1.0367071552e-30   2.0304019539e-13   1.7819143026e+05   7.3313011751e-02 
  5.3319537028e+18   8.6022167760e+17   2.6040669960e+56   1.0419552668e-30   2.0308216418e-13   2.4646078828e+05   7.3313011751e-02 
  5.8526061230e+18   5.2065242024e+17   2.0476189940e+56   1.0461813803e-30   2.0310488092e-13   3.2355288769e+05   7.3313011751e-02 
  6.5729106927e+18   7.2030456962e+17   3.4976888688e+56   1.0514118221e-30   2.0311511057e-13   4.1228179026e+05   7.3313011751e-02 
  7.2833411031e+18   7.1043041043e+17   4.2888744732e+56   1.0599457682e-30   2.0311930941e-13   5.2120824346e+05   7.3313011751e-02 
  8.2197170508e+18   9.3637594773e+17   7.0788493373e+56   1.0723757758e-30   2.0311876761e-13   6.4667843339e+05   7.3313011751e-02 
  9.1006802140e+18   8.8096316320e+17   8.3099357831e+56   1.0906058867e-30   2.0311981392e-13   7.8533123835e+05   7.3313011751e-02 
  1.0228416889e+19   1.1277366754e+18   1.3251749447e+57   1.1149248891e-30   2.0311493541e-13   9.4133016931e+05   7.3313011751e-02 
  1.1331063420e+19   1.1026465304e+18   1.6115406596e+57   1.1465347672e-30   2.0310440910e-13   1.1167515564e+06   7.3313011751e-02 
  1.2764363840e+19   1.4333004201e+18   2.6173891396e+57   1.1877467091e-30   2.0308243891e-13   1.3172584989e+06   7.3313011751e-02 
  1.4155432866e+19   1.3910690265e+18   3.1697754184e+57   1.2398940956e-30   2.0306273116e-13   1.5345557942e+06   7.3313011751e-02 
  1.5857944622e+19   1.7025117558e+18   4.8232003082e+57   1.3044226202e-30   2.0303501345e-13   1.7730148065e+06   7.3313011751e-02 
  1.7448198064e+19   1.5902534418e+18   5.5461906364e+57   1.3807492966e-30   2.0301348285e-13   2.0260717334e+06   7.3313011751e-02 
