# time = 4.676892e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   4.9026205955e-31   3.2544189776e-14   0.0000000000e+00   9.9248591688e-02 
  2.4892254746e+18   3.5877369139e+17   2.4102716401e+55   4.9026205955e-31   3.2544189776e-14  -2.9160737914e+03   9.9248591688e-02 
  3.3000659408e+18   8.1084046621e+17   8.5934318071e+55   4.9028280157e-31   3.2544097200e-14  -6.1237844228e+03   9.9248591688e-02 
  4.2044857603e+18   9.0441981946e+17   1.6079293543e+56   4.9035623327e-31   3.2544121775e-14  -1.0973332756e+04   9.9248591688e-02 
  4.6098280013e+18   4.0534224102e+17   9.9004466496e+55   4.9045618398e-31   3.2544130540e-14  -1.4033161465e+04   9.9248591688e-02 
  4.9718721722e+18   3.6204417090e+17   1.0447279608e+56   4.9057967805e-31   3.2544128390e-14  -1.5684038042e+04   9.9248591688e-02 
  5.6308224827e+18   6.5895031049e+17   2.3302034910e+56   4.9085055125e-31   3.2544124415e-14  -1.7788689575e+04   9.9248591688e-02 
  6.2236078743e+18   5.9278539166e+17   2.6192115893e+56   4.9126630999e-31   3.2544120432e-14  -2.0293406161e+04   9.9248591688e-02 
  7.0309348580e+18   8.0732698369e+17   4.4613426532e+56   4.9184852796e-31   3.2544115336e-14  -2.3007556505e+04   9.9248591688e-02 
  7.8096918568e+18   7.7875699878e+17   5.3933022381e+56   4.9262035695e-31   3.2544109251e-14  -2.6023993934e+04   9.9248591688e-02 
  8.7916927459e+18   9.8200088908e+17   8.5124897560e+56   4.9362276287e-31   3.2544101744e-14  -2.9316660312e+04   9.9248591688e-02 
  9.8065677595e+18   1.0148750136e+18   1.1039208550e+57   4.9490913045e-31   3.2544092498e-14  -3.3011175485e+04   9.9248591688e-02 
  1.1010847034e+19   1.2042792744e+18   1.6414016780e+57   4.9652043869e-31   3.2544081153e-14  -3.7081499244e+04   9.9248591688e-02 
  1.2302692566e+19   1.2918455323e+18   2.2081123171e+57   4.9852905744e-31   3.2544067179e-14  -4.1632170937e+04   9.9248591688e-02 
  1.3783724419e+19   1.4810318531e+18   3.1696368344e+57   5.0099062822e-31   3.2544049895e-14  -4.6662849372e+04   9.9248591688e-02 
  1.5457072903e+19   1.6733484834e+18   4.4997513505e+57   5.0405079804e-31   3.2544027579e-14  -5.2365540662e+04   9.9248591688e-02 
