# time = 1.391024e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543152e+55   4.1687559741e-31   2.9230668872e-13   0.0000000000e+00   9.9248591688e-02 
  2.7551170653e+18   6.2466528204e+17   4.7096399540e+55   4.1687559741e-31   2.9230668872e-13   1.9325667530e+05   9.9248591688e-02 
  3.5178411881e+18   7.6272412282e+17   9.4753898572e+55   4.1694446394e-31   2.9231478469e-13   3.3561487909e+05   9.9248591688e-02 
  4.2228915732e+18   7.0505038506e+17   1.3308634784e+56   4.1751621166e-31   2.9231467903e-13   4.9309245197e+05   9.9248591688e-02 
  4.7720683090e+18   5.4917673578e+17   1.3976542567e+56   4.1806214924e-31   2.9231629301e-13   5.9552922588e+05   9.9248591688e-02 
  5.2161085166e+18   4.4404020768e+17   1.3926135983e+56   4.1861097288e-31   2.9231757476e-13   6.6664840519e+05   9.9248591688e-02 
  5.9037205445e+18   6.8761202788e+17   2.6745009310e+56   4.1946926522e-31   2.9232020038e-13   7.4039694955e+05   9.9248591688e-02 
  6.5233535324e+18   6.1963298789e+17   3.0087211495e+56   4.2079650914e-31   2.9232544197e-13   8.1980315416e+05   9.9248591688e-02 
  7.3614815762e+18   8.3812804380e+17   5.0824001341e+56   4.2266201961e-31   2.9233557809e-13   9.0013578377e+05   9.9248591688e-02 
  8.1753496564e+18   8.1386808020e+17   6.1776861020e+56   4.2519280979e-31   2.9234898274e-13   9.9137030686e+05   9.9248591688e-02 
  9.1987292250e+18   1.0233795686e+18   9.7161042878e+56   4.2847041266e-31   2.9235492778e-13   1.0947403857e+06   9.9248591688e-02 
  1.0250709322e+19   1.0519800967e+18   1.2513962164e+57   4.3273509072e-31   2.9235965153e-13   1.2119235697e+06   9.9248591688e-02 
  1.1494048888e+19   1.2433395662e+18   1.8489358003e+57   4.3805310070e-31   2.9235430441e-13   1.3479020222e+06   9.9248591688e-02 
  1.2816766019e+19   1.3227171314e+18   2.4583528622e+57   4.4478172152e-31   2.9234739912e-13   1.5069454429e+06   9.9248591688e-02 
  1.4316396014e+19   1.4996299948e+18   3.4719766415e+57   4.5281625878e-31   2.9233989738e-13   1.6916166460e+06   9.9248591688e-02 
  1.5975418443e+19   1.6590224288e+18   4.7872567085e+57   4.6282880642e-31   2.9232812900e-13   1.9117070753e+06   9.9248591688e-02 
  1.7802457494e+19   1.8270390515e+18   6.5551964070e+57   4.7463109597e-31   2.9231157864e-13   2.1607998754e+06   9.9248591688e-02 
  1.9849299353e+19   2.0468418584e+18   9.1249871750e+57   4.8903684402e-31   2.9229218636e-13   2.4284489782e+06   9.9248591688e-02 
  2.2052605415e+19   2.2033060623e+18   1.2164445346e+58   5.0585213317e-31   2.9226992620e-13   2.7028518474e+06   9.9248591688e-02 
  2.4544079784e+19   2.4914743691e+18   1.7011006753e+58   5.2611768812e-31   2.9225207441e-13   2.9870237662e+06   9.9248591688e-02 
  2.7179104763e+19   2.6350249783e+18   2.2165660492e+58   5.4977594585e-31   2.9224802516e-13   3.2829776746e+06   9.9248591688e-02 
  3.0203086118e+19   3.0239813555e+18   3.1310145473e+58   5.7794831606e-31   2.9223751322e-13   3.6247909218e+06   9.9248591688e-02 
  3.3343379781e+19   3.1402936631e+18   3.9870926002e+58   6.1069971058e-31   2.9220644376e-13   4.0276855610e+06   9.9248591688e-02 
  3.6865591265e+19   3.5222114842e+18   5.4590202681e+58   6.4871243424e-31   2.9217822792e-13   4.4347309793e+06   9.9248591688e-02 
  4.0499770872e+19   3.6341796066e+18   6.8386236353e+58   6.9251737117e-31   2.9215284925e-13   4.8305141121e+06   9.9248591688e-02 
