# time = 7.588107e+14 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543152e+55   2.6551385953e-31   1.0136135776e-13   0.0000000000e+00   7.3313011751e-02 
  4.3336555218e+18   2.2032037386e+18   3.0041489921e+56   2.6551385953e-31   1.0136135776e-13  -2.8368229699e+04   7.3313011751e-02 
  5.4655065113e+18   1.1318509894e+18   3.4296048579e+56   2.6581471125e-31   1.0139390157e-13  -1.5346430550e+05   7.3313011751e-02 
  6.5873414563e+18   1.1218349450e+18   5.1346460773e+56   2.6658758457e-31   1.0141831383e-13  -2.0325107994e+05   7.3313011751e-02 
  7.2723306747e+18   6.8498921842e+17   4.1370711297e+56   2.6777927005e-31   1.0143985633e-13  -2.4147915328e+05   7.3313011751e-02 
  8.1306473226e+18   8.5831664786e+17   6.4040702332e+56   2.6960985917e-31   1.0145856634e-13  -2.6350222357e+05   7.3313011751e-02 
  9.0256536905e+18   8.9500636790e+17   8.2835616487e+56   2.7246341064e-31   1.0147675934e-13  -2.5463881043e+05   7.3313011751e-02 
  1.0150628501e+19   1.1249748107e+18   1.3011262174e+57   2.7691025080e-31   1.0148890282e-13  -2.2399250314e+05   7.3313011751e-02 
  1.1288973375e+19   1.1383448737e+18   1.6453757042e+57   2.8298461827e-31   1.0149839386e-13  -1.7524212573e+05   7.3313011751e-02 
  1.2686211476e+19   1.3972381010e+18   2.5260132256e+57   2.9118767090e-31   1.0150421653e-13  -1.0780114705e+05   7.3313011751e-02 
  1.4062273096e+19   1.3760616205e+18   3.0957727663e+57   3.0118271985e-31   1.0150672332e-13  -2.4277249948e+04   7.3313011751e-02 
  1.5717903771e+19   1.6556306747e+18   4.6175870633e+57   3.1403686905e-31   1.0150650587e-13   7.3177817152e+04   7.3313011751e-02 
  1.7372293944e+19   1.6543901727e+18   5.6957149665e+57   3.3004953684e-31   1.0150461628e-13   1.8201418861e+05   7.3313011751e-02 
  1.9373102542e+19   2.0008085978e+18   8.4955263211e+57   3.5033116362e-31   1.0150033303e-13   3.0505781590e+05   7.3313011751e-02 
  2.1347524767e+19   1.9744222258e+18   1.0293404298e+58   3.7513875666e-31   1.0149793993e-13   4.3835138965e+05   7.3313011751e-02 
  2.3658965660e+19   2.3114408924e+18   1.4721926022e+58   4.0539806279e-31   1.0150033979e-13   5.8406826856e+05   7.3313011751e-02 
  2.5880628722e+19   2.2216630625e+18   1.7140520697e+58   4.4156149622e-31   1.0151290563e-13   7.3130084668e+05   7.3313011751e-02 
  2.8516418522e+19   2.6357897996e+18   2.4521726912e+58   4.8622701628e-31   1.0152928606e-13   8.7108792970e+05   7.3313011751e-02 
  3.1108755337e+19   2.5923368156e+18   2.8971713068e+58   5.3954369605e-31   1.0153804251e-13   9.6165893534e+05   7.3313011751e-02 
  3.4019490924e+19   2.9107355869e+18   3.8813289741e+58   6.0420812593e-31   1.0153686872e-13   9.9588374517e+05   7.3313011751e-02 
  3.6828048385e+19   2.8085574604e+18   4.4310858844e+58   6.8040034648e-31   1.0155178181e-13   9.6872095674e+05   7.3313011751e-02 
  4.0156888577e+19   3.3288401926e+18   6.2019022971e+58   7.7514557935e-31   1.0159629089e-13   9.0405643327e+05   7.3313011751e-02 
  4.3180687034e+19   3.0237984569e+18   6.6004718098e+58   8.8835045419e-31   1.0162632921e-13   9.5750084136e+05   7.3313011751e-02 
  4.6656726408e+19   3.4760393740e+18   8.8179110606e+58   1.0230487252e-30   1.0162537044e-13   1.0697309114e+06   7.3313011751e-02 
  5.3481416530e+19   6.8246901218e+18   2.1532961265e+59   1.2772524593e-30   1.0165868206e-13   1.2731767457e+06   7.3313011751e-02 
  5.7368132147e+19   3.8867156173e+18   1.5009922013e+59   1.5720609456e-30   1.0168058538e-13   1.4211818367e+06   7.3313011751e-02 
  5.9636215438e+19   2.2680832908e+18   9.7558982986e+58   1.7705295721e-30   1.0173448752e-13   1.4953639418e+06   7.3313011751e-02 
  6.2106918823e+19   2.4707033850e+18   1.1505859299e+59   1.9794562370e-30   1.0175494136e-13   1.5430640745e+06   7.3313011751e-02 
  6.4061307353e+19   1.9543885299e+18   9.7745215264e+58   2.2318790647e-30   1.0185802514e-13   1.5056893634e+06   7.3313011751e-02 
  6.6675179764e+19   2.6138724111e+18   1.4037369904e+59   2.6020566094e-30   1.0189909792e-13   1.5887447900e+06   7.3313011751e-02 
  6.8848572806e+19   2.1733930419e+18   1.2541694329e+59   3.0806251242e-30   1.0193797306e-13   1.6845452529e+06   7.3313011751e-02 
  7.1900895479e+19   3.0523226730e+18   1.8999488866e+59   3.7685088623e-30   1.0201839010e-13   1.7559788442e+06   7.3313011751e-02 
  7.7712089899e+19   5.8111944203e+18   4.0885772006e+59   5.4361814971e-30   1.0223072252e-13   1.8603035649e+06   7.3313011751e-02 
  8.7428308252e+19   9.7162183523e+18   8.3340218589e+59   8.5645780740e-30   1.0288056399e-13   2.0258835130e+06   7.3313011751e-02 
  9.3081949640e+19   5.6536413888e+18   5.7892711308e+59   1.2137658716e-29   1.0379798064e-13   2.1348295910e+06   7.3313011751e-02 
  1.0484637683e+20   1.1764427186e+19   1.4495983836e+60   1.6778134875e-29   1.0551770114e-13   2.2057253295e+06   7.3313011751e-02 
  1.2255321259e+20   1.7706835764e+19   2.8823521396e+60   2.4561722269e-29   1.0994598611e-13   2.2926853838e+06   7.3313011751e-02 
  1.4022624199e+20   1.7673029402e+19   3.8397060993e+60   3.4058423633e-29   1.1776916034e-13   2.0063575525e+06   7.3313011751e-02 
  1.4930630841e+20   9.0800664200e+18   2.3920819043e+60   4.2239558611e-29   1.2754037128e-13   9.2686627981e+05   7.3313011751e-02 
  1.5664626199e+20   7.3399535759e+18   2.1589108485e+60   4.6645175336e-29   1.3474454432e-13   1.3734409803e+05   7.3313011751e-02 
  1.7163585567e+20   1.4989593686e+19   5.0785052002e+60   5.1162042751e-29   1.4525137872e-13  -6.9340864541e+05   7.3313011751e-02 
  1.8221979891e+20   1.0583943237e+19   4.1646561110e+60   5.5984725651e-29   1.5758901909e-13  -1.6520440003e+06   7.3313011751e-02 
  1.8945392466e+20   7.2341257452e+18   3.1398903474e+60   5.8388028548e-29   1.6623478735e-13  -2.1897851168e+06   7.3313011751e-02 
  1.9849249119e+20   9.0385665343e+18   4.2743639054e+60   5.9184762552e-29   1.7391342836e-13  -2.6065644133e+06   7.3313011751e-02 
  2.0889282506e+20   1.0400333870e+19   5.4237821475e+60   5.8863622857e-29   1.8244238400e-13  -3.0754424790e+06   7.3313011751e-02 
  2.1808722120e+20   9.1943961428e+18   5.2669035503e+60   5.7874691001e-29   1.9002175100e-13  -3.6230701281e+06   7.3313011751e-02 
  2.2647477633e+20   8.3875551282e+18   5.2083655626e+60   5.8272553966e-29   1.9628015509e-13  -4.0225682403e+06   7.3313011751e-02 
  2.3475581155e+20   8.2810352172e+18   5.5349967413e+60   5.7105013611e-29   2.0139513852e-13  -4.4266199904e+06   7.3313011751e-02 
  2.4191059078e+20   7.1547792304e+18   5.1074933350e+60   5.5801340634e-29   2.0559985547e-13  -4.8176536203e+06   7.3313011751e-02 
  2.5215288654e+20   1.0242295758e+19   7.8555192401e+60   5.4039417066e-29   2.0965120149e-13  -5.2688072268e+06   7.3313011751e-02 
  2.6173519550e+20   9.5823089630e+18   7.9507384240e+60   5.1716119820e-29   2.1381641488e-13  -5.8362588029e+06   7.3313011751e-02 
  2.7479546137e+20   1.3060265873e+19   1.1813449937e+61   4.8983438563e-29   2.1830882175e-13  -6.4894069084e+06   7.3313011751e-02 
  2.8405612420e+20   9.2606628230e+18   9.0870866510e+60   4.6327490910e-29   2.2290690226e-13  -7.1320462326e+06   7.3313011751e-02 
  2.9603237914e+20   1.1976254939e+19   1.2662548499e+61   4.3659131748e-29   2.2767504350e-13  -7.7594032286e+06   7.3313011751e-02 
  3.0736675886e+20   1.1334379724e+19   1.2966061541e+61   4.0565858330e-29   2.3334805485e-13  -8.4799509804e+06   7.3313011751e-02 
  3.2326401504e+20   1.5897256176e+19   1.9866179213e+61   3.7484862913e-29   2.4077612589e-13  -9.3951689856e+06   7.3313011751e-02 
  3.3370275229e+20   1.0438737249e+19   1.4155368796e+61   3.5069848371e-29   2.4855918004e-13  -1.0359943706e+07   7.3313011751e-02 
