# time = 3.203834e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   3.8794705873e-31   3.9765010422e-14   0.0000000000e+00   9.9248591688e-02 
  2.6376430370e+18   5.0719125383e+17   3.6361879641e+55   3.8794705873e-31   3.9765010422e-14  -9.6690452549e+03   9.9248591688e-02 
  3.5245021301e+18   8.8685909309e+17   1.0652623371e+56   3.8796801579e-31   3.9764773470e-14  -1.8776841460e+04   9.9248591688e-02 
  4.4679606288e+18   9.4345849871e+17   1.9021573466e+56   3.8804243184e-31   3.9764842783e-14  -3.1215316957e+04   9.9248591688e-02 
  4.9376674810e+18   4.6970685212e+17   1.3065115489e+56   3.8814844398e-31   3.9764853391e-14  -3.9399553196e+04   9.9248591688e-02 
  5.3507709285e+18   4.1310344758e+17   1.3744879707e+56   3.8828421301e-31   3.9764845889e-14  -4.4134808989e+04   9.9248591688e-02 
  6.0598268367e+18   7.0905590817e+17   2.9040613051e+56   3.8856808909e-31   3.9764833420e-14  -4.9938297576e+04   9.9248591688e-02 
  6.7090731918e+18   6.4924635513e+17   3.3284379624e+56   3.8900266484e-31   3.9764818704e-14  -5.6792997763e+04   9.9248591688e-02 
  7.5791575068e+18   8.7008431491e+17   5.5873336796e+56   3.8961335345e-31   3.9764799916e-14  -6.4263169032e+04   9.9248591688e-02 
  8.4275043822e+18   8.4834687545e+17   6.8348868334e+56   3.9042428908e-31   3.9764776511e-14  -7.2583820868e+04   9.9248591688e-02 
  9.4878144180e+18   1.0603100358e+18   1.0703815491e+57   3.9147868453e-31   3.9764746495e-14  -8.1707273806e+04   9.9248591688e-02 
  1.0588367303e+19   1.1005528854e+18   1.3949474308e+57   3.9283082637e-31   3.9764707641e-14  -9.1952138371e+04   9.9248591688e-02 
  1.1888018386e+19   1.2996510823e+18   2.0649681053e+57   3.9452389839e-31   3.9764656992e-14  -1.0325508503e+05   9.9248591688e-02 
