# time = 4.702652e+14 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543152e+55   1.6255304772e-29   1.2480374785e-12   0.0000000000e+00   9.7339110550e-02 
  2.7475320481e+18   6.1708026489e+17   4.6374876249e+55   1.6255304772e-29   1.2480374785e-12   1.0506407596e+05   9.7339110550e-02 
  3.3600538924e+18   6.1252184424e+17   7.2021839805e+55   1.6286129190e-29   1.2480690216e-12   1.7854252076e+05   9.7339110550e-02 
  4.0080539573e+18   6.4800006490e+17   1.1080392081e+56   1.6422110474e-29   1.2479926107e-12   2.6613399805e+05   9.7339110550e-02 
  4.9152562890e+18   9.0720233169e+17   2.2771925107e+56   1.6629424289e-29   1.2479871374e-12   3.5606834694e+05   9.7339110550e-02 
  5.9949856038e+18   1.0797293148e+18   4.0508768903e+56   1.6993785804e-29   1.2479240323e-12   4.4758552591e+05   9.7339110550e-02 
  7.2755260349e+18   1.2805404311e+18   7.1066408251e+56   1.7556668099e-29   1.2478676557e-12   5.4936809956e+05   9.7339110550e-02 
  9.3719407255e+18   2.0964146906e+18   1.8349028074e+57   1.8604773605e-29   1.2475223742e-12   6.8774552041e+05   9.7339110550e-02 
  1.2481141800e+19   3.1092010746e+18   4.6961797042e+57   2.0446610462e-29   1.2472084079e-12   8.8269741012e+05   9.7339110550e-02 
  1.5911233302e+19   3.4300915023e+18   8.7290456512e+57   2.3093798303e-29   1.2468807896e-12   1.1486586147e+06   9.7339110550e-02 
  1.9351542416e+19   3.4403091140e+18   1.3482054249e+58   2.6259855776e-29   1.2468672640e-12   1.4544702381e+06   9.7339110550e-02 
  2.2950592694e+19   3.5990502780e+18   2.0281916338e+58   2.9971617657e-29   1.2469989202e-12   1.7469718966e+06   9.7339110550e-02 
  2.6799385271e+19   3.8487925762e+18   2.9986495766e+58   3.3971478103e-29   1.2476585993e-12   2.0441807501e+06   9.7339110550e-02 
  3.0887996096e+19   4.0886108248e+18   4.2816768583e+58   3.7702138674e-29   1.2481373156e-12   2.3931006380e+06   9.7339110550e-02 
  3.5428811077e+19   4.5408149810e+18   6.2836078860e+58   4.1220396306e-29   1.2484213413e-12   2.7770772286e+06   9.7339110550e-02 
  4.0823500246e+19   5.3946891696e+18   9.8706625788e+58   4.4858888821e-29   1.2487369904e-12   3.2285985282e+06   9.7339110550e-02 
  4.7423907416e+19   6.6004071697e+18   1.6178326712e+59   4.9005116793e-29   1.2493007011e-12   3.7860628989e+06   9.7339110550e-02 
  5.5802472161e+19   8.3785647446e+18   2.8109528994e+59   5.4008781007e-29   1.2503091309e-12   4.5025424438e+06   9.7339110550e-02 
  6.6824160791e+19   1.1021688631e+19   5.2207815038e+59   6.0153663973e-29   1.2523256230e-12   5.4506176809e+06   9.7339110550e-02 
  8.3281872703e+19   1.6457711911e+19   1.1696404396e+60   6.7972228508e-29   1.2562823135e-12   6.8855401388e+06   9.7339110550e-02 
  9.2551060114e+19   9.2691874107e+18   9.0114377254e+59   7.5065765600e-29   1.2602422568e-12   8.3324529366e+06   9.7339110550e-02 
  1.0027964460e+20   7.7285844872e+18   9.0330558020e+59   7.9739940680e-29   1.2631751716e-12   9.3459228232e+06   9.7339110550e-02 
  1.0551554410e+20   5.2358994991e+18   6.9679545050e+59   8.3756215509e-29   1.2662030546e-12   1.0098141848e+07   9.7339110550e-02 
  1.0871008044e+20   3.1945363372e+18   4.6060932963e+59   8.7118298623e-29   1.2681414558e-12   1.0611240961e+07   9.7339110550e-02 
  1.2141269406e+20   1.2702613625e+19   2.1154513059e+60   9.6425760864e-29   1.2736398155e-12   1.1566917157e+07   9.7339110550e-02 
  1.2976434555e+20   8.3516514912e+18   1.6559305887e+60   1.0957794002e-28   1.2826370364e-12   1.2814899089e+07   9.7339110550e-02 
  1.3316259235e+20   3.3982467928e+18   7.3807269248e+59   1.1640657878e-28   1.2882682763e-12   1.3467953764e+07   9.7339110550e-02 
  1.3633924599e+20   3.1766536431e+18   7.2487532199e+59   1.1944389398e-28   1.2921142670e-12   1.3831455974e+07   9.7339110550e-02 
  1.5008422111e+20   1.3744975119e+19   3.5452288384e+60   1.2394040428e-28   1.3020036933e-12   1.4859010525e+07   9.7339110550e-02 
  1.5860948914e+20   8.5252680353e+18   2.5528416451e+60   1.2909820774e-28   1.3138096901e-12   1.6099070269e+07   9.7339110550e-02 
  1.6266603178e+20   4.0565426316e+18   1.3154800574e+60   1.3148604066e-28   1.3196215332e-12   1.6744655162e+07   9.7339110550e-02 
  1.6699259085e+20   4.3265590787e+18   1.4772238996e+60   1.3274533238e-28   1.3235665911e-12   1.7171386991e+07   9.7339110550e-02 
  1.7091105791e+20   3.9184670560e+18   1.4056309217e+60   1.3379841927e-28   1.3270526670e-12   1.7558818309e+07   9.7339110549e-02 
  1.8623769178e+20   1.5326633870e+19   6.1455596850e+60   1.3599715172e-28   1.3353018743e-12   1.8427240541e+07   9.7339110546e-02 
  1.9654856252e+20   1.0310870738e+19   4.7474774125e+60   1.3889368341e-28   1.3434126018e-12   1.9393866066e+07   9.7339110538e-02 
  2.0347172950e+20   6.9231669869e+18   3.4806638643e+60   1.4076045454e-28   1.3476165223e-12   1.9939199690e+07   9.7339110518e-02 
  2.1064281148e+20   7.1710819753e+18   3.8638381701e+60   1.4179476275e-28   1.3510739391e-12   2.0370156686e+07   9.7339110436e-02 
  2.2002868245e+20   9.3858709705e+18   5.4699764680e+60   1.4197851256e-28   1.3539693235e-12   2.0798012394e+07   9.7339110199e-02 
  2.2731061976e+20   7.2819373141e+18   4.5783530502e+60   1.4128835135e-28   1.3554151843e-12   2.1136388415e+07   9.7339109562e-02 
  2.3357606338e+20   6.2654436181e+18   4.1813524005e+60   1.3994686555e-28   1.3557164794e-12   2.1349079978e+07   9.7339106836e-02 
  2.3865264808e+20   5.0765846948e+18   3.5566654480e+60   1.3858218601e-28   1.3554505636e-12   2.1489088800e+07   9.7339094184e-02 
