# time = 5.788362e+15 [s] 
# r                  dr                 dV                 Density            Pressure           Velocity           Z
  2.1304517832e+18   2.1304517832e+18   4.0504543150e+55   6.0310003086e-31   3.2266156966e-14   0.0000000000e+00   9.9248591688e-02 
  2.4022411127e+18   2.7178932952e+17   1.7563661048e+55   6.0310003086e-31   3.2266156966e-14  -1.2637746528e+03   9.9248591688e-02 
  3.1378818793e+18   7.3564076657e+17   7.1350898068e+55   6.0312554185e-31   3.2266196030e-14  -2.8928526535e+03   9.9248591688e-02 
  3.9754776909e+18   8.3759581164e+17   1.3376313312e+56   6.0321660090e-31   3.2266465078e-14  -5.8090394742e+03   9.9248591688e-02 
  4.3366157174e+18   3.6113802645e+17   7.8436301118e+55   6.0332300673e-31   3.2266634269e-14  -7.3608620743e+03   9.9248591688e-02 
  4.6624171197e+18   3.2580140227e+17   8.2924755860e+55   6.0344909272e-31   3.2266723521e-14  -8.1464947731e+03   9.9248591688e-02 
  5.2792563838e+18   6.1683926415e+17   1.9177757254e+56   6.0373289924e-31   3.2266868603e-14  -9.1848745698e+03   9.9248591688e-02 
  5.8246056876e+18   5.4534930377e+17   2.1140818832e+56   6.0416578520e-31   3.2267095501e-14  -1.0482205655e+04   9.9248591688e-02 
  6.5795534828e+18   7.5494779517e+17   3.6537377113e+56   6.0476655882e-31   3.2267431941e-14  -1.2076923288e+04   9.9248591688e-02 
  7.3005880411e+18   7.2103455833e+17   4.3680159517e+56   6.0557619494e-31   3.2267900272e-14  -1.3959243613e+04   9.9248591688e-02 
  8.2182233934e+18   9.1763535235e+17   6.9509279245e+56   6.0660318247e-31   3.2268401575e-14  -1.5780479895e+04   9.9248591688e-02 
  9.1622854845e+18   9.4406209107e+17   8.9681385028e+56   6.0793484527e-31   3.2269032967e-14  -1.7922015778e+04   9.9248591688e-02 
  1.0287549875e+19   1.1252643901e+18   1.3388150596e+57   6.0962436502e-31   3.2269922155e-14  -2.0269107037e+04   9.9248591688e-02 
  1.1492956248e+19   1.2054063737e+18   1.7983013207e+57   6.1175638315e-31   3.2271297398e-14  -2.3308649588e+04   9.9248591688e-02 
  1.2877799085e+19   1.3848428370e+18   2.5867563857e+57   6.1435051112e-31   3.2272871626e-14  -2.6251881892e+04   9.9248591688e-02 
  1.4445467983e+19   1.5676688972e+18   3.6808299617e+57   6.1760845552e-31   3.2274866492e-14  -2.6414012073e+04   9.9248591688e-02 
  1.6197837390e+19   1.7523694078e+18   5.1751138937e+57   6.2155122312e-31   3.2276662198e-14  -2.5085913029e+04   9.9248591688e-02 
  1.8181620513e+19   1.9837831229e+18   7.3743518056e+57   6.2631792234e-31   3.2278600649e-14  -2.2196503434e+04   9.9248591688e-02 
  2.0326394932e+19   2.1447744186e+18   1.0001902501e+58   6.3192523845e-31   3.2280487313e-14  -1.7949703586e+04   9.9248591688e-02 
  2.2772657365e+19   2.4462624334e+18   1.4290732269e+58   6.3857183739e-31   3.2282315974e-14  -1.2870415228e+04   9.9248591688e-02 
  2.5394550589e+19   2.6218932240e+18   1.9129188272e+58   6.4639934673e-31   3.2283922606e-14  -6.6000678927e+03   9.9248591688e-02 
  2.8464955181e+19   3.0704045915e+18   2.8011761505e+58   6.5575127184e-31   3.2285140798e-14   8.8752948059e+02   9.9248591688e-02 
  3.1730354311e+19   3.2653991306e+18   3.7208078331e+58   6.6672752512e-31   3.2285677792e-14   5.8544651019e+03   9.9248591688e-02 
  3.5468277137e+19   3.7379228252e+18   5.3082180160e+58   6.7962744839e-31   3.2286069171e-14   1.1579653029e+04   9.9248591688e-02 
  3.9445081274e+19   3.9768041372e+18   7.0179516714e+58   6.9462280270e-31   3.2284966600e-14   1.9422774077e+04   9.9248591688e-02 
  4.4014619222e+19   4.5695379485e+18   1.0009434740e+59   7.1216277657e-31   3.2283556152e-14   2.7561818339e+04   9.9248591688e-02 
  4.8420679563e+19   4.4060603407e+18   1.1835995895e+59   7.3150004562e-31   3.2282042228e-14   3.5964600602e+04   9.9248591688e-02 
  5.5314657393e+19   6.8939778298e+18   2.3340604230e+59   7.5729378665e-31   3.2281022013e-14   4.6560637057e+04   9.9248591688e-02 
  6.5891909479e+19   1.0577252086e+19   4.8941364668e+59   7.9905113295e-31   3.2279049527e-14   5.8156246210e+04   9.9248591688e-02 
  6.9576906734e+19   3.6849972549e+18   2.1250679275e+59   8.3417179165e-31   3.2277121810e-14   6.4128543654e+04   9.9248591688e-02 
  7.3029883158e+19   3.4529764239e+18   2.2065245227e+59   8.5350248690e-31   3.2276614011e-14   6.3027319755e+04   9.9248591688e-02 
  7.6722018355e+19   3.6921351968e+18   2.6017175630e+59   8.7471349585e-31   3.2276997824e-14   5.9563741189e+04   9.9248591688e-02 
  8.0711518706e+19   3.9895003517e+18   3.1071043442e+59   9.0009525383e-31   3.2279417806e-14   4.9374631764e+04   9.9248591688e-02 
  8.4372651155e+19   3.6611324484e+18   3.1350709103e+59   9.2765913124e-31   3.2283864896e-14   3.1841088904e+04   9.9248591688e-02 
  8.9127483149e+19   4.7548319946e+18   4.4977301148e+59   9.6079619085e-31   3.2288624961e-14   1.6000399024e+04   9.9248591688e-02 
  9.3813963332e+19   4.6864801825e+18   4.9285125456e+59   1.0006076473e-30   3.2293087602e-14   5.1060846974e+03   9.9248591688e-02 
  9.8346077636e+19   4.5321143044e+18   5.2584459180e+59   1.0425548189e-30   3.2296224332e-14   7.8830516127e+03   9.9248591688e-02 
  1.0267994471e+20   4.3338670730e+18   5.5029719196e+59   1.0862052040e-30   3.2296628033e-14   1.4678249606e+04   9.9248591688e-02 
  1.0808894494e+20   5.4090002297e+18   7.5504914361e+59   1.1382707403e-30   3.2296538782e-14   2.2513442448e+04   9.9248591688e-02 
  1.1359082552e+20   5.5018805826e+18   8.4957617056e+59   1.2006433288e-30   3.2296855022e-14   3.1396570770e+04   9.9248591688e-02 
  1.1890221722e+20   5.3113916985e+18   9.0209790381e+59   1.2667029140e-30   3.2296003979e-14   4.0986696302e+04   9.9248591688e-02 
  1.2422362142e+20   5.3214042002e+18   9.8834302068e+59   1.3367765095e-30   3.2295819702e-14   4.8712254145e+04   9.9248591688e-02 
  1.3057641806e+20   6.3527966408e+18   1.2959963804e+60   1.4197811616e-30   3.2295863807e-14   5.3763607164e+04   9.9248591688e-02 
